 	il	y	a	un	deuil	chez	le	chef	du	village	</S>
a66	0.327542	0.222009	0.126283	0.0725395	0.0571607	0.0460621	0.0437246	0.0299733	0.0257201	0.0232089	0.0257773
a87	0.242073	0.211544	0.147406	0.099823	0.0562199	0.0433277	0.0399426	0.0307108	0.0344567	0.0387263	0.0557696
a23	0.299311	0.236599	0.158703	0.0794548	0.0355678	0.0269611	0.0289658	0.0314776	0.033191	0.0307927	0.0389761
a40	0.28498	0.229357	0.14652	0.0814622	0.0369882	0.0181962	0.0229271	0.0247262	0.0375869	0.0448307	0.0724252
a47	0.379051	0.250565	0.128252	0.0691734	0.0377539	0.0262058	0.0251937	0.0204369	0.0208947	0.0203112	0.022162
a36	0.147989	0.15643	0.170484	0.190408	0.120694	0.0346401	0.0298989	0.0238509	0.0305508	0.0402778	0.0547761
a85	0.118614	0.135261	0.173241	0.223784	0.151873	0.0415206	0.0350961	0.0250081	0.0263517	0.0301252	0.0391268
a92	0.128908	0.156417	0.172859	0.196362	0.157417	0.0622048	0.0372183	0.0199157	0.0187769	0.0215735	0.028348
a85	0.095586	0.122417	0.160589	0.218932	0.187357	0.0746007	0.0446425	0.0222417	0.0189051	0.022743	0.0319859
a6	0.0719832	0.0976089	0.130214	0.185228	0.185658	0.098325	0.0686822	0.0411728	0.0348822	0.0376861	0.0485583
a37	0.0653348	0.080912	0.123511	0.185419	0.210564	0.10908	0.0708693	0.0396055	0.0323742	0.0356639	0.0466668
a26	0.0574041	0.0595544	0.0897581	0.137955	0.198641	0.143642	0.102391	0.0580971	0.0454314	0.0472076	0.0599181
a94	0.029346	0.0248641	0.0380795	0.0652071	0.173277	0.215863	0.155849	0.0807346	0.0606709	0.0648682	0.0912403
a4	0.0213197	0.0185681	0.0255609	0.0416156	0.113362	0.213886	0.174437	0.113708	0.0879549	0.0848309	0.104756
a57	0.0120674	0.00969984	0.0128386	0.0215696	0.0675504	0.197679	0.181003	0.134696	0.111206	0.110297	0.141393
a53	0.0143776	0.00980154	0.0106681	0.0129194	0.0329427	0.137274	0.156416	0.155248	0.132061	0.136014	0.202278
a44	0.0119436	0.00931949	0.0102321	0.0137181	0.0322983	0.122151	0.142219	0.165259	0.152647	0.151584	0.188629
a75	0.00786076	0.00528699	0.00608746	0.00890813	0.0247557	0.10734	0.127282	0.167316	0.162209	0.164825	0.21813
a79	0.00358309	0.0029388	0.00357071	0.0061658	0.0163291	0.0726679	0.0816439	0.122649	0.148606	0.212203	0.329643
a44	0.00221848	0.00173913	0.00224076	0.00408622	0.0109497	0.0558654	0.0659042	0.124655	0.168363	0.225176	0.338802
a58	0.00230598	0.00141095	0.00161523	0.00246739	0.00672789	0.0388406	0.0511302	0.111095	0.180707	0.263093	0.340607
a57	0.00378031	0.00284395	0.00265406	0.00268959	0.00420016	0.0132574	0.0205154	0.0640048	0.135053	0.275415	0.475586
a82	0.0190319	0.0148681	0.012454	0.0108344	0.012969	0.0271618	0.0386562	0.0957483	0.169469	0.26139	0.337417
a97	0.0798267	0.0541411	0.0383136	0.0277507	0.0262367	0.0524445	0.0621799	0.122891	0.160288	0.177289	0.198639
a87	0.163503	0.111317	0.0793967	0.0550344	0.0391698	0.0682507	0.0738146	0.112321	0.115841	0.095506	0.0858459
a23	0.156253	0.118252	0.0955018	0.0726842	0.0522244	0.0922093	0.0825106	0.103357	0.0964887	0.0736528	0.0568658
a87	0.0908968	0.0609703	0.0447099	0.0350594	0.0324728	0.0984016	0.0950217	0.140247	0.149289	0.123992	0.128939
</S>	0.0420865	0.0367308	0.0347637	0.036976	0.0378839	0.0929744	0.0732156	0.0978769	0.132396	0.176047	0.23905
