 	le	petit	oiseau	de	la	savane	est	pris	au	piège	à	la	glu	</S>
a66	0.182608	0.0920967	0.0499976	0.0479981	0.0612876	0.0777639	0.0994544	0.0985092	0.102651	0.0815265	0.0550912	0.0247543	0.0144437	0.0118182
a87	0.26246	0.137945	0.0839551	0.0628961	0.0468442	0.0338881	0.0447952	0.0492206	0.061474	0.066451	0.0471467	0.0351002	0.0357521	0.0320722
a79	0.421535	0.19989	0.0815582	0.0424141	0.0271953	0.0210787	0.0219408	0.0200658	0.0204674	0.0208298	0.0185281	0.0199684	0.0425852	0.0419432
a5	0.234714	0.214242	0.131749	0.0537062	0.0321365	0.0232923	0.0320758	0.0335231	0.0337687	0.0299277	0.0259457	0.0310721	0.0585308	0.065317
a94	0.250496	0.16855	0.113747	0.0774348	0.058496	0.0399174	0.0452346	0.0430829	0.0337433	0.0267113	0.0251707	0.033301	0.0444028	0.0397125
a44	0.233881	0.230602	0.195432	0.117507	0.0622415	0.0240463	0.0246675	0.0216082	0.0131115	0.0102544	0.012285	0.0182614	0.0210427	0.0150599
a75	0.172962	0.192488	0.199533	0.142593	0.0867794	0.0399196	0.0369255	0.030656	0.0192725	0.0139933	0.014815	0.0178151	0.018583	0.0136643
a85	0.143488	0.170062	0.187234	0.156443	0.103786	0.0520538	0.0491933	0.0389752	0.0230963	0.0139968	0.0131514	0.0155067	0.0171908	0.0158238
a5	0.0650101	0.094557	0.136122	0.123623	0.105078	0.0794818	0.0809823	0.069944	0.0510629	0.0352291	0.0324774	0.0443799	0.0460826	0.0359702
a85	0.100669	0.113637	0.133873	0.128708	0.115412	0.0897305	0.0881367	0.0708785	0.0515523	0.0345367	0.0241279	0.0196832	0.0155398	0.0135142
a36	0.0349983	0.045415	0.0722293	0.0962587	0.116983	0.113239	0.110834	0.0926343	0.0699032	0.0518663	0.0431043	0.0442903	0.0517167	0.0565271
a26	0.0175585	0.0197389	0.0273484	0.0506899	0.100824	0.161105	0.158873	0.123823	0.0948552	0.0707258	0.0493428	0.0412098	0.0425847	0.0413213
a54	0.0145275	0.0161382	0.0174297	0.0324864	0.0865755	0.203296	0.200431	0.167525	0.0925039	0.0595486	0.0348638	0.0213332	0.0214054	0.0319361
a47	0.00924262	0.0090433	0.0114446	0.0180239	0.0444348	0.125336	0.141898	0.131942	0.121555	0.0984144	0.0725717	0.06315	0.0691399	0.0838037
a37	0.00524528	0.00500665	0.00659136	0.0127148	0.0404163	0.162502	0.172182	0.159996	0.131921	0.0935707	0.0535383	0.0380387	0.049633	0.068643
a5	0.00875103	0.00872276	0.0100802	0.0156615	0.0388433	0.160376	0.192388	0.188247	0.130572	0.0796547	0.0387866	0.02507	0.039474	0.0633721
a18	0.0140105	0.0127928	0.0129361	0.0188037	0.0374984	0.110885	0.135208	0.136914	0.143042	0.115925	0.0811832	0.0554754	0.062639	0.0626876
a9	0.00625787	0.0055091	0.00565143	0.00914084	0.0209572	0.0699205	0.108905	0.143978	0.15983	0.137234	0.0881286	0.0618928	0.0802268	0.102367
a38	0.020824	0.0208369	0.0198937	0.025503	0.0376765	0.0995299	0.145175	0.180296	0.150409	0.101468	0.0495914	0.0340577	0.0521643	0.0625731
a47	0.0176032	0.0164819	0.0155859	0.0180719	0.0291125	0.0840285	0.123969	0.158226	0.155415	0.1326	0.0795889	0.0440249	0.0598419	0.0654505
a88	0.00328431	0.00328416	0.00392839	0.00656283	0.0161325	0.0694163	0.0950047	0.128022	0.135209	0.130641	0.100672	0.0813094	0.085766	0.140768
a61	0.00368756	0.00345266	0.0036605	0.00639466	0.0150121	0.0489635	0.0692127	0.0970872	0.10562	0.101633	0.077597	0.0819913	0.149176	0.236512
a47	0.00331533	0.00293741	0.00298017	0.0050527	0.012305	0.0403699	0.0516682	0.0660409	0.084911	0.0928627	0.0878188	0.114725	0.198316	0.236697
a0	0.00294216	0.00286777	0.00312212	0.0057395	0.0135824	0.0436953	0.0583017	0.0794697	0.0845929	0.081259	0.0653132	0.0917443	0.175248	0.292122
a62	0.00244346	0.00229079	0.00225542	0.00388502	0.00796127	0.0221461	0.0334244	0.0507519	0.0548583	0.0516692	0.0480574	0.0905728	0.176337	0.453347
a21	0.00347884	0.00331718	0.00326068	0.0054679	0.00910271	0.0175942	0.0254797	0.039146	0.0466621	0.0471656	0.0494097	0.100381	0.173516	0.476018
a85	0.00165252	0.00128231	0.00119934	0.00203789	0.00410903	0.0112039	0.0134318	0.0170817	0.0228485	0.0266157	0.0325054	0.113476	0.317856	0.434699
a47	0.000725098	0.000553512	0.000599941	0.00103376	0.00281459	0.01145	0.0134986	0.0160527	0.019098	0.0233865	0.028704	0.101639	0.307146	0.473298
a36	0.0018834	0.00127412	0.00130573	0.00193814	0.00402211	0.0136513	0.0182082	0.0246926	0.0266394	0.0325986	0.0439998	0.115334	0.2514	0.463052
a2	0.0189583	0.0108583	0.00805561	0.00903062	0.0108846	0.0189567	0.0261789	0.0390818	0.0407439	0.0488221	0.0598827	0.103775	0.200741	0.404031
a57	0.0910748	0.0554104	0.0469019	0.0462281	0.0421733	0.0434796	0.0395446	0.0439986	0.0453528	0.0461102	0.0515342	0.0713733	0.132006	0.244812
a10	0.113301	0.0509201	0.0360494	0.034966	0.036988	0.0457183	0.0476946	0.053671	0.0602634	0.0615345	0.0624489	0.066966	0.111474	0.218004
a87	0.11371	0.0465576	0.0257156	0.0206563	0.0222352	0.0330155	0.0390698	0.0489817	0.0646647	0.0856351	0.0945217	0.100654	0.120847	0.183736
a23	0.0988577	0.0429959	0.0238431	0.0157511	0.0145682	0.0244697	0.0367365	0.0518844	0.0691712	0.0941069	0.111352	0.121843	0.136209	0.158211
a99	0.0252471	0.0125213	0.00826799	0.00693863	0.00729357	0.0120243	0.0202889	0.0279684	0.0456521	0.0720538	0.0903461	0.122491	0.249942	0.298965
a87	0.00833414	0.00419293	0.00417964	0.00591876	0.010616	0.022855	0.0301466	0.0374361	0.0465207	0.0631067	0.0808752	0.115948	0.262774	0.307096
a57	0.00714748	0.00343169	0.00370805	0.00471493	0.00793056	0.0153765	0.0170584	0.0184919	0.0197685	0.0228677	0.0306648	0.0747314	0.304499	0.469609
</S>	0.0157234	0.00714609	0.00646896	0.00734875	0.0119596	0.0218872	0.0243632	0.0261981	0.0276001	0.0297786	0.0347564	0.0740279	0.28997	0.422771
