 	apporte-moi	quelques	grains	d'	arachides	</S>
a87	0.347017	0.326167	0.14422	0.0756343	0.0567232	0.0502383
a62	0.249072	0.143931	0.166586	0.160978	0.135549	0.143883
a21	0.239138	0.260818	0.204869	0.0993932	0.10321	0.0925709
a85	0.453033	0.346733	0.0962462	0.0325343	0.0359751	0.035478
a5	0.31322	0.403149	0.154836	0.0506481	0.0430583	0.0350881
a85	0.259772	0.413844	0.189617	0.0593234	0.0434787	0.0339649
a61	0.173834	0.297028	0.277876	0.120391	0.0756934	0.0551783
a0	0.167882	0.249675	0.295344	0.149382	0.0808129	0.0569038
a75	0.0557704	0.0863379	0.221061	0.275767	0.1957	0.165364
a85	0.0188711	0.0460163	0.173406	0.352078	0.224823	0.184806
a66	0.0103263	0.0279443	0.146354	0.340944	0.252802	0.221629
a11	0.0142607	0.0296193	0.0764982	0.229363	0.286043	0.364215
a93	0.00221572	0.00539905	0.0361414	0.196042	0.306976	0.453225
a13	0.00211651	0.00660455	0.03624	0.203801	0.304539	0.446698
a9	0.00158188	0.00545267	0.0282458	0.149506	0.318217	0.496997
a87	0.0318637	0.02903	0.0521439	0.122371	0.303572	0.461019
a23	0.160944	0.0967874	0.102109	0.175019	0.22745	0.23769
a9	0.0375134	0.0231187	0.0404245	0.175257	0.286408	0.437278
a10	0.00710346	0.0106058	0.0439472	0.174839	0.285679	0.477826
</S>	0.0133114	0.0182852	0.0500507	0.167083	0.275637	0.475634
