 	il	affirme	qu'	il	est	venu	hier	</S>
a97	0.227767	0.228292	0.16157	0.102915	0.0963785	0.060537	0.0545402	0.068001
a30	0.118141	0.126457	0.0962623	0.0985862	0.117868	0.134991	0.115845	0.191851
a53	0.25278	0.222749	0.126622	0.0868812	0.0718885	0.0626719	0.0609928	0.115414
a76	0.248857	0.260861	0.155302	0.0942547	0.0741048	0.0498424	0.0509383	0.065839
a14	0.451977	0.254431	0.173411	0.0517045	0.0328626	0.0160255	0.0103662	0.00922191
a2	0.45112	0.259838	0.16619	0.0559974	0.031292	0.0146247	0.0107448	0.0101932
a11	0.281496	0.270783	0.170446	0.0884941	0.0633735	0.0383306	0.0390159	0.0480615
a26	0.284864	0.263345	0.179071	0.108073	0.0684602	0.0334214	0.0283264	0.0344393
a35	0.285101	0.245235	0.157626	0.103931	0.0786963	0.0457284	0.0363962	0.0472859
a94	0.257272	0.214847	0.153486	0.127043	0.114609	0.0655343	0.0355276	0.0316807
a76	0.264594	0.214626	0.161133	0.118354	0.10618	0.0644979	0.0369474	0.0336686
a14	0.174606	0.202293	0.184128	0.154928	0.12581	0.0713629	0.0459265	0.0409452
a35	0.157957	0.166829	0.146921	0.130227	0.131499	0.111284	0.0790559	0.0762269
a41	0.102257	0.12149	0.11406	0.133383	0.153372	0.144289	0.114984	0.116166
a14	0.0948278	0.123336	0.123265	0.148285	0.166217	0.143117	0.0980429	0.10291
a41	0.0676085	0.0994825	0.0993941	0.131878	0.182861	0.175439	0.120249	0.123088
a26	0.0498586	0.0808247	0.0823426	0.120878	0.175212	0.188748	0.141504	0.160632
a24	0.0431896	0.0643512	0.0669897	0.0758923	0.13974	0.192145	0.172296	0.245397
a41	0.0169288	0.0282903	0.0353282	0.0557261	0.0975267	0.179565	0.218096	0.368539
a35	0.0149059	0.0221952	0.0245192	0.0389318	0.0741754	0.172322	0.245235	0.407715
a14	0.0126041	0.018159	0.0185403	0.0259011	0.0505893	0.143351	0.26026	0.470595
a2	0.0138648	0.0214474	0.0197699	0.0285663	0.0489221	0.142936	0.266993	0.4575
a57	0.0116615	0.0185022	0.0170949	0.0207565	0.0376215	0.0978681	0.252717	0.543778
a38	0.0122162	0.0157024	0.0136054	0.0163895	0.0330066	0.0920731	0.239467	0.57754
a76	0.00398191	0.00835136	0.00703566	0.0103847	0.0281304	0.0932237	0.230526	0.618366
a73	0.00344098	0.0110181	0.0113384	0.0186972	0.0364964	0.110229	0.223322	0.585458
a84	0.00235234	0.00631168	0.0054755	0.00866815	0.0213359	0.090865	0.216304	0.648688
a57	0.00546469	0.00913339	0.00908854	0.0113987	0.0204413	0.0702133	0.24034	0.63392
a87	0.0205268	0.0240457	0.0207611	0.0228041	0.0395212	0.117036	0.265168	0.490137
a23	0.0117503	0.0166328	0.020782	0.0369616	0.0718363	0.179718	0.253773	0.408546
a87	0.0376196	0.0522778	0.0649963	0.0764195	0.105731	0.193546	0.218018	0.251391
a23	0.0181112	0.0411942	0.0426175	0.0675984	0.0965025	0.173649	0.205659	0.354669
a87	0.0253193	0.0468037	0.0618217	0.0911752	0.125536	0.220157	0.199666	0.229521
a97	0.0155571	0.044116	0.0455297	0.0726558	0.100411	0.181652	0.209327	0.330751
</S>	0.0449484	0.0773999	0.0738047	0.0920669	0.106558	0.155466	0.199298	0.250458
