 	son	embonpoint	n'	est	pas	normal	</S>
a66	0.271955	0.16153	0.131664	0.137257	0.11987	0.104343	0.0733815
a87	0.164948	0.119389	0.147513	0.192038	0.178598	0.157206	0.0403074
a23	0.335501	0.212066	0.14422	0.105168	0.0885816	0.0817046	0.0327599
a50	0.401889	0.238065	0.13906	0.0980585	0.0549503	0.0425079	0.0254693
a71	0.39421	0.23681	0.121493	0.079622	0.0549762	0.066848	0.0460406
a38	0.394291	0.268665	0.142087	0.0804552	0.0478016	0.0435682	0.0231317
a93	0.264153	0.255627	0.177688	0.118443	0.0762736	0.0762098	0.0316054
a70	0.201376	0.245384	0.198482	0.146099	0.0998514	0.0759457	0.0328622
a75	0.152725	0.201392	0.169208	0.136746	0.118008	0.153075	0.0688461
a98	0.10054	0.171845	0.170306	0.165044	0.144221	0.156697	0.0913465
a25	0.0879884	0.144063	0.160368	0.19217	0.160876	0.141171	0.113363
a92	0.10338	0.149654	0.16641	0.189671	0.146621	0.118532	0.125732
a12	0.0937672	0.119445	0.140473	0.167486	0.145141	0.169228	0.16446
a31	0.0617555	0.0700701	0.112702	0.173641	0.187522	0.202436	0.191873
a62	0.0302491	0.0412544	0.0808992	0.158863	0.18989	0.219134	0.279711
a88	0.0259228	0.0255238	0.0403666	0.088749	0.148037	0.227086	0.444315
a62	0.00929366	0.0114014	0.0184355	0.0486601	0.0895034	0.205735	0.616971
a83	0.00640005	0.00635471	0.0106797	0.0294963	0.0687097	0.197199	0.681161
a9	0.00616497	0.00715217	0.0132597	0.0396002	0.0747672	0.189023	0.670032
a87	0.0304405	0.0290638	0.0379097	0.0600299	0.0864311	0.158105	0.59802
a23	0.0610514	0.0643211	0.078977	0.0971728	0.14477	0.224211	0.329497
a99	0.0261794	0.0247789	0.0412023	0.0836106	0.137179	0.223665	0.463385
a97	0.00990998	0.0105792	0.0220189	0.060308	0.108233	0.203944	0.585007
a99	0.0166142	0.0157187	0.0244564	0.0546582	0.100269	0.185415	0.602869
a97	0.0310976	0.0271352	0.0382932	0.084685	0.130207	0.190608	0.497975
</S>	0.0913322	0.0705043	0.0773088	0.10827	0.140093	0.136271	0.376221
