 	le	brouillard	est	tombé	après	la	pluie	</S>
a23	0.332107	0.15195	0.133073	0.109754	0.116658	0.0747564	0.0475873	0.0341151
a87	0.351934	0.227955	0.141126	0.100566	0.0720103	0.0460164	0.0291024	0.0312893
a23	0.279751	0.233836	0.155255	0.114479	0.0867194	0.0506608	0.0351856	0.0441132
a62	0.399152	0.291465	0.131739	0.0696976	0.0375228	0.02501	0.0198229	0.0255901
a47	0.501242	0.30644	0.101034	0.046695	0.0223292	0.00993033	0.00623879	0.00609033
a66	0.45235	0.294191	0.11334	0.0639249	0.0349536	0.0171203	0.0116797	0.0124407
a93	0.349737	0.241684	0.136606	0.0968927	0.0677733	0.0400487	0.0316397	0.0356189
a96	0.256031	0.222628	0.149839	0.114755	0.0856268	0.0546151	0.0510254	0.0654799
a61	0.17902	0.208298	0.176812	0.149286	0.108826	0.0634079	0.0542786	0.0600717
a24	0.159358	0.19616	0.201082	0.176925	0.120717	0.0571493	0.0432556	0.0453531
a31	0.0863338	0.125486	0.182107	0.192004	0.164701	0.10078	0.0743386	0.0742487
a75	0.0834864	0.10662	0.154357	0.177664	0.184646	0.132164	0.0866127	0.0744492
a25	0.0826667	0.0988371	0.145489	0.151636	0.145018	0.122897	0.121309	0.132147
a56	0.0399735	0.0556269	0.114776	0.145831	0.178766	0.167444	0.146867	0.150716
a96	0.0422908	0.0523684	0.105674	0.141738	0.185421	0.181807	0.150032	0.140668
a90	0.0171985	0.0212755	0.0546357	0.0868828	0.156029	0.221482	0.21963	0.222866
a25	0.0104491	0.0121953	0.0306591	0.0508643	0.106272	0.205507	0.267125	0.316928
a96	0.00561367	0.00581415	0.0115925	0.0198796	0.0472762	0.155667	0.31561	0.438546
a98	0.00427613	0.00490365	0.0117076	0.0200831	0.0494747	0.156485	0.302881	0.450189
a73	0.00541739	0.00523028	0.00925264	0.0139415	0.0329418	0.145503	0.331521	0.456193
a35	0.00502725	0.00474413	0.00865414	0.0129658	0.0250903	0.100221	0.299884	0.543413
a66	0.00588268	0.00501729	0.00744374	0.0101303	0.0191352	0.0887246	0.296217	0.567449
a90	0.00189168	0.00179479	0.00333238	0.00531806	0.0130604	0.0754525	0.262255	0.636896
a15	0.0016013	0.00156262	0.00296281	0.00482027	0.0112526	0.0676992	0.257111	0.65299
a30	0.00519862	0.00494766	0.00727382	0.00982743	0.0180816	0.0835461	0.28365	0.587475
a2	0.0158919	0.0150003	0.0209126	0.0281742	0.0419609	0.126779	0.273366	0.477914
a57	0.0371431	0.0293468	0.0300438	0.0335665	0.054348	0.143312	0.268658	0.403581
a87	0.114708	0.0734553	0.067151	0.0685383	0.103664	0.165799	0.195986	0.210699
a23	0.0700698	0.0522346	0.0619699	0.0662634	0.0951054	0.162783	0.222547	0.269026
a87	0.018839	0.0154766	0.0255424	0.0356379	0.0711971	0.179924	0.28892	0.364463
a97	0.0148993	0.0125071	0.0211925	0.0305235	0.0597419	0.160236	0.294772	0.406128
a82	0.0617271	0.0482369	0.0480665	0.0485943	0.065269	0.128098	0.237474	0.362534
a97	0.118421	0.0892639	0.0737535	0.0669481	0.0805745	0.129326	0.186851	0.254862
a66	0.118626	0.0853171	0.0705159	0.0647875	0.0696698	0.113493	0.185463	0.292127
a87	0.101942	0.0779451	0.0745814	0.0693204	0.0757095	0.12929	0.193861	0.277351
a23	0.0667291	0.0484467	0.0541064	0.055196	0.0650056	0.121125	0.216146	0.373245
a87	0.025296	0.0262898	0.0439222	0.0536805	0.0804268	0.157092	0.258175	0.355118
a23	0.0309846	0.030595	0.0460811	0.0536131	0.0716195	0.146115	0.255693	0.365299
a87	0.0301372	0.0264795	0.0438667	0.0553404	0.0867769	0.177591	0.271888	0.30792
</S>	0.0266455	0.0234535	0.0388289	0.0516505	0.0799552	0.172517	0.280622	0.326327
