 	il	y	a	un	pont	traditionnel	sur	la	rivière	ngoko	</S>
a66	0.0977948	0.103892	0.127478	0.216624	0.189557	0.131318	0.0576241	0.0328248	0.0179717	0.0127193	0.0121971
a87	0.125802	0.15551	0.170451	0.212567	0.135361	0.107924	0.0425419	0.0235462	0.0122716	0.00722079	0.00680477
a23	0.195728	0.180086	0.167027	0.149786	0.0908664	0.0754715	0.0409823	0.0387718	0.0323835	0.0172067	0.0116909
a87	0.222485	0.230277	0.161765	0.0935415	0.0473798	0.0415154	0.0332875	0.044678	0.0547136	0.0386313	0.0317259
a23	0.212556	0.224716	0.16645	0.111866	0.0553508	0.0447634	0.0338859	0.0467648	0.0548364	0.0310859	0.0177245
a27	0.187214	0.17606	0.127872	0.100266	0.0657376	0.0732418	0.0568235	0.0719165	0.0706245	0.0359482	0.0342965
a18	0.097786	0.0988613	0.100408	0.113459	0.0994872	0.118821	0.106906	0.102384	0.0736625	0.0453964	0.0428291
a66	0.138971	0.127073	0.133606	0.111204	0.0944521	0.0807383	0.0861342	0.0975134	0.0788643	0.0290456	0.0223978
a54	0.223505	0.183264	0.143155	0.0860144	0.0629801	0.0478574	0.0510221	0.0606346	0.0719706	0.0437583	0.0258383
a15	0.114843	0.0896617	0.0855107	0.0723469	0.0862114	0.102484	0.123971	0.12613	0.0998477	0.0504719	0.0485224
a47	0.0930579	0.103139	0.113823	0.11723	0.12354	0.121142	0.109961	0.0945419	0.0640464	0.0282562	0.0312622
a41	0.0855434	0.0987369	0.106833	0.108162	0.111309	0.0967236	0.0885991	0.0777336	0.070878	0.0637735	0.0917078
a6	0.102346	0.0986727	0.0981257	0.0859063	0.0841519	0.0682123	0.0632634	0.0543431	0.0498248	0.0861674	0.208986
a37	0.0560644	0.0529861	0.0592993	0.0668719	0.0878817	0.0744607	0.0788648	0.0710454	0.0774831	0.135978	0.239064
a93	0.0968575	0.0943377	0.0982835	0.0919218	0.0841133	0.0558249	0.0495912	0.0434987	0.0477519	0.0961714	0.241648
a56	0.0704031	0.0650456	0.0678986	0.070715	0.0717528	0.0485193	0.0559804	0.0572956	0.0681244	0.136424	0.287841
a96	0.0384749	0.0362499	0.0358394	0.0389493	0.0456176	0.0350977	0.0478994	0.0548531	0.0794817	0.181887	0.40565
a12	0.0282995	0.0218232	0.0192588	0.0185659	0.0219694	0.018878	0.0317767	0.0461659	0.0805352	0.203125	0.509603
a31	0.0177573	0.0129515	0.0111699	0.0104641	0.0124205	0.0116192	0.0207195	0.0348794	0.0816982	0.242675	0.543646
a88	0.00657973	0.00485388	0.00424704	0.00440438	0.0062755	0.00718671	0.0128651	0.0215948	0.0641159	0.258532	0.609345
a93	0.00257815	0.00200352	0.00173615	0.00200749	0.00356238	0.00471619	0.00925099	0.0165674	0.0548748	0.244575	0.658127
a96	0.00240837	0.00194463	0.00173161	0.00198988	0.00311051	0.00398411	0.00803454	0.0160888	0.0549303	0.22966	0.676117
a70	0.001334	0.000971374	0.000964553	0.00131006	0.0024029	0.00358054	0.00609328	0.00989449	0.0371764	0.220702	0.71557
a71	0.00201583	0.001537	0.00150497	0.00214984	0.00445696	0.00706416	0.0127073	0.018463	0.0507073	0.241195	0.658199
a57	0.00464654	0.00290988	0.00295246	0.00481311	0.00928323	0.0153219	0.0287131	0.0387704	0.0795144	0.235205	0.57787
a3	0.0421301	0.0277577	0.0313403	0.0358034	0.0351083	0.038355	0.0490716	0.0559522	0.0909087	0.216549	0.377023
a87	0.141187	0.103625	0.112824	0.109704	0.0724929	0.0589701	0.053512	0.0568406	0.0809773	0.108246	0.101621
a23	0.142327	0.111833	0.105104	0.0938504	0.0672077	0.0594801	0.0540167	0.0579478	0.0832551	0.115518	0.10946
a99	0.063301	0.0343289	0.0239574	0.0158289	0.00981795	0.0107926	0.018206	0.0364763	0.102737	0.258679	0.425874
a87	0.0283138	0.0175735	0.013376	0.0114052	0.00979678	0.0131146	0.0275314	0.0564202	0.12085	0.239401	0.462219
a97	0.0176331	0.0130625	0.0101998	0.00896363	0.00796305	0.0116045	0.0284164	0.0609776	0.134446	0.240853	0.465879
</S>	0.0406329	0.0367476	0.0336996	0.0378989	0.0330923	0.038308	0.0629372	0.0993485	0.14598	0.187159	0.284196
