 	les	légumes	s'	épanouissent	avec	les	pluies	</S>
a66	0.472944	0.213233	0.142532	0.0631212	0.0272575	0.0261286	0.025551	0.0292325
a87	0.344946	0.139778	0.105118	0.0935118	0.0676336	0.0668482	0.0849668	0.097198
a97	0.348496	0.138225	0.079646	0.0932236	0.0705617	0.0784255	0.0996219	0.0918005
a40	0.309858	0.130386	0.105292	0.115062	0.082819	0.0846998	0.094659	0.0772241
a36	0.433228	0.171906	0.124477	0.0944002	0.037754	0.0404057	0.0476941	0.0501349
a26	0.467894	0.277833	0.128362	0.0545175	0.0197981	0.0146861	0.0160007	0.0209092
a44	0.342447	0.203633	0.139672	0.086385	0.0546921	0.0547589	0.0550156	0.0633962
a93	0.273261	0.2189	0.169281	0.109793	0.0642535	0.0549923	0.0508362	0.0586829
a98	0.201604	0.202043	0.164675	0.124497	0.0922215	0.0732235	0.0650902	0.0766447
a47	0.209873	0.210947	0.18792	0.14813	0.0912604	0.0599156	0.0464186	0.0455361
a0	0.0955724	0.121442	0.155003	0.137769	0.117214	0.112809	0.111562	0.148628
a90	0.0745366	0.0901047	0.114599	0.152846	0.150324	0.14503	0.126963	0.145596
a53	0.0535837	0.0738405	0.0997953	0.146792	0.183135	0.17185	0.140467	0.130536
a15	0.0359667	0.0510135	0.0740268	0.145437	0.198844	0.190703	0.158991	0.145018
a47	0.0383399	0.0618184	0.0892524	0.14295	0.169239	0.171446	0.163115	0.16384
a7	0.0139235	0.0299154	0.0693857	0.137416	0.158343	0.183696	0.185838	0.221482
a44	0.0135104	0.0206362	0.0343832	0.120362	0.183004	0.199901	0.194318	0.233885
a53	0.00656005	0.00983482	0.0153094	0.0654497	0.172784	0.216697	0.227903	0.285462
a15	0.00410255	0.00676952	0.0108907	0.0503496	0.160497	0.220765	0.252457	0.294169
a7	0.00157201	0.00335824	0.00779174	0.0410285	0.131151	0.209028	0.26638	0.33969
a84	0.000533849	0.00101417	0.00307567	0.0221388	0.104209	0.192115	0.274589	0.402325
a57	0.00238947	0.00268903	0.00597677	0.0236107	0.0748912	0.14227	0.241768	0.506405
a84	0.0178331	0.0138769	0.0212835	0.0529139	0.0995659	0.175026	0.241589	0.377912
a87	0.09093	0.0510751	0.052811	0.0871119	0.113482	0.176621	0.206898	0.221072
a97	0.145527	0.0818064	0.0766193	0.106037	0.119922	0.16654	0.171455	0.132093
a84	0.0623891	0.0355593	0.0415413	0.0787481	0.135568	0.21188	0.235212	0.199101
a57	0.0462734	0.0272069	0.0415833	0.102491	0.152758	0.201916	0.230056	0.197714
a97	0.0667586	0.0420067	0.0571867	0.110257	0.137314	0.173192	0.20631	0.206975
a84	0.081461	0.0610673	0.0790001	0.122755	0.133592	0.158565	0.183801	0.179758
</S>	0.0989174	0.0695632	0.078769	0.10524	0.116297	0.147888	0.19008	0.193246
