 	cet	étang	a	vraiment	beaucoup	de	têtards	</S>
a66	0.265259	0.148516	0.148144	0.186961	0.118241	0.0766635	0.0350728	0.0211419
a10	0.256406	0.174115	0.150518	0.152685	0.118627	0.0664866	0.043634	0.037528
a87	0.5306	0.272887	0.110809	0.0303539	0.0153261	0.0125522	0.0121857	0.0152864
a23	0.45111	0.321274	0.14044	0.0313945	0.0165819	0.012064	0.0118696	0.0152654
a50	0.485727	0.314965	0.112144	0.0227764	0.0108902	0.011151	0.0168319	0.0255145
a83	0.425674	0.229031	0.14509	0.0480944	0.0320566	0.0393824	0.0397518	0.0409203
a56	0.487598	0.268082	0.151983	0.0427881	0.0196865	0.0144905	0.00944264	0.00592864
a93	0.35043	0.294056	0.203217	0.0831494	0.0302323	0.0193095	0.0117389	0.00786622
a47	0.228403	0.26145	0.227624	0.152982	0.0568847	0.0356795	0.021515	0.0154619
a96	0.169614	0.186023	0.18955	0.201349	0.10485	0.0715468	0.0429554	0.0341109
a62	0.144796	0.179145	0.186733	0.218147	0.122553	0.0745399	0.0411163	0.0329697
a75	0.127857	0.168478	0.196256	0.226821	0.131979	0.0737151	0.0394773	0.0354157
a85	0.0568809	0.0808687	0.134161	0.295842	0.199109	0.105749	0.0692682	0.0581204
a6	0.0282075	0.0427372	0.0771227	0.250549	0.245675	0.156831	0.106456	0.0924214
a36	0.0424374	0.0503498	0.0910592	0.210237	0.197909	0.175023	0.127237	0.105748
a85	0.0314807	0.0370731	0.0648787	0.166213	0.180412	0.168329	0.160528	0.191086
a5	0.013143	0.0178052	0.0363245	0.116753	0.135812	0.209852	0.212683	0.257627
a61	0.0241207	0.0270294	0.0475627	0.143043	0.154812	0.225949	0.189791	0.187691
a34	0.00964943	0.00819077	0.011229	0.0361701	0.0622814	0.180416	0.300534	0.39153
a90	0.00545763	0.00413863	0.00478299	0.0119988	0.0237764	0.0954191	0.281238	0.573188
a25	0.00163533	0.00122605	0.00150281	0.00454757	0.0115994	0.064507	0.248515	0.666467
a92	0.000632239	0.00055954	0.000682156	0.00220873	0.00561638	0.040723	0.190787	0.758791
a5	0.00084898	0.000731113	0.000875884	0.00278071	0.00762144	0.047741	0.200134	0.739267
a96	0.000726752	0.000427131	0.00047113	0.00142895	0.00449628	0.0319557	0.188176	0.772318
a18	0.000479298	0.000242716	0.000242001	0.000923987	0.00372912	0.0293432	0.17709	0.78795
a71	0.00352629	0.0018608	0.00174457	0.00356715	0.0128245	0.0617721	0.202384	0.712321
a3	0.0272051	0.0145006	0.015063	0.022894	0.0320541	0.0736189	0.180576	0.634088
a97	0.158116	0.0877799	0.0818217	0.0829057	0.0663602	0.0837342	0.137685	0.301598
a87	0.213784	0.12367	0.0952936	0.0780787	0.0718253	0.0941423	0.126969	0.196237
a23	0.186088	0.120938	0.0904981	0.0742638	0.0582142	0.0996346	0.146218	0.224145
a38	0.0733102	0.050989	0.0374504	0.0320119	0.0288431	0.0724961	0.199253	0.505646
a36	0.054631	0.0413349	0.0414789	0.0744289	0.0788531	0.129936	0.214064	0.365273
</S>	0.00789691	0.00741785	0.0113102	0.0340162	0.0601713	0.140793	0.24954	0.488855
