 	on	commença	à	brasser	la	bière	</S>
a85	0.228567	0.179931	0.141651	0.0651006	0.082439	0.111207	0.191105
a87	0.26941	0.151806	0.166363	0.0896611	0.0852823	0.0863952	0.151082
a23	0.324875	0.157613	0.13574	0.0929894	0.0799607	0.0749099	0.133912
a20	0.229737	0.120941	0.103576	0.0543984	0.0736371	0.118048	0.299662
a30	0.290458	0.170938	0.141272	0.0926225	0.0939171	0.0883916	0.122401
a57	0.376642	0.256922	0.202435	0.0852421	0.0385575	0.0188508	0.0213506
a40	0.330509	0.267679	0.214109	0.0973144	0.0421494	0.0221213	0.0261184
a30	0.257381	0.278946	0.229425	0.113603	0.0539825	0.032624	0.0340383
a35	0.343957	0.282945	0.196954	0.0970985	0.0412996	0.021271	0.0164751
a26	0.298505	0.277742	0.204898	0.114082	0.0527433	0.0280886	0.0239424
a24	0.260222	0.255846	0.185738	0.138069	0.0827827	0.0430457	0.0342968
a25	0.171948	0.213296	0.189031	0.171751	0.126835	0.0726013	0.0545375
a87	0.0731364	0.111492	0.13057	0.175989	0.207909	0.148705	0.152199
a23	0.0458768	0.060409	0.0777206	0.12644	0.210664	0.219336	0.259553
a24	0.0453134	0.0568381	0.0717825	0.124114	0.233174	0.215949	0.252829
a25	0.0864278	0.0978412	0.0861663	0.0987416	0.150403	0.222741	0.257679
a53	0.0449437	0.0666074	0.0716542	0.124815	0.193275	0.23974	0.258965
a20	0.0587244	0.0856878	0.0759747	0.115876	0.182621	0.24423	0.236886
a94	0.0195424	0.0216792	0.0197103	0.0344067	0.115265	0.292553	0.496843
a76	0.0175675	0.0187566	0.0175094	0.0296558	0.105648	0.289356	0.521507
a94	0.012847	0.0148806	0.0159971	0.0326251	0.0953454	0.282788	0.545517
a14	0.0105742	0.00879201	0.00880058	0.0160127	0.066469	0.245371	0.643981
a35	0.0147063	0.0119189	0.0103621	0.0188847	0.0699821	0.22714	0.647006
a41	0.0126666	0.00916085	0.00817693	0.014832	0.0610602	0.218389	0.675714
a35	0.0166072	0.0111431	0.0102212	0.0158544	0.0612028	0.202787	0.682184
a66	0.0140403	0.00999661	0.00937702	0.0148825	0.0651691	0.208665	0.67787
a9	0.00959746	0.00681311	0.00641886	0.0139375	0.0651349	0.223181	0.674917
a87	0.0105201	0.00768743	0.00719751	0.0123402	0.053639	0.214141	0.694475
</S>	0.0156816	0.0103881	0.00952024	0.01378	0.062708	0.213666	0.674256
