 	avance	n'	aie	pas	peur	</S>
a23	0.302256	0.294868	0.22113	0.0842192	0.0533078	0.0442189
a87	0.249784	0.13752	0.133756	0.136954	0.15011	0.191876
a99	0.235731	0.121803	0.137129	0.142156	0.152364	0.210817
a38	0.21977	0.141828	0.182556	0.146366	0.143572	0.165908
a90	0.431054	0.171798	0.120606	0.0878053	0.0710314	0.117706
a98	0.382191	0.17062	0.13842	0.111366	0.08638	0.111024
a14	0.365899	0.201597	0.166795	0.110544	0.0774427	0.0777218
a35	0.385556	0.236949	0.164233	0.100457	0.0584632	0.0543423
a14	0.393564	0.227102	0.135556	0.0991485	0.0696329	0.0749961
a44	0.329009	0.236581	0.1597	0.1203	0.0817675	0.0726426
a26	0.331582	0.24319	0.161502	0.100508	0.071582	0.0916364
a4	0.220552	0.179088	0.196076	0.147897	0.10978	0.146607
a90	0.181067	0.173658	0.21299	0.159539	0.117417	0.155329
a35	0.218024	0.175831	0.213667	0.166345	0.111385	0.114748
a0	0.15247	0.122501	0.181306	0.189571	0.172196	0.181955
a11	0.125881	0.116457	0.192604	0.199821	0.172599	0.192638
a93	0.124853	0.132601	0.233708	0.208448	0.136231	0.164159
a13	0.197927	0.183251	0.222051	0.177034	0.110491	0.109245
a9	0.123475	0.141853	0.249838	0.222788	0.141234	0.120812
a99	0.114725	0.123359	0.223382	0.22512	0.148353	0.165061
a53	0.0798264	0.0870216	0.183878	0.232361	0.191835	0.225078
a90	0.0342263	0.0510506	0.190346	0.226633	0.217307	0.280437
a13	0.0358146	0.0533987	0.181817	0.242496	0.241701	0.244772
a75	0.0556699	0.0631775	0.154428	0.221433	0.236657	0.268635
a14	0.0311484	0.0389101	0.156017	0.211828	0.245111	0.316986
a35	0.0245867	0.0286981	0.128877	0.194448	0.263089	0.360302
a98	0.026678	0.0256655	0.10499	0.174818	0.255947	0.411902
a73	0.0192533	0.0215279	0.0991074	0.170453	0.262933	0.426725
a44	0.018471	0.018477	0.0925854	0.15722	0.257158	0.456088
a90	0.0176003	0.0149826	0.0712724	0.129837	0.25322	0.513088
a35	0.0266246	0.0233998	0.0834615	0.139532	0.252341	0.474642
a76	0.0191948	0.0135519	0.0509694	0.101056	0.239371	0.575857
a90	0.0300164	0.0173362	0.0466192	0.0961358	0.229105	0.580787
a57	0.0271484	0.0176783	0.0565394	0.112469	0.236307	0.549858
a40	0.00752366	0.00604677	0.0295067	0.0794888	0.24097	0.636464
a54	0.0129315	0.0119698	0.0539045	0.107565	0.238133	0.575496
a73	0.022086	0.0163256	0.0465597	0.0907306	0.223119	0.601179
a57	0.0140778	0.0104092	0.0375807	0.0776262	0.228228	0.632078
a87	0.00881225	0.00748427	0.0328755	0.0791252	0.259489	0.612213
</S>	0.0103675	0.0117143	0.0503114	0.0999139	0.274895	0.552798
