 	la	pluie	a	abîmé	mes	chaussures	</S>
a23	0.334544	0.221952	0.188505	0.125392	0.0632263	0.0361288	0.0302524
a94	0.339787	0.227263	0.175109	0.0814277	0.0522157	0.0466001	0.0775975
a76	0.34642	0.286225	0.166506	0.111782	0.0520515	0.0224621	0.0145537
a30	0.419691	0.318109	0.159123	0.0685291	0.0224804	0.00798734	0.00407958
a35	0.320239	0.307441	0.210297	0.104351	0.0408554	0.0109558	0.00586024
a24	0.299836	0.295502	0.210579	0.110936	0.0545561	0.0178937	0.010697
a35	0.285709	0.283573	0.208712	0.11252	0.0687367	0.0245567	0.0161934
a41	0.182682	0.271951	0.247298	0.155031	0.0944951	0.0287646	0.0197785
a35	0.137329	0.246389	0.273548	0.188009	0.104723	0.0309757	0.0190267
a26	0.0967234	0.201838	0.27651	0.223867	0.131808	0.0434165	0.0258372
a32	0.0745783	0.161579	0.261882	0.24961	0.168818	0.0541541	0.0293788
a11	0.0715418	0.156542	0.237518	0.248103	0.161454	0.0756242	0.0492164
a75	0.0504274	0.110846	0.210651	0.255043	0.20083	0.100512	0.0716904
a35	0.0246044	0.0519774	0.103606	0.214764	0.235826	0.192759	0.176463
a75	0.0323999	0.0481397	0.0863073	0.142121	0.201753	0.215192	0.274087
a35	0.0142144	0.0233989	0.0388492	0.0868705	0.175168	0.285843	0.375656
a24	0.0244251	0.0324815	0.0448243	0.0723426	0.133512	0.264463	0.427951
a41	0.0282394	0.034529	0.0456439	0.0679041	0.121063	0.251018	0.451603
a14	0.0238367	0.0303098	0.0420534	0.071932	0.14221	0.27071	0.418949
a35	0.0220271	0.0278574	0.043499	0.0688066	0.123306	0.271424	0.44308
a14	0.0150665	0.0174157	0.0265378	0.0423414	0.0910754	0.250605	0.556958
a44	0.0212989	0.0273854	0.0409996	0.0665909	0.111503	0.266837	0.465385
a57	0.0131826	0.01689	0.0258267	0.0383274	0.0816973	0.221777	0.602299
a84	0.00825269	0.00923427	0.0156078	0.0179904	0.0496583	0.248039	0.651218
a53	0.00691431	0.00932624	0.0168799	0.0199302	0.0522394	0.251855	0.642855
a90	0.00216061	0.00423414	0.00987122	0.0131089	0.0367769	0.226237	0.707612
a4	0.00490077	0.00902288	0.018492	0.021002	0.0419488	0.18963	0.715004
a13	0.00925311	0.0147792	0.0231138	0.0243903	0.0432148	0.169266	0.715983
a9	0.0137301	0.0228086	0.0384751	0.0363608	0.0560863	0.185364	0.647175
a87	0.015801	0.0271627	0.0487808	0.0598863	0.0723416	0.172379	0.603649
</S>	0.0515017	0.084642	0.120599	0.125896	0.114282	0.169972	0.333107
