 	les	arbres	bordent	la	piste	</S>
a23	0.483205	0.206068	0.1314	0.0634431	0.0655992	0.0502845
a87	0.555702	0.12189	0.0695617	0.0646999	0.0735108	0.114636
a30	0.407299	0.15345	0.0717032	0.0798676	0.0958698	0.19181
a57	0.166634	0.0804453	0.0719859	0.0985988	0.175077	0.407259
a87	0.157885	0.116939	0.0784554	0.102356	0.193919	0.350445
a23	0.155207	0.153553	0.108804	0.104625	0.157589	0.320222
a40	0.185682	0.170101	0.0817226	0.0957841	0.171552	0.295158
a30	0.497904	0.24343	0.113859	0.0585158	0.0497203	0.0365703
a73	0.317055	0.414789	0.186716	0.040892	0.0223012	0.0182467
a26	0.298179	0.368	0.185462	0.0644849	0.0444418	0.0394317
a76	0.0985104	0.292288	0.29231	0.136645	0.0935614	0.0866852
a85	0.213769	0.298369	0.198477	0.120933	0.0935192	0.0749326
a41	0.247883	0.296195	0.186626	0.10539	0.088704	0.0752007
a75	0.145842	0.258595	0.206545	0.153317	0.125435	0.110266
a35	0.120903	0.193839	0.15712	0.17041	0.173398	0.184329
a41	0.0807968	0.157844	0.190328	0.212573	0.176105	0.182352
a73	0.0365073	0.0796006	0.167072	0.260161	0.228822	0.227838
a58	0.0344518	0.0944989	0.194503	0.245301	0.205159	0.226087
a75	0.0130248	0.0326717	0.0909688	0.228839	0.244208	0.390287
a14	0.0144643	0.0322254	0.0954403	0.254651	0.266306	0.336913
a2	0.00857532	0.0199258	0.0784439	0.27184	0.293699	0.327516
a40	0.00758456	0.0123389	0.0397319	0.171302	0.286858	0.482185
a53	0.00800106	0.0192772	0.050863	0.185483	0.274972	0.461405
a90	0.00505544	0.01327	0.0410672	0.176708	0.290837	0.473062
a4	0.0069585	0.0133766	0.0403846	0.155257	0.28004	0.503983
a57	0.00694465	0.0105938	0.0318899	0.133227	0.276607	0.540738
a3	0.00208424	0.00270938	0.0109368	0.0804768	0.264559	0.639234
a87	0.00135623	0.00190884	0.00995161	0.0793016	0.23039	0.677092
</S>	0.00313869	0.00665184	0.0291775	0.121539	0.242174	0.597319
