 	une	longue	maladie	l'	a	fait	échouer	à	l'	école	</S>
a66	0.293821	0.129578	0.0649225	0.0690339	0.120256	0.143743	0.10691	0.0411495	0.0148592	0.00875339	0.00697345
a87	0.477589	0.195325	0.0483887	0.0318897	0.0318405	0.0372689	0.0505573	0.0376909	0.0284293	0.0306865	0.0303341
a23	0.509272	0.265728	0.0682087	0.0346588	0.0329354	0.027291	0.0215787	0.0122857	0.00881755	0.00889983	0.010324
a87	0.406141	0.27586	0.0990426	0.0428653	0.0445777	0.053236	0.0329937	0.0128721	0.0120276	0.00997063	0.0104143
a23	0.366207	0.271072	0.110529	0.0503241	0.0500569	0.0592714	0.0397081	0.0161854	0.0142489	0.0112299	0.0111674
a9	0.347886	0.201151	0.0972403	0.0554582	0.0577775	0.0590045	0.0494269	0.0287672	0.0329962	0.0317743	0.0385179
a53	0.300469	0.177924	0.108805	0.0623461	0.0605384	0.0605191	0.0768357	0.0468165	0.0476091	0.0326458	0.0254906
a93	0.244767	0.197142	0.139885	0.0925583	0.0817497	0.0662537	0.0436179	0.0395955	0.0440405	0.0298681	0.0205231
a96	0.0905385	0.140975	0.183651	0.16519	0.127169	0.0893095	0.0498795	0.0336798	0.0404794	0.0399779	0.0391492
a31	0.0664569	0.0996074	0.164101	0.182462	0.163757	0.114893	0.0583697	0.0330797	0.036602	0.0388323	0.0418398
a88	0.0628132	0.0995415	0.143085	0.168985	0.162972	0.127315	0.0744969	0.0357374	0.0377715	0.0411307	0.0461509
a24	0.041233	0.0605364	0.116912	0.173065	0.184741	0.147027	0.10114	0.0440433	0.0372485	0.0419138	0.0521391
a31	0.0335594	0.0388132	0.0733874	0.138919	0.175167	0.160876	0.128897	0.0664188	0.0520761	0.0587474	0.0731396
a88	0.0204902	0.0254405	0.0567289	0.124585	0.17577	0.176311	0.161644	0.0907003	0.0564	0.0517923	0.0601377
a9	0.0132673	0.0111592	0.0240953	0.0750843	0.146995	0.171901	0.191585	0.121594	0.0787959	0.0756882	0.0898344
a83	0.00636522	0.00521875	0.0110743	0.0368511	0.0958353	0.127669	0.196831	0.168614	0.117643	0.106248	0.12765
a9	0.0103038	0.00783568	0.0157921	0.0484927	0.122566	0.170961	0.185267	0.162764	0.103411	0.0849051	0.087702
a53	0.00665198	0.00421008	0.00798562	0.0295432	0.084642	0.120001	0.166896	0.174821	0.142133	0.127678	0.135438
a56	0.00810029	0.00714016	0.0136886	0.0324695	0.0780151	0.10693	0.109496	0.168515	0.154989	0.145982	0.174674
a44	0.00809238	0.00571309	0.0102101	0.0239483	0.0536399	0.0745556	0.0834273	0.138826	0.173488	0.190977	0.237123
a70	0.00157344	0.00114605	0.00237723	0.00622041	0.0171348	0.0282843	0.0440294	0.110473	0.184768	0.254294	0.349699
a11	0.00120407	0.000845033	0.00161221	0.00379013	0.00882184	0.013248	0.0237848	0.0800493	0.181298	0.278426	0.406921
a0	0.000548884	0.000373471	0.000566327	0.00127791	0.00317931	0.00572598	0.01654	0.0698012	0.163757	0.276884	0.461346
a93	0.0004071	0.00026451	0.000357066	0.000810681	0.00184988	0.00304636	0.0110991	0.061191	0.146678	0.276253	0.498044
a90	0.000298549	0.000181171	0.000251825	0.000623823	0.00159853	0.00296959	0.0106992	0.0506995	0.132413	0.271553	0.528713
a92	0.000130675	9.46756e-05	0.00013448	0.000262835	0.000696768	0.00127445	0.00378271	0.0318452	0.108082	0.256889	0.596807
a5	7.12569e-05	4.49897e-05	6.57617e-05	0.00013704	0.000361628	0.000649674	0.00213389	0.0212463	0.0840276	0.240146	0.651116
a37	7.82282e-05	4.62239e-05	5.9776e-05	0.000137262	0.000325649	0.000514567	0.00162641	0.0176682	0.0677889	0.235465	0.67629
a26	0.000119781	7.84535e-05	9.64003e-05	0.000189428	0.00038267	0.000553721	0.00195246	0.0208716	0.0749111	0.247127	0.653717
a53	0.00782381	0.00432376	0.0034247	0.00456877	0.00555704	0.00544199	0.00954263	0.0327266	0.0829495	0.234994	0.608647
a44	0.000217159	0.000135576	0.000181681	0.000318876	0.000518592	0.000715265	0.00268347	0.0259091	0.0825744	0.233169	0.653576
a57	0.00019418	8.99974e-05	0.000108777	0.000209627	0.000416205	0.000558529	0.00205492	0.0192465	0.0683383	0.229248	0.679535
a3	0.00453157	0.00182908	0.00145249	0.00210022	0.00287046	0.00314969	0.00705685	0.0268917	0.0774342	0.23564	0.637044
a87	0.133558	0.0488571	0.0236169	0.0226001	0.0244139	0.0226175	0.0238056	0.0459559	0.0910832	0.183898	0.379593
a23	0.304203	0.123367	0.0473875	0.0433627	0.0450188	0.042361	0.0293172	0.0472721	0.066712	0.100772	0.150226
a87	0.150532	0.0572331	0.0157645	0.0137376	0.0125771	0.0117951	0.00853127	0.034641	0.0777344	0.19467	0.422784
a85	0.0390552	0.016112	0.00834648	0.00983621	0.0124477	0.0145246	0.0127401	0.034768	0.071653	0.194923	0.585594
</S>	0.0530174	0.0256081	0.0135943	0.0156244	0.0206068	0.0239693	0.0177761	0.0422605	0.0781912	0.187205	0.522147
