 	son	ami	l'	a	frappé	parce	qu'	il	ne	sait	pas	tenir	sa	langue	</S>
a66	0.202031	0.121499	0.0599643	0.0582697	0.0629872	0.0773653	0.0765348	0.0703465	0.0669795	0.0664454	0.0409674	0.0311931	0.0262361	0.0208028	0.0183784
a87	0.0778665	0.0582893	0.0545359	0.0542268	0.0717904	0.096951	0.0820472	0.0599295	0.0514717	0.0504359	0.0492393	0.0553981	0.0702871	0.0765793	0.090952
a97	0.189128	0.131144	0.0910863	0.0699235	0.0572857	0.0556409	0.0432299	0.0253595	0.0239396	0.0253938	0.025388	0.0303866	0.0517691	0.0865678	0.093757
a30	0.118275	0.124563	0.121126	0.108805	0.091224	0.0661276	0.0432667	0.02347	0.0254624	0.0248858	0.0245412	0.0275244	0.0508396	0.0731878	0.076702
a13	0.182676	0.162693	0.113768	0.091135	0.0601496	0.0359843	0.0247806	0.0176703	0.0215381	0.0233009	0.0240711	0.0248879	0.0523996	0.0756451	0.0892996
a62	0.244877	0.192864	0.0990625	0.0743986	0.0370263	0.0208605	0.0146072	0.0131979	0.0182225	0.0219091	0.0206663	0.0274246	0.049521	0.0771394	0.0882233
a21	0.216269	0.244863	0.171523	0.139022	0.0832405	0.0370803	0.0180932	0.0116816	0.0121829	0.00971536	0.00685502	0.00619208	0.00767807	0.0150638	0.0205417
a5	0.142015	0.191939	0.176077	0.160712	0.123158	0.0661049	0.0333006	0.0195337	0.0188631	0.0135173	0.00780777	0.00732215	0.00795848	0.01475	0.016941
a37	0.133443	0.160038	0.161038	0.152619	0.129727	0.0766541	0.0450715	0.0283434	0.0259225	0.0182787	0.011033	0.0106673	0.0115143	0.0167521	0.0188983
a21	0.0850588	0.102834	0.124794	0.13729	0.150279	0.11528	0.0784687	0.046627	0.0395585	0.0285278	0.0177505	0.0143376	0.0153329	0.020058	0.0238045
a56	0.0873661	0.103186	0.122392	0.13708	0.152644	0.1227	0.0877472	0.0563966	0.0468122	0.0278277	0.0135	0.00997016	0.00946325	0.0110839	0.0118312
a90	0.0492429	0.0632147	0.098717	0.124765	0.160444	0.149753	0.119371	0.0721674	0.0583228	0.0321981	0.0164931	0.0109899	0.0119869	0.014264	0.0180699
a92	0.0445105	0.0548797	0.0843051	0.114578	0.148353	0.143109	0.121132	0.080375	0.0667161	0.0431531	0.0230855	0.0152135	0.0169467	0.0191434	0.0244992
a36	0.0187119	0.0231592	0.0410875	0.0647566	0.105291	0.149835	0.154036	0.114505	0.0939793	0.0717004	0.0425239	0.0277985	0.0297494	0.0294076	0.0334583
a26	0.0113635	0.013694	0.0233374	0.0377368	0.0659931	0.130041	0.187518	0.159845	0.121201	0.0719364	0.0347862	0.0249937	0.0288228	0.0344006	0.0543308
a11	0.0152084	0.0169626	0.0251554	0.0369838	0.0541925	0.0959912	0.153189	0.15964	0.13057	0.0809164	0.0379302	0.0315239	0.039105	0.0493128	0.0733195
a62	0.0190347	0.0200141	0.0264344	0.0363347	0.0480362	0.082777	0.132499	0.151411	0.134074	0.0905636	0.0453612	0.0408331	0.0441538	0.0523383	0.0761342
a61	0.0108083	0.0109127	0.016543	0.0236538	0.040243	0.0847814	0.132136	0.154062	0.142377	0.114497	0.057567	0.0421562	0.040643	0.0492249	0.0803943
a21	0.0094725	0.0095262	0.0142966	0.0197467	0.032103	0.0751478	0.123181	0.151763	0.144025	0.131892	0.0797347	0.0547946	0.0462088	0.0444549	0.0636533
a85	0.0120142	0.0115493	0.0146754	0.018478	0.0262465	0.0558092	0.100901	0.138379	0.1315	0.131823	0.104568	0.084914	0.0640418	0.0519997	0.0531013
a36	0.0101323	0.00909878	0.0121944	0.0160756	0.0240773	0.0529059	0.105746	0.147676	0.123316	0.107434	0.0821173	0.0730648	0.0704885	0.0667453	0.0989287
a6	0.00741325	0.00727549	0.010288	0.0132286	0.0179856	0.0335229	0.0540035	0.0821574	0.0807851	0.095766	0.0776746	0.0776046	0.106008	0.124942	0.211345
a36	0.00542541	0.00491801	0.00722985	0.0090932	0.0136207	0.0307513	0.0528336	0.0779577	0.0733068	0.0899939	0.0874961	0.0868184	0.109171	0.121722	0.229662
a26	0.0115925	0.00967175	0.0120863	0.0140447	0.0177781	0.0289527	0.0402917	0.0559778	0.0533533	0.0709735	0.0749648	0.0956825	0.127496	0.14764	0.239495
a21	0.0192691	0.0119553	0.0116212	0.0119006	0.0131558	0.0234606	0.0318346	0.0425797	0.0374282	0.05238	0.0647458	0.103154	0.140556	0.187213	0.248746
