 	ii	a	appris	la	nouvelle	aux	villageois	</S>
a23	0.525595	0.278759	0.104959	0.0378089	0.0129992	0.00744706	0.00818553	0.024247
a85	0.662159	0.184265	0.0418456	0.023064	0.0147381	0.00989821	0.0186079	0.0454219
a66	0.395899	0.202496	0.11232	0.0524533	0.0255673	0.0212707	0.0596693	0.130324
a87	0.341847	0.191805	0.107657	0.072694	0.0400531	0.0292703	0.0551723	0.161501
a23	0.279351	0.170874	0.111381	0.0508549	0.0569435	0.0466054	0.0975952	0.186395
a30	0.191575	0.091396	0.085057	0.0554951	0.0361459	0.0440734	0.110533	0.385725
a53	0.0924982	0.0537948	0.0632733	0.0617206	0.0423762	0.0564818	0.179623	0.450232
a20	0.194602	0.175933	0.149597	0.0974355	0.0966488	0.0951587	0.105478	0.0851467
a30	0.239258	0.175375	0.216423	0.165981	0.0806462	0.0520423	0.0403732	0.0299022
a2	0.172664	0.154988	0.194994	0.247305	0.111265	0.0530481	0.0351448	0.030592
a57	0.119077	0.0929596	0.140838	0.213998	0.120491	0.0703156	0.108391	0.13393
a40	0.0539837	0.0433012	0.0856704	0.148369	0.122481	0.0839181	0.149129	0.313148
a30	0.0897785	0.0782034	0.137439	0.228335	0.145466	0.0784413	0.107001	0.135336
a41	0.12027	0.112647	0.154667	0.24712	0.191636	0.0904123	0.0475981	0.0356492
a26	0.0600943	0.0565851	0.0683072	0.151934	0.281573	0.181656	0.105369	0.0944821
a24	0.0561885	0.0524806	0.0668387	0.149157	0.256369	0.166028	0.120209	0.132729
a41	0.0409595	0.0387171	0.0564971	0.121607	0.230796	0.182328	0.174058	0.155037
a61	0.031674	0.0255445	0.0308083	0.0663776	0.177133	0.202373	0.222535	0.243556
a24	0.0442234	0.0380686	0.0508738	0.0779359	0.165337	0.181843	0.214301	0.227417
a43	0.0239064	0.0210335	0.0289758	0.0423131	0.0993525	0.141927	0.293765	0.348727
a0	0.0557416	0.0417792	0.0514418	0.0642026	0.112078	0.118228	0.211004	0.345525
a21	0.0529241	0.0394337	0.0521324	0.0692231	0.12417	0.131532	0.2455	0.285084
a75	0.0590093	0.0629246	0.0930716	0.0897414	0.123066	0.138409	0.208921	0.224857
a14	0.02034	0.0199147	0.0397368	0.0565859	0.110127	0.171183	0.239567	0.342545
a44	0.0346178	0.0313924	0.0555315	0.0799322	0.136692	0.185507	0.218466	0.257861
a98	0.0348259	0.0252539	0.0330932	0.0436232	0.0918743	0.165072	0.269869	0.336389
a14	0.0156712	0.0119078	0.0174958	0.0278864	0.065788	0.146725	0.328669	0.385857
a85	0.0272558	0.0132025	0.0178339	0.0419936	0.136308	0.234106	0.281758	0.247542
a14	0.0188982	0.0132557	0.0229692	0.0496956	0.118759	0.186792	0.277276	0.312354
a2	0.0131001	0.0105128	0.020387	0.0487783	0.111802	0.189301	0.2618	0.344319
a26	0.00110729	0.000634533	0.00117632	0.00357506	0.0161989	0.0529648	0.21178	0.712563
a53	0.000961114	0.000361764	0.00035455	0.000710877	0.00340984	0.0134443	0.0983088	0.882449
a4	0.00512155	0.00221995	0.00251573	0.00585365	0.0198831	0.0580286	0.207501	0.698876
a13	0.00505277	0.00189772	0.00189474	0.00342866	0.0107364	0.0364103	0.143764	0.796815
a9	0.00406613	0.00163201	0.00183319	0.00336857	0.00776901	0.0217065	0.113401	0.846224
a87	0.00257169	0.000899495	0.000863487	0.0027365	0.0153169	0.0379388	0.160631	0.779042
</S>	0.0154807	0.00637686	0.00609816	0.0206418	0.0591511	0.0654921	0.193542	0.633218
