 	les	gens	du	village	sont	accourus	en	foule	pour	le	voir	</S>
a23	0.2472	0.159027	0.122916	0.141626	0.107926	0.0931269	0.0612363	0.0257782	0.0143044	0.0104389	0.00865711	0.00776441
a54	0.0932411	0.0831564	0.0794228	0.130294	0.125075	0.138079	0.0981376	0.0590325	0.0484768	0.0530912	0.0496608	0.0423336
a30	0.283777	0.198049	0.159347	0.147877	0.0810183	0.0748107	0.0313628	0.009658	0.00551932	0.00328888	0.00273529	0.00255575
a14	0.266109	0.171187	0.14697	0.141713	0.107797	0.0886751	0.0451301	0.0163614	0.00749382	0.00405356	0.00268257	0.00182747
a30	0.147085	0.132408	0.143461	0.165277	0.159405	0.124414	0.0726097	0.0311474	0.0117497	0.00565423	0.00380305	0.00298519
a44	0.099713	0.114993	0.12929	0.157212	0.188002	0.154956	0.0885934	0.0373078	0.013811	0.00696567	0.00508096	0.00407595
a57	0.0980537	0.10706	0.124292	0.158814	0.177044	0.156142	0.0927422	0.0449891	0.0197611	0.00972766	0.0061653	0.00520899
a38	0.0381	0.0528407	0.0791763	0.133157	0.181929	0.195993	0.107378	0.0659211	0.0460344	0.035859	0.030306	0.0333062
a53	0.0500891	0.0692935	0.105741	0.15093	0.175102	0.171087	0.104015	0.0645536	0.0421595	0.027903	0.0198453	0.019282
a90	0.0616884	0.0741642	0.0963866	0.13688	0.142609	0.158984	0.119361	0.0835869	0.0574547	0.0311499	0.0192809	0.0184545
a76	0.0480505	0.0560172	0.0705827	0.108775	0.123616	0.172269	0.14658	0.110562	0.0750748	0.0406293	0.0246539	0.0231896
a30	0.0580903	0.0627	0.0740363	0.110584	0.121237	0.169004	0.141592	0.106957	0.0716761	0.0381911	0.0238548	0.0220784
a44	0.0290741	0.0414699	0.0560084	0.0992621	0.129344	0.205382	0.171873	0.116193	0.0688849	0.0368962	0.0237161	0.0218959
a26	0.019901	0.0239035	0.0343194	0.0689177	0.105823	0.169272	0.159568	0.140347	0.114397	0.069565	0.0468007	0.0471866
a38	0.0124718	0.0149306	0.0215193	0.0508584	0.0892269	0.141518	0.135508	0.124966	0.13029	0.100685	0.0796284	0.0983984
a41	0.0192763	0.0205936	0.0263547	0.0582422	0.0819956	0.106965	0.0995413	0.105832	0.133709	0.12401	0.0992628	0.124217
a98	0.0144998	0.0187398	0.0284662	0.0685953	0.0908147	0.137522	0.119908	0.109306	0.112341	0.105602	0.0918075	0.102398
a24	0.0130518	0.0161635	0.0224848	0.0407117	0.0473501	0.076134	0.07244	0.092046	0.130636	0.15599	0.147709	0.185284
a41	0.011581	0.0105177	0.0121331	0.0173627	0.018566	0.0346295	0.0357629	0.0563152	0.119559	0.226244	0.207041	0.250287
a14	0.0209531	0.0234861	0.0286832	0.0355791	0.0301434	0.0343504	0.0305152	0.0436535	0.0965532	0.216388	0.21222	0.227475
