 	le	saka-saka	vert	se	prépare	avec	le	bicarbonate	</S>
a57	0.35593	0.193937	0.162753	0.0887386	0.0923966	0.061478	0.0257797	0.0103649	0.00862178
a9	0.239336	0.18883	0.118425	0.126933	0.129142	0.0672229	0.044725	0.032492	0.0528951
a99	0.228279	0.213472	0.292102	0.14771	0.0485676	0.0185998	0.0135256	0.0147713	0.0229728
a3	0.157391	0.182077	0.408841	0.167648	0.0400587	0.0134279	0.00965836	0.00946615	0.0114323
a99	0.18152	0.166575	0.391646	0.145303	0.0467993	0.0188087	0.0145284	0.0163353	0.0184846
a97	0.199476	0.182492	0.366169	0.120421	0.0427758	0.0233819	0.0160928	0.0224279	0.0267624
a40	0.20427	0.165825	0.252587	0.128246	0.0796508	0.0554601	0.0305456	0.0391605	0.0442555
a75	0.3022	0.233949	0.273883	0.105962	0.0321036	0.0168712	0.00950379	0.0114473	0.0140792
a21	0.277499	0.215402	0.195817	0.16257	0.0683557	0.0318668	0.0141234	0.0132701	0.0210961
a85	0.195395	0.210316	0.238429	0.195621	0.075583	0.0400476	0.0155952	0.0124463	0.016568
a92	0.128817	0.143837	0.160847	0.195308	0.132965	0.0975094	0.053113	0.0319666	0.0556369
a25	0.175016	0.158624	0.187367	0.191851	0.120115	0.073088	0.0367499	0.0228853	0.0343034
a79	0.0848873	0.116251	0.144829	0.202443	0.187929	0.127904	0.0624176	0.0311882	0.0421493
a54	0.0516076	0.0724862	0.0798579	0.153169	0.217747	0.188098	0.113432	0.0568586	0.0667432
a21	0.0234317	0.0382512	0.0539247	0.103413	0.183144	0.209661	0.153321	0.103988	0.130865
a5	0.026951	0.0332457	0.027119	0.073174	0.155987	0.192694	0.176032	0.128418	0.186379
a98	0.0219986	0.0270235	0.019247	0.0492798	0.1264	0.174902	0.184096	0.158333	0.238721
a47	0.0114487	0.0150305	0.0128286	0.0322336	0.118185	0.188438	0.202472	0.182444	0.23692
a85	0.00601225	0.00779473	0.00528269	0.00806187	0.0236711	0.0702348	0.137186	0.201187	0.540569
a92	0.00475554	0.00601705	0.00404188	0.00803867	0.0339366	0.106498	0.20082	0.207185	0.428707
a85	0.00357175	0.00443988	0.00331871	0.00675538	0.0266355	0.0777248	0.18312	0.25444	0.439994
a47	0.0034677	0.00313443	0.00202359	0.00340607	0.0147027	0.0491523	0.130386	0.236293	0.557434
a92	0.00149691	0.00188448	0.00133074	0.00253126	0.0105642	0.041067	0.143685	0.270938	0.526503
a79	0.000700593	0.000735564	0.000386675	0.000891471	0.00524473	0.0255553	0.118863	0.282941	0.564682
a90	0.000799672	0.000861134	0.000351895	0.00111937	0.00708014	0.0258198	0.116421	0.316256	0.531291
a69	0.000367726	0.000420652	0.000227707	0.000586242	0.00424214	0.0216003	0.121257	0.348625	0.502673
a75	0.000716036	0.000759277	0.000418639	0.000914972	0.00422763	0.019117	0.105399	0.332007	0.536441
a92	0.00053457	0.000597837	0.000324449	0.000763482	0.00365075	0.015285	0.0861057	0.321123	0.571616
a37	0.000653173	0.000672649	0.000335971	0.000804905	0.00452925	0.0166261	0.0815268	0.314088	0.580763
a18	0.00209453	0.00250252	0.0014332	0.00383067	0.0189632	0.0487584	0.143703	0.319265	0.459449
a90	0.00857406	0.00632337	0.00470822	0.0103675	0.0337381	0.0959812	0.21943	0.263423	0.357455
a79	0.00608067	0.00407355	0.002528	0.00492314	0.0173849	0.0486532	0.153447	0.300171	0.462738
a56	0.000355299	0.00037226	0.000207179	0.00061705	0.00332772	0.0140233	0.0780865	0.306634	0.596377
a32	0.000251944	0.000240398	0.00010152	0.000287338	0.00193301	0.0104769	0.0594226	0.257025	0.670261
a38	0.000387377	0.00039875	0.000209918	0.000517438	0.00275185	0.0141319	0.0804912	0.322769	0.578342
a9	0.00229799	0.00213217	0.00135542	0.00284698	0.00980226	0.0322904	0.123954	0.329499	0.495821
a10	0.0638146	0.0383246	0.0232164	0.0442032	0.0655439	0.0928426	0.176022	0.2609	0.235133
a87	0.137177	0.0887993	0.0529011	0.0787318	0.0922626	0.0835927	0.112966	0.161183	0.192386
a23	0.100109	0.0680721	0.0476936	0.0645256	0.0898304	0.0939373	0.131531	0.198416	0.205885
a99	0.0241298	0.0139881	0.00556869	0.0121017	0.0228387	0.0316514	0.0949044	0.233655	0.561163
a87	0.0144148	0.00976976	0.00625818	0.0147725	0.0300053	0.0406011	0.103193	0.225647	0.555339
</S>	0.0074573	0.00639995	0.00434535	0.0140237	0.0333943	0.039249	0.0982986	0.21813	0.578702
