 	il	est	en	train	de	bêcher	dans	sa	plantation	</S>
a23	0.492748	0.27718	0.134994	0.0532884	0.0171212	0.00559314	0.00324503	0.00297316	0.00352405	0.0093326
a87	0.387643	0.194525	0.106282	0.0624538	0.04085	0.0235819	0.0239778	0.0330997	0.0513394	0.0762474
a23	0.250783	0.149521	0.101451	0.0821102	0.0770846	0.0538726	0.0496661	0.0578414	0.0694425	0.108227
a20	0.114736	0.0565534	0.0398263	0.0419975	0.0371988	0.033199	0.0669508	0.101868	0.166949	0.340721
a73	0.254765	0.143599	0.112265	0.0954411	0.0766677	0.0795979	0.0659017	0.05968	0.0594473	0.0526352
a0	0.137734	0.131444	0.156967	0.179414	0.162635	0.143495	0.0423592	0.0226643	0.0144121	0.00887576
a32	0.109438	0.112143	0.140442	0.162026	0.182593	0.173652	0.0592869	0.0307685	0.0183821	0.0112688
a20	0.107881	0.118925	0.149668	0.167268	0.175741	0.154487	0.060506	0.032292	0.0204085	0.0128232
a73	0.144223	0.15344	0.163132	0.16166	0.127908	0.106888	0.0551885	0.0367011	0.0299075	0.0209528
a32	0.140033	0.141268	0.147925	0.14186	0.132282	0.134014	0.0615906	0.0413569	0.0354767	0.024194
a54	0.095526	0.0766888	0.0785461	0.092499	0.113749	0.159106	0.126095	0.0983309	0.0884458	0.0710127
a73	0.105434	0.0824034	0.0723449	0.0736274	0.0693675	0.0942032	0.0999788	0.11838	0.144819	0.139442
a94	0.0885739	0.0707993	0.0639908	0.0625028	0.0589594	0.0845471	0.107912	0.132792	0.168143	0.161779
a53	0.0635975	0.0433468	0.0395869	0.0433698	0.0527586	0.10248	0.11781	0.142156	0.183274	0.211621
a90	0.0352126	0.0270608	0.0282865	0.0400567	0.0496526	0.0942173	0.128304	0.154019	0.198031	0.24516
a13	0.0277935	0.0219411	0.0230242	0.031356	0.0398273	0.0810682	0.133686	0.169685	0.220083	0.251536
a54	0.0256025	0.0169264	0.0150328	0.0187195	0.0247147	0.0618306	0.117103	0.16455	0.221797	0.333723
a44	0.030332	0.0194063	0.0178839	0.0278768	0.0374646	0.0787574	0.143215	0.178217	0.202599	0.264248
a84	0.0204081	0.0119654	0.0102548	0.016939	0.02524	0.0621762	0.130624	0.166152	0.195242	0.360998
a87	0.00932172	0.00485339	0.00373655	0.0036967	0.00492262	0.0157634	0.0439703	0.0860789	0.185029	0.642627
</S>	0.00228593	0.00152667	0.00152348	0.00192833	0.00292829	0.0116349	0.0356382	0.0866748	0.244318	0.611542
