 	le	fillet	s'	est	accroché	à	une	branche	</S>
a23	0.15605	0.307727	0.227649	0.0714781	0.0696381	0.0373448	0.035808	0.0475471	0.0467581
a53	0.181458	0.142659	0.179753	0.0953812	0.0519803	0.0424356	0.0543352	0.109597	0.142401
a90	0.27783	0.379751	0.223899	0.0605152	0.0142354	0.0107078	0.0105979	0.0111229	0.0113407
a82	0.353831	0.463024	0.131756	0.026112	0.00729889	0.0061945	0.00432354	0.00331654	0.00414364
a38	0.309424	0.458803	0.151873	0.0388187	0.0122192	0.00836473	0.00624804	0.00661514	0.00763466
a43	0.289616	0.400784	0.152886	0.0681061	0.0301396	0.0190358	0.0126514	0.0116755	0.0151054
a75	0.244175	0.332764	0.183984	0.104954	0.0523818	0.0283935	0.0160076	0.014972	0.0223681
a41	0.23557	0.279575	0.215763	0.128495	0.0608773	0.035486	0.0166424	0.0115043	0.0160877
a35	0.155438	0.196487	0.229011	0.181123	0.0871412	0.0594973	0.0331323	0.0244588	0.0337109
a24	0.128495	0.153727	0.205189	0.202033	0.100199	0.0762305	0.0478155	0.0362979	0.050013
a41	0.132658	0.116167	0.176154	0.196716	0.125269	0.092442	0.0537693	0.0431016	0.0637234
a76	0.114958	0.0935263	0.13674	0.220147	0.138272	0.0912651	0.0590292	0.0575166	0.0885458
a98	0.0794931	0.107592	0.138196	0.17558	0.165469	0.122595	0.0798438	0.0580079	0.0732221
a14	0.0705377	0.0913635	0.115952	0.156019	0.166552	0.131037	0.0946915	0.075643	0.0982046
a35	0.0655418	0.0738412	0.126945	0.193248	0.178655	0.120756	0.0817576	0.0681479	0.0911082
a30	0.0499709	0.0529546	0.0850665	0.128704	0.173021	0.141489	0.115767	0.107822	0.145205
a57	0.0853919	0.0718956	0.117982	0.155776	0.19383	0.132453	0.085378	0.0667711	0.0905215
a87	0.057829	0.0456504	0.0893589	0.106847	0.147227	0.119048	0.0896793	0.128733	0.215627
a79	0.00835425	0.00723466	0.0197495	0.0499558	0.146583	0.160041	0.202199	0.207913	0.197971
a41	0.0374642	0.0304211	0.0431536	0.0609617	0.0848149	0.0938846	0.126546	0.216846	0.305909
a32	0.0252816	0.0358595	0.0563712	0.0839828	0.129417	0.123998	0.141383	0.193916	0.209791
a25	0.0115048	0.0120825	0.0204473	0.0316205	0.0677526	0.083487	0.130234	0.27641	0.366462
a38	0.0112098	0.00948134	0.0201281	0.0319976	0.063683	0.0695674	0.111452	0.291619	0.390862
a14	0.0122254	0.00922749	0.0184227	0.0298397	0.0598176	0.0654733	0.111505	0.302161	0.391328
a35	0.0103677	0.0119375	0.01861	0.0288879	0.0565925	0.0706228	0.126041	0.299617	0.377324
a41	0.00644763	0.00513434	0.00749835	0.0124155	0.0269252	0.0415691	0.09658	0.322322	0.481108
a24	0.00426383	0.00310032	0.00424867	0.00673439	0.0169482	0.0274525	0.0773123	0.323065	0.536875
a26	0.00380436	0.00208242	0.00253574	0.00372541	0.00789578	0.0170716	0.0576197	0.295388	0.609877
a32	0.00397047	0.0028744	0.00388529	0.00549266	0.00808285	0.0164228	0.0517708	0.261325	0.646176
a38	0.00519257	0.00268367	0.00250855	0.00365059	0.00676128	0.0141009	0.0499659	0.27281	0.642327
a76	0.00327015	0.00176869	0.00197973	0.00308021	0.00789393	0.0175405	0.0601809	0.29245	0.611836
a73	0.0056354	0.00332527	0.00376136	0.00569748	0.0117982	0.0233418	0.0747514	0.335783	0.535906
a84	0.00496716	0.00292108	0.00355387	0.00514877	0.0115847	0.0208406	0.0676842	0.31953	0.563769
a57	0.0105154	0.00720898	0.00743064	0.00932394	0.0147507	0.0248474	0.0748935	0.289241	0.561788
a87	0.00717694	0.00621365	0.00617017	0.0072491	0.0113624	0.0220669	0.0880103	0.298248	0.553502
</S>	0.0173957	0.015536	0.0168508	0.0255113	0.0348743	0.0408293	0.0867783	0.248263	0.513961
