 	il	me	cache	des	choses	</S>
a66	0.296743	0.181579	0.169301	0.144764	0.122844	0.0847686
a57	0.250184	0.187884	0.159921	0.143209	0.153706	0.105096
a53	0.346092	0.232747	0.164552	0.0851369	0.0968884	0.0745838
a90	0.399757	0.286317	0.111722	0.0607756	0.0809728	0.0604558
a98	0.434718	0.290884	0.126714	0.0566272	0.0510547	0.040002
a85	0.332349	0.280673	0.175475	0.0895345	0.0713207	0.0506477
a37	0.343265	0.287426	0.153805	0.0834162	0.0781148	0.0539731
a61	0.346243	0.260747	0.15614	0.0853803	0.0824349	0.0690548
a43	0.325234	0.236632	0.16754	0.0953214	0.0896994	0.0855733
a75	0.249755	0.186946	0.179811	0.121544	0.124082	0.137863
a85	0.0940257	0.0904663	0.164464	0.173233	0.222784	0.255026
a5	0.0965874	0.0956724	0.147975	0.168789	0.226277	0.2647
a75	0.0634695	0.0547317	0.122509	0.173126	0.252776	0.333388
a41	0.029737	0.0306437	0.0895522	0.173237	0.285682	0.391148
a7	0.0266394	0.0224667	0.0563904	0.122455	0.274139	0.49791
a76	0.00435445	0.00349947	0.0151251	0.0438584	0.226093	0.707069
a69	0.00571347	0.00576058	0.0240653	0.066452	0.23524	0.662769
a58	0.00405445	0.00371521	0.0158009	0.0444826	0.217146	0.714801
a57	0.00744387	0.00713757	0.015602	0.0415198	0.236471	0.691826
a82	0.102873	0.0770924	0.0737349	0.0778732	0.19069	0.477737
a3	0.238467	0.155626	0.11729	0.0909563	0.163065	0.234597
a82	0.265709	0.168257	0.112872	0.108169	0.168098	0.176895
a3	0.172452	0.122254	0.0950987	0.112385	0.2192	0.27861
a82	0.0911302	0.059758	0.0743395	0.11576	0.280555	0.378457
a97	0.0499079	0.0385704	0.0736227	0.125564	0.302663	0.409671
a30	0.0696752	0.0622714	0.115828	0.139263	0.28088	0.332081
a82	0.0723949	0.0583554	0.096639	0.137921	0.287891	0.346799
</S>	0.114706	0.101024	0.13545	0.152666	0.266416	0.229738
