 	chez	vous	il	n'	y	a	jamais	du	poisson	salé	</S>
a15	0.145428	0.116763	0.103098	0.111941	0.129792	0.124214	0.132942	0.0880763	0.0234147	0.0141925	0.0101394
a66	0.123016	0.0850558	0.0961843	0.129491	0.17109	0.137115	0.0998446	0.0702648	0.0324576	0.0295036	0.0259775
a87	0.339709	0.226597	0.130055	0.0902655	0.0963906	0.055507	0.0249486	0.0100519	0.0076667	0.00844126	0.0103684
a23	0.326181	0.223576	0.141416	0.0956841	0.107592	0.0569865	0.0217715	0.00991657	0.00558474	0.00457052	0.00672061
a99	0.265393	0.20156	0.135684	0.109508	0.133069	0.0797075	0.0276987	0.0121968	0.00965634	0.0088469	0.0166798
a20	0.268417	0.16012	0.101531	0.0990991	0.104955	0.0704653	0.0386937	0.0298962	0.0320369	0.0444993	0.0502864
a36	0.17044	0.155892	0.110618	0.0992308	0.0735559	0.0652902	0.0567811	0.0518828	0.0553236	0.0862766	0.0747083
a56	0.096485	0.116502	0.0897989	0.107662	0.0890088	0.082572	0.0760448	0.0689459	0.0767678	0.102062	0.0941512
a24	0.107757	0.126979	0.0971381	0.114497	0.126623	0.125938	0.104095	0.0555636	0.0433896	0.0492738	0.0487455
a43	0.0860769	0.103518	0.0875851	0.109719	0.120753	0.127101	0.120273	0.0627853	0.0436621	0.0599623	0.078563
a40	0.0665483	0.0789871	0.0925117	0.122472	0.142889	0.163252	0.159089	0.0685864	0.0363196	0.03278	0.036565
a47	0.032218	0.0371362	0.0542351	0.0929388	0.12938	0.156045	0.162179	0.0826362	0.0526469	0.0780361	0.122549
a36	0.0387963	0.0452228	0.0747145	0.105097	0.11101	0.123294	0.130864	0.0645383	0.0435922	0.0915122	0.171358
a85	0.0366736	0.0388995	0.0637278	0.0843302	0.118007	0.163804	0.185905	0.0857693	0.0481495	0.0701432	0.104591
a47	0.0154526	0.0202921	0.0405636	0.0664638	0.0751956	0.103992	0.156879	0.126139	0.0774145	0.123606	0.194001
a15	0.0149303	0.0189234	0.0392919	0.0625737	0.0693232	0.0854469	0.117476	0.105679	0.0710502	0.135344	0.279962
a98	0.0165793	0.0196492	0.033447	0.0494869	0.0614707	0.0884141	0.134338	0.10632	0.0649517	0.144743	0.280599
a85	0.00747881	0.0098459	0.018912	0.0308468	0.0383387	0.0597786	0.106356	0.140266	0.119724	0.177518	0.290934
a6	0.00585541	0.0072408	0.0123401	0.0186774	0.0198196	0.0295274	0.0601199	0.109019	0.139464	0.227743	0.370194
a61	0.00477918	0.00585913	0.0107419	0.0166542	0.0189031	0.028551	0.0549609	0.0951467	0.152229	0.254805	0.35737
a62	0.00905777	0.0105185	0.0175409	0.0222889	0.0210221	0.0281952	0.0487065	0.0688131	0.117365	0.252283	0.404209
a88	0.00683325	0.00704223	0.0104742	0.012352	0.0113726	0.0142248	0.0237247	0.0393171	0.104166	0.293972	0.476521
a38	0.00711545	0.00702002	0.0102017	0.0132272	0.0109529	0.0109626	0.0132959	0.0214055	0.0681714	0.254721	0.582927
a75	0.00660252	0.00532687	0.00635236	0.00769159	0.00582796	0.00513203	0.00552021	0.00981553	0.0434794	0.267955	0.636297
a47	0.000828096	0.000820321	0.00136884	0.00163399	0.00117983	0.00120211	0.00168725	0.00528817	0.0403782	0.266594	0.679019
a36	0.00044085	0.000436937	0.000686643	0.000779361	0.000569111	0.000567783	0.000887867	0.0033086	0.035057	0.2608	0.696466
a2	0.00604797	0.00528861	0.00555988	0.00532468	0.00374472	0.00275119	0.00257599	0.00763612	0.0447103	0.247227	0.669133
a57	0.0402353	0.0371725	0.0354744	0.0340074	0.0251057	0.019574	0.0210583	0.0519087	0.116162	0.266413	0.352888
a87	0.0663132	0.0534449	0.0474315	0.0488232	0.0356941	0.0281499	0.0391402	0.0673498	0.0990914	0.220607	0.293955
a23	0.158596	0.120819	0.0923524	0.0937324	0.0907094	0.0721995	0.0773218	0.0914875	0.0759236	0.0666541	0.060204
a87	0.0871779	0.0586245	0.0405071	0.042884	0.0431862	0.0328793	0.0319686	0.0446795	0.0972436	0.193007	0.327842
</S>	0.0161615	0.0127375	0.00865473	0.0116756	0.0125129	0.0124913	0.0199167	0.0358771	0.0898242	0.247409	0.532739
