 	le	forgeron	fabrique	une	houe	</S>
a66	0.527797	0.26977	0.0949431	0.0479733	0.0334474	0.0260687
a87	0.463292	0.206497	0.122335	0.0896104	0.0712273	0.0470387
a23	0.536608	0.263233	0.0941223	0.0412926	0.0328882	0.0318563
a13	0.508759	0.174082	0.0807526	0.0623343	0.0759625	0.0981096
a57	0.361921	0.238409	0.154969	0.0984261	0.0779422	0.0683327
a53	0.397001	0.306422	0.158062	0.0606922	0.0391156	0.0387073
a15	0.198168	0.277795	0.335394	0.125511	0.0381686	0.0249633
a92	0.103405	0.192993	0.319879	0.231853	0.0985988	0.0532705
a47	0.111947	0.171224	0.234576	0.195603	0.15708	0.12957
a6	0.0784675	0.112451	0.16818	0.20737	0.228675	0.204856
a36	0.133768	0.148687	0.182697	0.214661	0.183916	0.136271
a2	0.0972513	0.0964373	0.0968092	0.15702	0.250409	0.302073
a44	0.0129121	0.02044	0.0285445	0.0633489	0.237511	0.637243
a56	0.0150761	0.0180773	0.0316148	0.0811066	0.250829	0.603296
a12	0.00792087	0.0108634	0.0314627	0.0965223	0.290361	0.562869
a0	0.00323772	0.0039937	0.0126017	0.0526176	0.236625	0.690925
a12	0.00267146	0.00376753	0.0115891	0.0536611	0.238406	0.689905
a88	0.00157147	0.00196812	0.00586556	0.0308961	0.205588	0.754111
a71	0.00406405	0.00697906	0.0186373	0.0559251	0.202682	0.711713
a3	0.0518318	0.0660456	0.075846	0.107416	0.217907	0.480954
a87	0.410327	0.162444	0.0868131	0.0858607	0.109502	0.145053
a23	0.490539	0.25341	0.0882112	0.052206	0.0508734	0.0647605
a87	0.25358	0.123696	0.0660196	0.0667903	0.136057	0.353857
</S>	0.023527	0.0136273	0.0228075	0.0592136	0.227873	0.652952
