 	il	reste	en	arrière	</S>
a23	0.407207	0.261919	0.0989423	0.106179	0.125752
a85	0.332373	0.200535	0.124964	0.133448	0.20868
a87	0.31746	0.257261	0.114269	0.122439	0.188571
a23	0.317254	0.234315	0.132019	0.132187	0.184225
a20	0.167823	0.166998	0.128701	0.226461	0.310017
a44	0.274187	0.298849	0.173827	0.16086	0.0922774
a20	0.296551	0.351423	0.19544	0.109902	0.0466849
a73	0.301015	0.355928	0.192519	0.0949914	0.0555467
a26	0.268772	0.310368	0.22019	0.126669	0.0740012
a53	0.176791	0.231691	0.254158	0.206683	0.130678
a20	0.185126	0.222113	0.25326	0.197427	0.142075
a94	0.109891	0.146974	0.220934	0.267783	0.254418
a76	0.0436718	0.0573555	0.128091	0.343633	0.427248
a94	0.0251567	0.0357963	0.0933266	0.326866	0.518854
a57	0.0121044	0.0185389	0.0584856	0.290874	0.619997
a58	0.00681234	0.0110476	0.0307742	0.21685	0.734516
a82	0.0067324	0.0107027	0.02813	0.185003	0.769432
a87	0.00475786	0.00774938	0.0217365	0.131455	0.834301
</S>	0.0150026	0.0160861	0.0400026	0.163857	0.765052
