 	tu	peux	parler	comme	tu	veux	mais	n'	insulte	pas	les	autres	</S>
a15	0.135709	0.0976531	0.0818388	0.0442993	0.0422394	0.0556683	0.112135	0.15248	0.200908	0.0355525	0.0149293	0.0124312	0.0141552
a66	0.201767	0.0890347	0.0719963	0.0363563	0.0439277	0.0768519	0.124742	0.132298	0.177262	0.0167456	0.00955717	0.00826858	0.0111926
a87	0.417356	0.195016	0.138314	0.0517815	0.0380802	0.0341754	0.0387754	0.0389361	0.0231217	0.00356419	0.00437904	0.00609064	0.0104092
a23	0.237528	0.168246	0.170861	0.100422	0.100552	0.0856926	0.0740135	0.0447659	0.00827151	0.00207864	0.00190802	0.00227435	0.00338635
a10	0.182263	0.153597	0.203478	0.105609	0.0917603	0.09326	0.0792503	0.0560864	0.0138522	0.00306692	0.00389872	0.00512127	0.00875742
a62	0.252874	0.123103	0.150386	0.0763827	0.0663306	0.104629	0.0854982	0.0697589	0.0267021	0.00848191	0.00999445	0.0117395	0.0141194
a5	0.181799	0.112724	0.190362	0.132552	0.104837	0.0925026	0.047382	0.0351437	0.0485942	0.00930737	0.0126555	0.0153013	0.0168393
a85	0.224757	0.150671	0.226264	0.161895	0.0737611	0.0461152	0.0184251	0.015424	0.0335535	0.00979148	0.0120076	0.0139934	0.0133406
a6	0.0738013	0.0987794	0.174158	0.166841	0.0972157	0.0861036	0.0459546	0.0429879	0.0895108	0.0316406	0.0323264	0.0340743	0.0266069
a37	0.0970417	0.114259	0.148305	0.155975	0.110758	0.0986165	0.0545732	0.047446	0.0777012	0.0260389	0.0226163	0.0247712	0.0218979
a26	0.0545164	0.0788977	0.102765	0.153335	0.167619	0.152696	0.104409	0.0694824	0.0584903	0.0212356	0.0133072	0.0125306	0.0107153
a82	0.0205122	0.023342	0.0257511	0.0546277	0.100689	0.172826	0.177958	0.134047	0.111135	0.0440373	0.0402204	0.0479024	0.046952
a87	0.0243172	0.020632	0.0200945	0.0396582	0.072493	0.144789	0.204069	0.1847	0.149039	0.0462444	0.0308852	0.0321878	0.0308913
a23	0.0361533	0.0228727	0.022301	0.0387361	0.0694674	0.152398	0.19979	0.175869	0.149987	0.042155	0.0258989	0.0306607	0.0337116
a87	0.0384779	0.0257685	0.0261785	0.037577	0.0562176	0.107415	0.136346	0.13722	0.168797	0.0647237	0.0468835	0.066176	0.0882197
a23	0.0546995	0.0295277	0.0322793	0.0534737	0.0789021	0.121923	0.127116	0.122568	0.140147	0.0513326	0.0374293	0.057298	0.0933039
a99	0.0328021	0.019138	0.0213364	0.0270685	0.0408722	0.0835208	0.0990243	0.109423	0.132431	0.058768	0.0614875	0.116294	0.197833
a83	0.0037938	0.0046483	0.00578005	0.0151289	0.0394005	0.0713261	0.0938597	0.0952076	0.245417	0.0961225	0.0750495	0.102655	0.151612
a54	0.0049374	0.00681277	0.00747659	0.0224677	0.0438339	0.0501641	0.0552376	0.0460401	0.179415	0.110218	0.112065	0.160655	0.200676
a79	0.00436182	0.00635303	0.00870325	0.0243657	0.0483049	0.0741782	0.0769313	0.0690138	0.139146	0.14395	0.126266	0.137354	0.141071
a7	0.00511202	0.00758052	0.00859456	0.0210132	0.0400816	0.0599346	0.0770636	0.0731915	0.136177	0.167984	0.135319	0.134988	0.13296
a75	0.00463752	0.00615086	0.00576775	0.0137975	0.0262972	0.04031	0.0723882	0.069539	0.115997	0.166948	0.146442	0.165613	0.166111
a47	0.00269017	0.004233	0.00447237	0.0106335	0.0192376	0.027736	0.0545562	0.0578732	0.0996553	0.17999	0.176421	0.187923	0.174579
a79	0.00228938	0.00291601	0.00271782	0.00634825	0.0127705	0.0180055	0.0403421	0.0453329	0.0680282	0.149874	0.173225	0.221447	0.256704
a90	0.00215729	0.00289082	0.00253453	0.00562011	0.0123882	0.0191535	0.0482723	0.0478217	0.0687342	0.175099	0.209002	0.215273	0.191054
a44	0.00297837	0.00426284	0.00350183	0.00671695	0.0157043	0.0262999	0.0763626	0.0776816	0.100104	0.178336	0.179807	0.174552	0.153692
a4	0.0019774	0.00281996	0.00247168	0.00500705	0.0114724	0.018164	0.0526435	0.0534692	0.061251	0.16181	0.190026	0.21684	0.222048
a58	0.00478392	0.00594437	0.00461405	0.00815048	0.0153322	0.0173131	0.0451026	0.0455993	0.0583905	0.136371	0.171659	0.226268	0.260471
a44	0.00407284	0.00401476	0.00402986	0.00682876	0.01198	0.0140487	0.0333781	0.0390629	0.0413862	0.0761087	0.127773	0.230217	0.4071
a90	0.00232463	0.00235051	0.00222304	0.00345166	0.00560861	0.00515967	0.0102976	0.0104552	0.0172167	0.0561488	0.147182	0.29385	0.443732
a98	0.000562661	0.000702383	0.000618172	0.00098199	0.00172426	0.00206763	0.00581054	0.00588621	0.0103224	0.0649373	0.160741	0.319108	0.426537
a47	0.000265787	0.000304917	0.000346695	0.000698661	0.00139391	0.00180719	0.00497392	0.00474049	0.00618054	0.0487044	0.132177	0.291516	0.506891
a7	0.000377795	0.000325357	0.000271459	0.000567704	0.000982938	0.000921556	0.00153206	0.00112747	0.00132642	0.0179978	0.0884917	0.285669	0.600409
