 	mon	mari	n'	est	pas	initié	aux	fétiches	</S>
a66	0.26637	0.156596	0.116726	0.109512	0.114626	0.104601	0.0698623	0.0373012	0.0244047
a87	0.353164	0.149788	0.113288	0.107042	0.0858682	0.0858364	0.0504784	0.031605	0.0229298
a23	0.435643	0.221878	0.129383	0.0729361	0.0404122	0.0298153	0.0229606	0.0220175	0.0249543
a13	0.359192	0.179255	0.122825	0.0871529	0.0531128	0.0406225	0.0397914	0.0558617	0.0621871
a30	0.253016	0.160232	0.132543	0.0965867	0.0587278	0.0506295	0.0592115	0.0900844	0.098969
a4	0.253872	0.187515	0.160787	0.107754	0.0637009	0.0460627	0.0521946	0.0630735	0.0650404
a20	0.271084	0.234099	0.165503	0.103635	0.0705149	0.0486027	0.0474486	0.0334317	0.0256812
a7	0.167256	0.211419	0.186961	0.127903	0.108552	0.0728031	0.0621973	0.0371366	0.025771
a54	0.0833008	0.144361	0.163979	0.131342	0.128013	0.104558	0.0951793	0.0794362	0.069831
a7	0.124635	0.19003	0.170519	0.118027	0.11628	0.0865082	0.07711	0.0593818	0.0575089
a90	0.0775391	0.126119	0.137498	0.120673	0.1269	0.104151	0.0982885	0.0935297	0.115301
a69	0.0917412	0.136595	0.162678	0.144371	0.147466	0.112094	0.0714054	0.0613276	0.0723221
a58	0.0739923	0.111343	0.144866	0.149665	0.157803	0.12219	0.0778065	0.0726865	0.0896474
a94	0.0445794	0.0657957	0.0932389	0.123667	0.142762	0.114693	0.0992067	0.121973	0.194084
a12	0.0309898	0.0436621	0.0703668	0.121434	0.152978	0.122544	0.109617	0.135345	0.213063
a18	0.019902	0.0268071	0.0452389	0.0936013	0.142728	0.133306	0.133454	0.153656	0.251307
a38	0.0139983	0.015082	0.0239929	0.0474382	0.0720872	0.0719666	0.108775	0.204594	0.442066
a62	0.00776327	0.00833421	0.0137695	0.029547	0.0451658	0.052876	0.0999225	0.219861	0.522761
a12	0.00584998	0.00604328	0.0101246	0.0249378	0.0476565	0.0656573	0.14692	0.257876	0.434934
a18	0.00564558	0.00518405	0.00812722	0.0194011	0.0374889	0.0547589	0.126184	0.260734	0.482476
a71	0.0158002	0.013325	0.0189067	0.0311814	0.0381083	0.0449301	0.0900717	0.217368	0.530309
a9	0.0645706	0.0518607	0.0553116	0.068269	0.07498	0.0730139	0.10878	0.163963	0.339251
a87	0.174151	0.0944483	0.083526	0.0888841	0.0933605	0.0943711	0.103206	0.107274	0.160779
a23	0.276644	0.145405	0.0989397	0.0901607	0.0914095	0.0775881	0.0839027	0.0560669	0.0798832
a87	0.175848	0.080214	0.065424	0.0807285	0.0978247	0.0899791	0.140657	0.116923	0.152403
</S>	0.054967	0.0308896	0.0290508	0.0512191	0.0710093	0.0741874	0.169571	0.199786	0.31932
