 	il	a	assemblé	les	travailleurs	</S>
a23	0.449362	0.259115	0.191108	0.0401789	0.0242044	0.0360325
a85	0.492894	0.243737	0.145765	0.0403824	0.0298935	0.0473287
a87	0.330812	0.250634	0.183672	0.0596213	0.0713905	0.103871
a23	0.331601	0.26921	0.241821	0.060108	0.0389831	0.0582769
a13	0.090718	0.0678683	0.153672	0.121095	0.204082	0.362565
a20	0.213621	0.182196	0.274635	0.111749	0.105366	0.112432
a73	0.236117	0.22935	0.236014	0.124728	0.107682	0.0661091
a30	0.268237	0.257087	0.263246	0.14367	0.0425754	0.0251848
a2	0.250395	0.228267	0.234923	0.150211	0.0767333	0.0594713
a38	0.153337	0.166981	0.223001	0.186162	0.13893	0.131589
a41	0.194608	0.153332	0.16922	0.201249	0.141501	0.14009
a94	0.167498	0.136566	0.157414	0.25686	0.146272	0.13539
a31	0.195631	0.139954	0.133415	0.186047	0.16163	0.183324
a43	0.11297	0.0807744	0.0808876	0.144243	0.220077	0.361048
a11	0.154929	0.117811	0.102847	0.114032	0.164737	0.345645
a24	0.135849	0.10842	0.10299	0.114364	0.159089	0.379287
a31	0.0509102	0.0436608	0.0495635	0.0793103	0.18317	0.593385
a24	0.0481688	0.0439095	0.0466429	0.0736444	0.212413	0.575222
a9	0.0420822	0.039851	0.0416769	0.0584215	0.16809	0.649878
a87	0.0794957	0.0655034	0.0574111	0.0590673	0.146875	0.591648
a23	0.0173924	0.0185116	0.0240134	0.0395839	0.125546	0.774952
a40	0.00835682	0.00546396	0.0113152	0.0471514	0.169488	0.758225
a73	0.00406879	0.00269938	0.00419657	0.0256664	0.204279	0.75909
a32	0.00110894	0.00100438	0.00171752	0.0198352	0.221557	0.754777
a11	0.00161383	0.00140865	0.00211945	0.0141059	0.155415	0.825337
a54	0.00154817	0.00119973	0.00160505	0.0113054	0.112553	0.871789
a73	0.00318586	0.00226858	0.00353462	0.0392995	0.253692	0.69802
a94	0.00148356	0.00115665	0.00179244	0.0199662	0.196752	0.778849
a66	0.0020942	0.00139785	0.0016305	0.0138469	0.172934	0.808097
a9	0.005391	0.00287305	0.0031092	0.0198203	0.165803	0.803004
a87	0.00162821	0.000883492	0.00186656	0.0211385	0.152706	0.821777
</S>	0.00838649	0.00570242	0.0102662	0.0347317	0.114566	0.826347
