 	les	chaussures	se	sont	coupées	d'	elles-	mêmes	</S>
a66	0.0968826	0.124916	0.137632	0.187415	0.179918	0.16683	0.0626838	0.0333874	0.0103343
a87	0.251627	0.118677	0.0941289	0.093432	0.0998088	0.109951	0.142156	0.0772799	0.0129401
a23	0.217556	0.131737	0.113216	0.138904	0.163987	0.122798	0.0609644	0.0308353	0.0200028
a83	0.169213	0.107159	0.0971818	0.158324	0.241795	0.139788	0.0579489	0.0190004	0.00959019
a62	0.166029	0.136725	0.132486	0.15935	0.131487	0.0993878	0.08306	0.0585897	0.0328854
a12	0.205041	0.18421	0.152796	0.152423	0.0938621	0.0756578	0.0802466	0.047171	0.00859214
a21	0.196439	0.169283	0.141722	0.126893	0.0845299	0.0715667	0.104971	0.0833878	0.0212077
a5	0.164048	0.147628	0.127663	0.123572	0.107478	0.0710163	0.129261	0.100467	0.0288666
a75	0.164594	0.150781	0.126983	0.132896	0.122145	0.0765329	0.0939655	0.0933536	0.0387479
a85	0.11548	0.143553	0.136628	0.147715	0.147616	0.096881	0.0927118	0.0708884	0.0485265
a15	0.0876248	0.116086	0.125414	0.134455	0.161179	0.121822	0.104766	0.0675419	0.0811108
a7	0.0989789	0.139269	0.15768	0.175439	0.162869	0.101814	0.0487296	0.038641	0.0765801
a90	0.0790736	0.146134	0.196694	0.226678	0.171914	0.0787226	0.0332349	0.0270842	0.040464
a93	0.0471929	0.0913023	0.137231	0.170411	0.190552	0.119466	0.0732949	0.0554385	0.115111
a56	0.0349842	0.0755389	0.134384	0.190637	0.22159	0.114671	0.0584144	0.0647753	0.105005
a24	0.0256826	0.0439867	0.0694823	0.117925	0.242291	0.122692	0.0762527	0.128358	0.17333
a18	0.0187329	0.037591	0.0649327	0.113452	0.217698	0.0775119	0.0582429	0.154479	0.25736
a43	0.0269267	0.0597578	0.123531	0.178794	0.207777	0.0777827	0.0417296	0.0820123	0.201688
a21	0.0262068	0.0389116	0.0648738	0.0970295	0.230428	0.105942	0.089062	0.142278	0.205268
a47	0.00943452	0.0144942	0.0226404	0.041975	0.0761952	0.0365036	0.0337998	0.155662	0.609295
a21	0.00548037	0.0107335	0.0187054	0.033971	0.0551289	0.0235083	0.0212433	0.121914	0.709315
a12	0.00622318	0.00851057	0.0111183	0.0195294	0.0305155	0.0152776	0.0126945	0.0945004	0.80163
a21	0.00214183	0.00432778	0.0072204	0.0127604	0.0254315	0.0103845	0.0118525	0.105294	0.820587
a85	0.00612418	0.00835557	0.0108283	0.0159714	0.0226706	0.0103048	0.00853244	0.0657849	0.851428
a21	0.00388758	0.00455539	0.00607144	0.00903057	0.0127946	0.00648731	0.00554766	0.0510064	0.900619
a5	0.00377569	0.00507596	0.00620353	0.00814279	0.0110922	0.00523255	0.00481791	0.0471677	0.908492
a18	0.00320934	0.00439307	0.00604478	0.00752596	0.0096039	0.00515319	0.00498956	0.0552951	0.903785
a25	0.012881	0.013606	0.0176947	0.0232802	0.0273594	0.0127076	0.0148813	0.119219	0.758371
a87	0.103272	0.0666306	0.0702595	0.0745233	0.0894301	0.0799023	0.0698009	0.135309	0.310872
a23	0.087658	0.0445956	0.0479718	0.047502	0.12935	0.170455	0.118989	0.146191	0.207288
a87	0.0498825	0.0230391	0.0208235	0.0166425	0.0484265	0.0485675	0.068372	0.153626	0.57062
</S>	0.00943691	0.0041832	0.00394433	0.00385134	0.0161784	0.0153772	0.0243656	0.125288	0.797375
