 	le	lingala	et	le	munukutuba	sont	deux	langues	du	congo	</S>
a10	0.119191	0.119663	0.179783	0.211512	0.137345	0.0914281	0.0462494	0.030338	0.0224294	0.0211996	0.0208632
a87	0.132652	0.162928	0.160614	0.115371	0.0904497	0.0609628	0.0397298	0.0378923	0.0429503	0.0639261	0.0925244
a23	0.201359	0.161657	0.122921	0.090166	0.0753848	0.0616506	0.0464828	0.0415232	0.0445338	0.0604533	0.0938686
a50	0.319731	0.169461	0.13215	0.082007	0.0545596	0.0424378	0.0278192	0.0276859	0.0339191	0.0460202	0.0642094
a62	0.44129	0.18984	0.139245	0.0692558	0.0313063	0.020524	0.0166553	0.0179522	0.0217656	0.0259473	0.0262185
a34	0.627769	0.177277	0.0820782	0.0387237	0.0164481	0.0113784	0.0075813	0.00731806	0.00893798	0.0112352	0.0112534
a75	0.633285	0.17379	0.0740741	0.0361082	0.0163625	0.0130335	0.00930644	0.00904271	0.0100888	0.0125261	0.0123829
a85	0.372116	0.210696	0.138689	0.0867826	0.0446041	0.0381001	0.0239847	0.021192	0.0186206	0.0219815	0.0232332
a73	0.296834	0.222774	0.152321	0.0996767	0.0598918	0.0464047	0.0307744	0.0230721	0.0229294	0.021836	0.0234858
a37	0.184832	0.192937	0.158981	0.132019	0.0953887	0.0720294	0.0475216	0.0329318	0.0290823	0.0260735	0.0282032
a56	0.12885	0.177937	0.16124	0.149009	0.120809	0.0899811	0.054949	0.0355424	0.0288525	0.0248499	0.0279797
a96	0.141686	0.176381	0.15634	0.140421	0.119426	0.0910607	0.0551383	0.03367	0.0286285	0.0271803	0.0300686
a70	0.103977	0.162222	0.158235	0.149574	0.133047	0.101858	0.0607769	0.0364027	0.0309006	0.0298305	0.0331761
a83	0.0580814	0.12135	0.149772	0.165248	0.169547	0.130863	0.0715403	0.0390914	0.0310299	0.0295281	0.0339473
a9	0.0425822	0.0938209	0.133796	0.163629	0.188582	0.153398	0.0824036	0.041377	0.0327107	0.0321197	0.0355806
a38	0.0125238	0.0499726	0.0982036	0.15289	0.192967	0.173433	0.104161	0.0636384	0.0468475	0.0474745	0.0578898
a13	0.0175132	0.0426675	0.0874448	0.145239	0.19975	0.191337	0.109037	0.0575918	0.0468665	0.0445489	0.0580044
a99	0.0123427	0.0315817	0.0727507	0.136558	0.188232	0.204154	0.127002	0.0662964	0.0504639	0.0505106	0.0601085
a38	0.0132498	0.0270815	0.0628244	0.120766	0.181239	0.198562	0.129588	0.0725045	0.0557206	0.0585725	0.0798917
a70	0.0173047	0.0245702	0.0482536	0.101029	0.162125	0.184898	0.130424	0.0865943	0.0740427	0.0733796	0.0973792
a44	0.0250729	0.0337597	0.055907	0.100946	0.141012	0.150084	0.127555	0.0913477	0.0927607	0.0853163	0.0962394
a98	0.0157048	0.0221167	0.0421742	0.0853877	0.135811	0.15739	0.134151	0.0975703	0.0980913	0.0958073	0.115796
a47	0.0159698	0.0167166	0.0316968	0.0613014	0.0988594	0.110138	0.107189	0.0970652	0.117588	0.132646	0.210829
a7	0.020707	0.0200228	0.044059	0.0814397	0.121065	0.125588	0.12318	0.10006	0.101129	0.101559	0.16119
a84	0.0199834	0.0197328	0.0342338	0.0649738	0.120711	0.14401	0.126056	0.104694	0.100615	0.0973434	0.167646
a40	0.0210143	0.0217295	0.0325657	0.0542493	0.101696	0.125516	0.122562	0.111348	0.0920855	0.105732	0.211502
a85	0.0225252	0.0239418	0.0367502	0.0542716	0.0907228	0.112823	0.107842	0.098388	0.104796	0.122874	0.225067
a5	0.0206313	0.0135334	0.0238575	0.038242	0.0618489	0.0708462	0.0936746	0.100828	0.127319	0.140318	0.308901
a18	0.0350605	0.0234185	0.0393791	0.0601923	0.0894741	0.0939422	0.104956	0.104488	0.10943	0.116987	0.222672
a62	0.00517284	0.00688276	0.0103473	0.0181302	0.0359709	0.0478689	0.0651296	0.0776106	0.122279	0.198824	0.411784
