 	nous	avons	fait	une	collecte	d'	argent	en	vue	d'	apporter	une	assistance	à	notre	ami	qui	est	hospitalisé	</S>
a66	0.0379844	0.0329131	0.0334856	0.0417022	0.0504663	0.0750691	0.100712	0.182268	0.162148	0.112017	0.0803582	0.0320803	0.0169236	0.00770056	0.00666665	0.00560264	0.00559313	0.00615343	0.00527161	0.00488307
a87	0.156719	0.119051	0.119416	0.0940534	0.0576211	0.0375976	0.0324206	0.05497	0.0511283	0.0393386	0.0277347	0.0155269	0.0095088	0.00910694	0.014448	0.0199433	0.0255707	0.0359123	0.036758	0.0431752
a23	0.146852	0.142045	0.128197	0.0795767	0.057065	0.0620578	0.0745456	0.0575515	0.034297	0.0248989	0.013665	0.010749	0.00918674	0.0111465	0.0157294	0.0183561	0.0214272	0.0262959	0.0243785	0.0419794
a9	0.167262	0.165863	0.151966	0.0869509	0.0798209	0.0448296	0.0368071	0.0172191	0.010587	0.0111534	0.00872321	0.00636719	0.00882531	0.011642	0.0164689	0.0206145	0.0254327	0.0330737	0.039841	0.0565527
a24	0.145994	0.13954	0.133891	0.0860087	0.0927514	0.0629511	0.0618326	0.0332014	0.0223668	0.0302409	0.0206778	0.0139052	0.0110034	0.014119	0.017871	0.017649	0.0182425	0.0213678	0.0237836	0.0326035
a88	0.176331	0.151701	0.107804	0.0577162	0.061381	0.0690444	0.0764516	0.0588325	0.0391661	0.0342641	0.0242411	0.015513	0.011809	0.011869	0.0150586	0.01446	0.0143492	0.0156775	0.0169893	0.0273414
a62	0.239192	0.185825	0.121133	0.0790184	0.0686838	0.0560106	0.0368374	0.0471919	0.0495708	0.0288761	0.0278997	0.0126656	0.00847641	0.00588217	0.00607909	0.00539744	0.00542021	0.0047618	0.00507106	0.00600777
a12	0.144418	0.184373	0.157295	0.114628	0.100895	0.0564661	0.030508	0.0416237	0.0551088	0.0374596	0.0425756	0.0122515	0.0053409	0.00322464	0.00313365	0.00247955	0.00235262	0.00185885	0.0016297	0.00237708
a88	0.105449	0.145939	0.134733	0.101143	0.0984431	0.0647969	0.0409974	0.0531228	0.0715022	0.0540104	0.0703566	0.0220899	0.00895394	0.00581626	0.00551335	0.00399772	0.00390955	0.0032609	0.00259853	0.00336597
a11	0.0923816	0.129786	0.127397	0.103959	0.104417	0.0674783	0.0476801	0.0562177	0.0666578	0.0490216	0.0652218	0.022942	0.0117434	0.00931707	0.00960052	0.00779942	0.00831664	0.00741738	0.00578375	0.00686193
a90	0.0452898	0.0562554	0.0656618	0.0677709	0.0820679	0.0856731	0.0842464	0.0835335	0.0802337	0.0637198	0.0704459	0.0296018	0.0206511	0.0220768	0.0279068	0.0254557	0.0283	0.0251713	0.018828	0.0171101
a44	0.0378131	0.0436743	0.0597387	0.0761215	0.106045	0.0884091	0.0698392	0.0852244	0.105028	0.0835971	0.106903	0.0408413	0.0192333	0.0111647	0.0114365	0.010827	0.0120333	0.0104309	0.00981752	0.011821
a58	0.0231336	0.0227274	0.032101	0.0488347	0.0802552	0.0921682	0.0838434	0.101697	0.116374	0.0942359	0.108781	0.0450761	0.0254102	0.0143425	0.0161609	0.0163562	0.0193836	0.0182234	0.0189003	0.0219956
a75	0.00782428	0.0068641	0.00907242	0.0146138	0.0353736	0.100533	0.130676	0.130623	0.121404	0.113978	0.0995723	0.0410755	0.0242552	0.0166814	0.0213043	0.0207795	0.0243793	0.0238564	0.0259783	0.0311549
a6	0.00818711	0.00951787	0.0124634	0.0214993	0.0400046	0.0692259	0.0673433	0.0763806	0.0802804	0.0681942	0.0824048	0.044521	0.0326893	0.022714	0.0320036	0.0432216	0.0554824	0.0586234	0.0730453	0.102198
a36	0.00876177	0.00854347	0.0106233	0.0192214	0.0330081	0.0693795	0.0744857	0.0882839	0.0900902	0.0718663	0.0729802	0.0343767	0.0300991	0.0255287	0.0368637	0.0473719	0.0568384	0.0596056	0.0694206	0.0926516
a37	0.0052764	0.00412397	0.00449897	0.00607482	0.0129127	0.0658355	0.108142	0.103713	0.090437	0.097315	0.0883151	0.0452721	0.0338389	0.0260199	0.0365749	0.0387481	0.0451459	0.0470242	0.0590353	0.081697
a88	0.00360626	0.0026729	0.00277997	0.00346841	0.00697882	0.0448096	0.0789065	0.0776784	0.0680368	0.0825345	0.078852	0.0419143	0.0385035	0.0386452	0.0529696	0.063308	0.0692774	0.0668233	0.0801638	0.0980707
a71	0.00335567	0.00206793	0.00226276	0.00317495	0.00692824	0.0378569	0.0658444	0.0657502	0.0603432	0.0920735	0.0957692	0.0638504	0.0505644	0.0508818	0.0623414	0.0652406	0.0659557	0.062865	0.0671879	0.0756858
a9	0.00245226	0.0016158	0.00177661	0.00223563	0.00443456	0.0299897	0.0656293	0.0635064	0.0462707	0.102187	0.0954353	0.0692705	0.0446957	0.0503528	0.0622063	0.0692103	0.0635273	0.0595711	0.0684734	0.0971593
a99	0.00460391	0.0038102	0.0041546	0.00443259	0.00766131	0.0371191	0.0772302	0.0536619	0.0415799	0.0795451	0.0968997	0.0777789	0.0608981	0.0642206	0.0644323	0.0611576	0.052678	0.0468006	0.0555454	0.10579
a83	0.0113254	0.00922234	0.00898728	0.00816789	0.011734	0.0287761	0.0668748	0.0483254	0.0388819	0.0723852	0.0842968	0.0673701	0.0724532	0.0700173	0.0661127	0.0531846	0.0476307	0.0444599	0.0558605	0.133934
a88	0.00333134	0.00275352	0.00254155	0.00238697	0.00348596	0.0143881	0.0348069	0.0452319	0.0400747	0.0751736	0.0796785	0.0551658	0.0467433	0.0579822	0.0748217	0.0730694	0.0645816	0.0566896	0.0729602	0.194133
a9	0.00346991	0.00235862	0.00237702	0.00291161	0.00426469	0.0114363	0.0192314	0.0226754	0.0210758	0.0396426	0.0650685	0.0587007	0.0613922	0.0905511	0.0997496	0.0909026	0.0799203	0.0737074	0.0923497	0.158215
