 	ce	bruit	m'	assourdit	</S>
a66	0.431858	0.245565	0.179181	0.102292	0.0411035
a87	0.418878	0.205779	0.208149	0.127809	0.0393852
a23	0.510006	0.323437	0.0941772	0.0421655	0.0302147
a34	0.42171	0.348749	0.124079	0.0648933	0.0405682
a93	0.463849	0.337387	0.123297	0.0420841	0.0333836
a90	0.395223	0.450901	0.127844	0.020188	0.00584336
a56	0.310566	0.424038	0.21341	0.0435215	0.00846471
a92	0.199498	0.38408	0.279111	0.105192	0.0321179
a75	0.195026	0.349895	0.291	0.127136	0.0369426
a12	0.143479	0.262648	0.33571	0.208815	0.049348
a47	0.146008	0.211275	0.281643	0.256287	0.104786
a88	0.119536	0.177937	0.28201	0.289322	0.131196
a31	0.0602533	0.0893076	0.210431	0.388275	0.251733
a61	0.0611763	0.0710215	0.157343	0.345027	0.365433
a43	0.0411894	0.0476072	0.115632	0.319928	0.475643
a75	0.0148052	0.0170539	0.0373474	0.179733	0.75106
a85	0.00740791	0.0107718	0.0432866	0.194451	0.744082
a6	0.00361158	0.00499095	0.019922	0.116377	0.855099
a0	0.00427931	0.00409398	0.0110378	0.0772064	0.903382
a61	0.00257002	0.00227112	0.0076555	0.0739925	0.913511
a62	0.00362704	0.00329345	0.0119717	0.0956037	0.885504
a88	0.00477719	0.00550415	0.0200486	0.0984466	0.871223
a71	0.0198705	0.0199861	0.0581944	0.156911	0.745038
a9	0.0966581	0.0852235	0.128691	0.19635	0.493078
a10	0.27078	0.158293	0.131259	0.162639	0.27703
a87	0.281261	0.169618	0.137428	0.136895	0.274797
a23	0.248711	0.184153	0.145392	0.130922	0.290821
a99	0.0876723	0.0595707	0.0562215	0.118101	0.678435
a97	0.0524133	0.0366538	0.0534935	0.145031	0.712408
</S>	0.066499	0.0623783	0.0740194	0.125703	0.6714
