 	lorsqu'	on	l'	a	poussé	il	n'	est	pas	tombé	parce	qu'	il	s'	est	appuyé	contre	le	mur	</S>
a66	0.0517429	0.0471921	0.048858	0.0508693	0.0553616	0.0608715	0.0652842	0.0714999	0.0842157	0.0868862	0.123796	0.124112	0.0707049	0.0271082	0.0131888	0.00850755	0.00372656	0.00224148	0.00192949	0.00190311
a87	0.195369	0.146122	0.124317	0.0762623	0.0456013	0.0266507	0.027429	0.0281002	0.0292331	0.0290648	0.0410003	0.0576939	0.0449977	0.0299626	0.0265373	0.0288749	0.0210129	0.00800819	0.0065521	0.00721073
a23	0.129961	0.110517	0.0872863	0.0592261	0.0536381	0.037178	0.0448915	0.0512365	0.051809	0.0435925	0.0554252	0.0814954	0.0774405	0.0409154	0.0275455	0.0144283	0.0129795	0.00678349	0.00687797	0.00677321
a50	0.137418	0.122467	0.0964958	0.0563236	0.0474538	0.0298325	0.0411491	0.0487876	0.0409021	0.0262708	0.026347	0.0279698	0.0304149	0.0289726	0.0356179	0.0374437	0.0478677	0.0278227	0.0408968	0.0495466
a18	0.0868947	0.0679972	0.0555867	0.0424177	0.0456123	0.0445883	0.0610429	0.0690069	0.0597946	0.0423216	0.0472355	0.062642	0.0755142	0.0562288	0.0527905	0.0415157	0.032152	0.0177137	0.0184658	0.0204791
a0	0.130341	0.113544	0.103697	0.0731947	0.0694973	0.0513913	0.046507	0.0377953	0.0301738	0.02382	0.028726	0.043795	0.0542747	0.0436259	0.0417947	0.047688	0.029759	0.0112	0.00955882	0.00961717
a88	0.114288	0.12494	0.111404	0.0725026	0.0602422	0.0421114	0.0323763	0.0231833	0.0166199	0.0132823	0.015587	0.0313429	0.0508988	0.0630255	0.0678457	0.0941549	0.0450063	0.0091936	0.00625608	0.00573835
a31	0.118142	0.118903	0.0962925	0.0644326	0.0600025	0.0499653	0.0380427	0.0284495	0.01982	0.01342	0.0144991	0.0228815	0.0344555	0.0500006	0.0707592	0.117451	0.0534748	0.0124708	0.00864963	0.00788758
a88	0.0864211	0.0926605	0.0808893	0.0631249	0.0596684	0.0549261	0.047499	0.0393106	0.0251316	0.0144938	0.0132526	0.0185438	0.0308023	0.0508884	0.0769505	0.134718	0.0612216	0.0214199	0.0149018	0.013176
a98	0.0477156	0.0495913	0.0484867	0.0540189	0.0656338	0.0713242	0.0659889	0.0535217	0.0307685	0.0168053	0.0156339	0.0194266	0.0285882	0.0488669	0.0697161	0.137901	0.0763508	0.0414163	0.0309929	0.0272523
a15	0.0235106	0.0300056	0.0319189	0.0358662	0.0444994	0.0502106	0.0483375	0.0436165	0.0317536	0.0212694	0.0187623	0.0188906	0.0250877	0.0462	0.0779978	0.182578	0.109173	0.0681299	0.0460051	0.0461864
a69	0.0311851	0.0360576	0.0450979	0.0623747	0.0742641	0.0777478	0.0746872	0.0627895	0.0417066	0.024011	0.0201274	0.0165715	0.0157317	0.0247098	0.039344	0.111669	0.0885307	0.0608442	0.0455402	0.04701
a15	0.0258873	0.0275141	0.0361049	0.0613466	0.0810849	0.0941201	0.0945449	0.081173	0.0579215	0.0338036	0.0295744	0.0231123	0.0196806	0.0239043	0.0290231	0.0590937	0.0658882	0.0570606	0.0489557	0.0502062
a47	0.0301175	0.0307346	0.0404354	0.0733538	0.0934352	0.10514	0.100447	0.0811198	0.056803	0.0352188	0.0297137	0.0238336	0.019557	0.0238122	0.026812	0.0531672	0.0555256	0.0430134	0.0373353	0.0404247
a79	0.0257019	0.0242235	0.0309677	0.0667622	0.0909721	0.11037	0.105012	0.0841499	0.0651065	0.0427688	0.0363265	0.0295798	0.0249763	0.0284982	0.027838	0.0515755	0.0490897	0.0358389	0.0328219	0.0374204
a44	0.0271659	0.0241869	0.0275885	0.0510004	0.0691241	0.0851241	0.0837646	0.0746742	0.0640054	0.0479599	0.0470946	0.0381705	0.0251816	0.0253304	0.0288917	0.0570099	0.0609631	0.0597419	0.0506568	0.0523657
a15	0.0130335	0.0119693	0.0133856	0.0223474	0.0363094	0.062117	0.0827986	0.0913318	0.0924738	0.0763022	0.074161	0.0535893	0.0318666	0.0250565	0.0231081	0.03183	0.0444699	0.0642558	0.0728377	0.0767566
a7	0.00641351	0.00593895	0.00643835	0.0100118	0.0156081	0.033347	0.0549746	0.0728177	0.0861361	0.0840214	0.0779151	0.0556295	0.0342667	0.0255868	0.0223017	0.0290085	0.0494286	0.0727653	0.117285	0.140105
a40	0.00913572	0.00824618	0.00848278	0.0108908	0.0137806	0.0249213	0.0400282	0.0611649	0.0833411	0.0959649	0.0810422	0.0481579	0.0292431	0.0174229	0.0144613	0.0201427	0.0446685	0.0771742	0.136862	0.174869
