 	la	manière	dont	cet	homme	est	assailli	il	doit	être	un	voleur	ou	un	sorcier	</S>
a66	0.254065	0.141667	0.0994126	0.129445	0.103221	0.0582889	0.0276066	0.0179992	0.017344	0.0183424	0.0200065	0.0238249	0.0238081	0.0218628	0.0247324	0.0183733
a87	0.274377	0.141221	0.0864998	0.0526871	0.0255795	0.0252849	0.0211398	0.0251295	0.0350605	0.0391152	0.0399199	0.037616	0.0352285	0.0435026	0.0591967	0.0584421
a23	0.369078	0.197413	0.07632	0.0357716	0.0209161	0.0205735	0.0148453	0.0152942	0.0267211	0.0323879	0.0458885	0.0468123	0.0292314	0.024499	0.0205958	0.0236531
a50	0.253125	0.238923	0.160075	0.0611295	0.0267654	0.0266263	0.0164537	0.0120814	0.018339	0.0223213	0.0341889	0.0413031	0.0289625	0.0223935	0.0168235	0.0204883
a88	0.226482	0.241972	0.143902	0.0717075	0.0360171	0.0309878	0.0170319	0.0101338	0.0120401	0.0142036	0.0212231	0.032597	0.035605	0.0357143	0.0367556	0.033627
a71	0.284508	0.322812	0.189779	0.0745485	0.0286485	0.0181415	0.00905692	0.00536044	0.0052268	0.00562815	0.00754214	0.0095582	0.0110592	0.0102534	0.0102083	0.00766877
a53	0.161431	0.256942	0.221371	0.101198	0.0449578	0.0298203	0.0169331	0.0139706	0.014224	0.0157345	0.0184357	0.0228802	0.0218856	0.0215734	0.020376	0.0182667
a79	0.176827	0.238876	0.180111	0.0835426	0.04471	0.0355675	0.0252192	0.0171743	0.0157361	0.0167552	0.0187988	0.0229983	0.0248331	0.0318641	0.0347054	0.0322818
a56	0.0815042	0.118697	0.153892	0.124177	0.0813951	0.0598557	0.0550558	0.0358625	0.0288711	0.0271949	0.02403	0.0254696	0.028519	0.0429264	0.0564181	0.0561313
a12	0.120793	0.153641	0.197111	0.126403	0.072037	0.0513996	0.0460928	0.0306345	0.023219	0.0218845	0.0199496	0.0211167	0.0214158	0.0274331	0.032871	0.0339983
a96	0.0925924	0.128991	0.18097	0.128834	0.0850333	0.0628666	0.0541889	0.0382891	0.0310057	0.0286578	0.0257139	0.0246879	0.0230377	0.0278757	0.0336197	0.0336365
a62	0.0598888	0.0922947	0.160089	0.130929	0.092085	0.0697765	0.0612007	0.0514119	0.0437965	0.0399859	0.0351183	0.0332289	0.0277264	0.0310835	0.0358158	0.0355691
a47	0.0334882	0.0578046	0.12954	0.132547	0.103604	0.0819651	0.0764137	0.0646085	0.0537305	0.0470969	0.0393816	0.0366852	0.0301291	0.033009	0.0394512	0.0405456
a75	0.0210047	0.0365724	0.0992637	0.125358	0.109021	0.093748	0.0937736	0.0870339	0.0748011	0.0625146	0.0457006	0.0406197	0.0299531	0.0251106	0.0264683	0.0290558
a94	0.0100768	0.024328	0.0860995	0.1185	0.102275	0.082496	0.0887767	0.0844301	0.0817144	0.0720628	0.0554645	0.0465975	0.0350848	0.0314468	0.0368463	0.0438011
a90	0.00754717	0.0139442	0.0467652	0.106958	0.128374	0.110785	0.0983477	0.0891913	0.0822151	0.071561	0.0538617	0.0490434	0.0355013	0.0292401	0.032616	0.0440492
a75	0.00279045	0.00725823	0.0263184	0.0674736	0.0916995	0.0868255	0.101949	0.0959296	0.0983896	0.088256	0.0712184	0.061205	0.04883	0.0449183	0.0492666	0.0576721
a85	0.00249335	0.00692163	0.0196429	0.0433857	0.067834	0.0725969	0.104772	0.107887	0.11251	0.0966024	0.0771343	0.0640838	0.0517575	0.051926	0.0556763	0.0647768
a47	0.00346783	0.00627442	0.0152501	0.0399027	0.0667053	0.069068	0.0983868	0.108808	0.115821	0.101965	0.0813124	0.0651973	0.0515047	0.0501419	0.054982	0.0712126
