 	ce	palmier	produit	de	meilleures	noix	</S>
a66	0.398414	0.163505	0.0901454	0.125596	0.0952112	0.0788937	0.0482353
a87	0.219925	0.170833	0.160364	0.168092	0.159243	0.0806491	0.0408944
a23	0.414484	0.231255	0.1204	0.0893516	0.0548099	0.0509673	0.0387316
a71	0.256088	0.268966	0.181081	0.106049	0.071646	0.0700195	0.0461519
a62	0.265993	0.257833	0.157816	0.130694	0.0766327	0.0662382	0.0447935
a21	0.301084	0.277996	0.177885	0.125498	0.0714327	0.0344738	0.0116305
a5	0.202108	0.29004	0.205698	0.141533	0.0942052	0.0438364	0.022579
a12	0.138276	0.259167	0.246357	0.181255	0.109666	0.0455551	0.0197243
a31	0.112469	0.178277	0.231788	0.199986	0.156319	0.0803843	0.0407762
a62	0.101406	0.117326	0.188517	0.173014	0.163023	0.153271	0.103443
a88	0.0640635	0.0565714	0.105921	0.136138	0.187211	0.244176	0.205919
a93	0.0206918	0.0165507	0.030303	0.0529689	0.117796	0.289179	0.47251
a34	0.0282423	0.0205373	0.0307007	0.0503555	0.0996529	0.26736	0.503151
a62	0.00941006	0.00606852	0.0124986	0.0311177	0.0978701	0.279312	0.563723
a0	0.00269164	0.00223759	0.0048894	0.0122388	0.0485192	0.26031	0.669113
a75	0.00206557	0.00175042	0.00351148	0.0108756	0.0358895	0.172948	0.772959
a56	0.000918344	0.000550853	0.00163005	0.00504616	0.0176959	0.117469	0.85669
a18	0.000610617	0.000642797	0.00190666	0.00681963	0.0255547	0.149228	0.815238
a25	0.0393616	0.0227978	0.0365021	0.054853	0.0760573	0.177553	0.592875
a82	0.353659	0.139879	0.0999869	0.084174	0.0752188	0.0866292	0.160453
a87	0.313216	0.153189	0.0926134	0.0896759	0.0901132	0.110598	0.150594
a23	0.247442	0.135154	0.0819255	0.0776991	0.0769757	0.140063	0.24074
a87	0.0952662	0.0427369	0.0252839	0.0287573	0.0411917	0.160259	0.606505
</S>	0.0258248	0.0184591	0.0130402	0.0227162	0.045292	0.177507	0.697161
