 	les	abords	de	la	maison	sont	sales	</S>
a23	0.259319	0.190076	0.147419	0.136473	0.102324	0.0868281	0.0495877	0.0279723
a10	0.247022	0.173537	0.141242	0.110094	0.122503	0.081337	0.0632279	0.061037
a87	0.238593	0.217545	0.151114	0.0934348	0.0860079	0.0703069	0.0728859	0.0701129
a23	0.24707	0.192388	0.147552	0.0995204	0.0903913	0.0890183	0.0627094	0.0713499
a50	0.312037	0.232301	0.156216	0.0841421	0.0690134	0.0514387	0.0479327	0.0469184
a24	0.482302	0.259443	0.117463	0.0620325	0.0306996	0.0174914	0.0206267	0.00994159
a25	0.459753	0.271662	0.115223	0.0602269	0.0358495	0.0233773	0.0212738	0.0126342
a87	0.269938	0.22427	0.146002	0.114146	0.0854984	0.0679602	0.0511986	0.0409867
a79	0.172799	0.169573	0.12858	0.101973	0.0973242	0.0995575	0.109437	0.120756
a41	0.209417	0.20896	0.140022	0.114964	0.0901234	0.0782392	0.0780632	0.0802109
a35	0.194205	0.211348	0.180345	0.15555	0.110707	0.0799473	0.0468056	0.0210916
a41	0.234651	0.233136	0.192262	0.148709	0.0886537	0.0569951	0.0302342	0.0153601
a35	0.230165	0.229386	0.200649	0.147091	0.0859105	0.0595527	0.0302471	0.0169977
a14	0.179511	0.216272	0.216338	0.160352	0.096331	0.0714488	0.0378398	0.0219077
a35	0.0938498	0.162134	0.21091	0.184806	0.133395	0.109624	0.0642261	0.041055
a38	0.0760828	0.147613	0.21411	0.187445	0.134157	0.110656	0.0703858	0.0595506
a41	0.0655611	0.130038	0.202481	0.193105	0.14913	0.119865	0.0834095	0.0564103
a24	0.0587636	0.122632	0.195202	0.183488	0.144161	0.120734	0.0969475	0.0780717
a71	0.0343807	0.0754801	0.150672	0.184289	0.171193	0.155694	0.133633	0.0946576
a9	0.0351742	0.061545	0.114644	0.154761	0.158577	0.160304	0.170511	0.144483
a38	0.0215879	0.038047	0.0740268	0.102285	0.1285	0.141827	0.235912	0.257814
a26	0.0202429	0.037918	0.0665158	0.088445	0.0985972	0.11502	0.215454	0.357807
a35	0.0150494	0.028792	0.0523933	0.0688586	0.0840007	0.107252	0.215799	0.427855
a41	0.0161738	0.0243854	0.0381339	0.0482366	0.0640639	0.0964487	0.18617	0.526388
a96	0.0158355	0.0220771	0.0302936	0.0365698	0.0551606	0.0919428	0.183503	0.564618
a66	0.0147008	0.0157191	0.0203051	0.023789	0.0373497	0.073257	0.164768	0.650112
a31	0.0209613	0.0161491	0.020826	0.0264976	0.0405403	0.0723181	0.183546	0.619162
a50	0.0229461	0.0208028	0.0204828	0.0219612	0.0360797	0.0710276	0.153982	0.652718
a44	0.0179866	0.0154984	0.0175598	0.0242194	0.0440149	0.0868804	0.149339	0.644501
a38	0.0316889	0.0251604	0.0321381	0.0395237	0.053278	0.0870128	0.160131	0.571067
a0	0.0215693	0.0160331	0.0195372	0.0222782	0.0326124	0.0571713	0.124348	0.70645
a24	0.0169304	0.0129148	0.0158264	0.0215075	0.0358592	0.0692192	0.137394	0.690349
a9	0.01864	0.0150607	0.0158199	0.0197866	0.0365345	0.0767293	0.13618	0.681249
a87	0.0128531	0.0127556	0.0164056	0.019607	0.0315592	0.0700184	0.150996	0.685805
a23	0.00870852	0.00589874	0.00822434	0.0116826	0.02744	0.0758451	0.142358	0.719843
a87	0.0232922	0.0152151	0.0172765	0.0198927	0.0454862	0.103825	0.157353	0.617659
a23	0.025807	0.0177742	0.0248236	0.0264213	0.0515312	0.111881	0.156633	0.585128
a87	0.049685	0.0420885	0.0520124	0.0549891	0.0895756	0.15813	0.153659	0.39986
</S>	0.0289337	0.0211991	0.033526	0.0377544	0.0700363	0.135307	0.15441	0.518833
