 	nous	avons	bien	ri	</S>
a23	0.298499	0.163579	0.180857	0.237897	0.119168
a87	0.414244	0.235477	0.176892	0.120454	0.0529325
a23	0.201103	0.200051	0.195635	0.185071	0.218139
a38	0.2797	0.202745	0.182817	0.168368	0.16637
a88	0.46461	0.237642	0.177572	0.0769298	0.0432452
a11	0.41315	0.288644	0.219165	0.0572924	0.0217489
a31	0.28074	0.265046	0.252616	0.122268	0.0793282
a88	0.274987	0.271582	0.23867	0.137278	0.0774829
a54	0.222597	0.246124	0.229982	0.18388	0.117417
a41	0.1893	0.230407	0.239822	0.194112	0.146359
a18	0.18501	0.224497	0.282292	0.20432	0.10388
a38	0.12977	0.166399	0.276856	0.300361	0.126614
a90	0.110547	0.139288	0.244234	0.354391	0.151541
a56	0.098191	0.119964	0.230151	0.367191	0.184502
a62	0.0753208	0.0979189	0.200564	0.368916	0.25728
a31	0.0437755	0.0526139	0.108385	0.367313	0.427913
a62	0.0404185	0.046666	0.0810189	0.310238	0.521659
a26	0.0274726	0.0304596	0.0518197	0.230953	0.659295
a24	0.0188355	0.0184423	0.0361923	0.171156	0.755374
a9	0.0235447	0.0220469	0.0342253	0.132171	0.788012
a87	0.0216858	0.0213672	0.0311525	0.124444	0.80135
</S>	0.0145919	0.0142483	0.023826	0.098545	0.848789
