 	son	ami	a	soulevé	le	problème	qu'	il	y	avait	entre	leurs	épouses	</S>
a15	0.121148	0.103961	0.0778982	0.0784578	0.0468185	0.0533445	0.0896267	0.110332	0.116492	0.100044	0.0645433	0.0199708	0.00970792	0.00765517
a66	0.339769	0.232969	0.0997697	0.0892359	0.0402383	0.0480242	0.0323344	0.0283685	0.0235269	0.0145363	0.012996	0.0120236	0.014326	0.0118825
a87	0.379966	0.235882	0.112447	0.0782941	0.0603358	0.0414886	0.0271863	0.0207724	0.0153573	0.0090229	0.00590992	0.00359725	0.00426592	0.00547404
a10	0.224421	0.226144	0.157659	0.17447	0.0769781	0.0576232	0.0282112	0.0163025	0.0118631	0.00945491	0.00812997	0.00403165	0.00229208	0.00241966
a87	0.144825	0.203589	0.166958	0.258461	0.0972508	0.0725643	0.0251484	0.0100735	0.00562662	0.00368229	0.00360755	0.00279604	0.00242614	0.00299062
a10	0.184029	0.209795	0.137861	0.224195	0.0944869	0.0742166	0.0307129	0.0156489	0.00992007	0.00575725	0.00480051	0.00344889	0.002486	0.00264265
a87	0.225079	0.241477	0.130476	0.213143	0.0763825	0.0493885	0.0185806	0.0090841	0.00589627	0.00443412	0.00477357	0.00558925	0.00779909	0.0078964
a23	0.25931	0.237822	0.119003	0.184546	0.0747053	0.0453071	0.0192475	0.0105075	0.00734317	0.00578505	0.00637931	0.00794404	0.0111445	0.0109555
a30	0.221453	0.189665	0.100745	0.189361	0.0620113	0.034896	0.0162177	0.0106523	0.00960853	0.0101156	0.0131073	0.0235773	0.0596716	0.0589189
a13	0.202658	0.186823	0.103817	0.193247	0.0751644	0.0463251	0.0262053	0.0161211	0.0125533	0.0116002	0.0128959	0.0255133	0.0444084	0.0426676
a62	0.0835713	0.113482	0.0803941	0.261731	0.121732	0.0692708	0.0394659	0.0225923	0.0179458	0.0157252	0.0205224	0.0389815	0.0486547	0.0659309
a75	0.0426927	0.0565892	0.0564728	0.218152	0.231511	0.12534	0.0722035	0.0395441	0.0304556	0.0229618	0.0287428	0.03463	0.0208305	0.0198744
a79	0.0485354	0.0593125	0.0575323	0.169087	0.19593	0.104718	0.0848334	0.0551209	0.0434802	0.028225	0.0360992	0.0548785	0.0363588	0.0258897
a15	0.0312591	0.0364149	0.0466356	0.119015	0.209656	0.119361	0.110214	0.0844001	0.0701261	0.0401944	0.0398809	0.0449787	0.0278005	0.0200627
a79	0.0249425	0.0275976	0.0365039	0.0794678	0.191427	0.104692	0.100317	0.0839862	0.0845541	0.0539787	0.0569624	0.0663566	0.0460067	0.0432085
a44	0.0263304	0.0243997	0.0255715	0.0550743	0.164859	0.143026	0.135157	0.102807	0.0819749	0.0517069	0.0521731	0.0530037	0.0374745	0.0464421
a40	0.0192475	0.0168106	0.0202815	0.0384424	0.0981331	0.157833	0.175255	0.149286	0.115107	0.0661677	0.0538062	0.038108	0.0234581	0.0280648
a75	0.00707634	0.0062529	0.00741152	0.0171532	0.0334408	0.0720739	0.110146	0.114335	0.122357	0.107569	0.116132	0.108596	0.0847454	0.0927095
a5	0.00694953	0.00607958	0.00603228	0.0113813	0.0235634	0.0450803	0.0871496	0.115384	0.148752	0.116936	0.117525	0.117915	0.099915	0.0973361
a12	0.00640519	0.00491765	0.00446301	0.00847823	0.0132501	0.032625	0.0818157	0.125514	0.148629	0.122488	0.120228	0.119062	0.103501	0.108624
a47	0.00585894	0.00449649	0.0046358	0.00721903	0.00775988	0.0186426	0.0498908	0.113756	0.165906	0.170246	0.143531	0.106698	0.0932071	0.108153
a96	0.00490516	0.0036469	0.0032758	0.00509845	0.0060671	0.0157819	0.0417958	0.0977098	0.153991	0.177022	0.152659	0.109777	0.101504	0.126767
a90	0.0112669	0.00888167	0.00912055	0.014809	0.0159825	0.023544	0.0440095	0.0779952	0.115941	0.166159	0.178029	0.103635	0.084777	0.14585
a25	0.00240383	0.00183391	0.00184921	0.00334538	0.00396502	0.00676862	0.0170926	0.0381164	0.0696344	0.130904	0.167294	0.173983	0.185655	0.197154
a92	0.00100607	0.00092808	0.000948475	0.00112438	0.001406	0.00211341	0.00468048	0.0118439	0.0251765	0.0657406	0.0990688	0.168956	0.260836	0.356171
a85	0.000645686	0.00051993	0.000510467	0.00079845	0.000892494	0.00148289	0.0032135	0.00769737	0.0156254	0.046648	0.0868102	0.191206	0.299695	0.344255
a6	0.00105203	0.000831992	0.000668319	0.000762423	0.000941008	0.00136981	0.00297907	0.00685345	0.0138874	0.0399147	0.0701728	0.15002	0.289588	0.420959
a85	0.000504965	0.000353248	0.000314877	0.000495711	0.000553437	0.000793966	0.00186017	0.00460986	0.00993605	0.0321864	0.0689191	0.20448	0.37455	0.300442
a47	0.000385768	0.000275432	0.000241867	0.000282956	0.000321224	0.000441918	0.00105337	0.00252382	0.00523672	0.0181007	0.0400169	0.148702	0.382452	0.399966
a7	0.000891067	0.000616534	0.000480389	0.000471368	0.000395278	0.00036194	0.000547916	0.000851102	0.00124775	0.00354459	0.00855094	0.0696679	0.371022	0.541351
a54	0.00430843	0.00300963	0.0023357	0.00239711	0.00204945	0.00109427	0.00126123	0.00146988	0.00153155	0.00286585	0.00511073	0.0366082	0.233396	0.702562
a47	0.0013776	0.000797373	0.000539282	0.000646332	0.000854396	0.000737466	0.000839609	0.00113366	0.00142633	0.00302109	0.00602638	0.0502115	0.388868	0.543521
a0	0.00157104	0.000863473	0.000600938	0.00059981	0.000701631	0.000649603	0.000829506	0.00114362	0.00131394	0.00259387	0.00479893	0.033882	0.330401	0.620051
a54	0.00192666	0.00106821	0.000706507	0.000729093	0.000721883	0.000448204	0.000503136	0.000557889	0.000489998	0.0010498	0.00229285	0.0248869	0.227708	0.736911
a47	0.000645134	0.000388471	0.000257977	0.000395234	0.000552932	0.000405534	0.000448701	0.000583836	0.000701525	0.00161144	0.00419494	0.0576931	0.372153	0.559968
a7	0.000162114	0.000104484	7.73476e-05	0.000102112	0.00011728	0.000110953	0.00015085	0.000214029	0.000269719	0.00066123	0.00183907	0.030692	0.311461	0.654037
a47	0.00638271	0.0048305	0.00422365	0.00415115	0.00401619	0.00177216	0.00179116	0.00187071	0.0016917	0.00290434	0.00593331	0.0447161	0.244557	0.671159
a36	0.00138415	0.000895744	0.000694045	0.000862413	0.000902153	0.000581548	0.000757288	0.00107001	0.0012973	0.00283016	0.00707112	0.0835771	0.352316	0.545761
a2	0.0030579	0.00181605	0.00130575	0.00137059	0.00143768	0.00100289	0.0011851	0.00137422	0.00150432	0.00304843	0.00623495	0.0556283	0.307091	0.613943
a57	0.0524138	0.0377012	0.0378629	0.02728	0.0212951	0.00837878	0.0102047	0.0132637	0.0128688	0.0199412	0.0335777	0.0932303	0.227264	0.404718
a87	0.202634	0.102529	0.067748	0.0488809	0.0283779	0.0129594	0.0186307	0.0241101	0.0209461	0.0390519	0.0571621	0.0943206	0.123412	0.159238
a23	0.349619	0.224503	0.120807	0.0948287	0.0215317	0.0111896	0.0133571	0.0158099	0.0169484	0.0218322	0.0246668	0.030227	0.027878	0.0268012
a87	0.124758	0.0985184	0.0658676	0.0555138	0.0182175	0.00887449	0.0103101	0.012778	0.0126423	0.0201614	0.0408282	0.165606	0.201133	0.164791
</S>	0.0231348	0.018533	0.0152978	0.0177665	0.0097338	0.00433072	0.00471672	0.00639891	0.00690824	0.0154254	0.0348603	0.157727	0.290985	0.394182
