 	son	boubou	lui	va	bien	</S>
a85	0.419367	0.255945	0.146235	0.07947	0.0499232	0.0490601
a87	0.336151	0.19254	0.127339	0.122525	0.102937	0.118508
a23	0.324268	0.269308	0.10094	0.0830838	0.0962457	0.126155
a79	0.405127	0.233233	0.0713706	0.0657375	0.0867054	0.137827
a13	0.585607	0.121063	0.0639735	0.0536671	0.0675812	0.108109
a9	0.665604	0.180982	0.0589481	0.0315998	0.027598	0.0352682
a82	0.377123	0.255323	0.1196	0.0791031	0.0746039	0.0942466
a40	0.114081	0.142235	0.1171	0.126304	0.190698	0.309581
a30	0.261305	0.222246	0.155585	0.112754	0.109534	0.138575
a35	0.352057	0.308319	0.177318	0.0777092	0.0459063	0.0386904
a66	0.296118	0.290921	0.189809	0.100232	0.0650536	0.0578661
a75	0.245135	0.283166	0.191426	0.10958	0.0831651	0.0875276
a30	0.26121	0.265899	0.194815	0.121243	0.0832449	0.0735879
a73	0.212293	0.272143	0.221876	0.139786	0.0857246	0.068177
a20	0.16632	0.263417	0.200542	0.149778	0.109707	0.110236
a73	0.131543	0.235683	0.189396	0.168262	0.142107	0.13301
a35	0.125709	0.221334	0.16707	0.167752	0.159787	0.158348
a76	0.0988238	0.197627	0.169198	0.180561	0.181681	0.17211
a90	0.0739318	0.152298	0.170708	0.216056	0.209329	0.177677
a57	0.109016	0.170658	0.159776	0.199132	0.192781	0.168637
a53	0.0407184	0.0930709	0.114823	0.21069	0.262915	0.277783
a20	0.045504	0.0723787	0.0945399	0.186896	0.275536	0.325146
a14	0.0349293	0.047543	0.0657824	0.159964	0.292741	0.399041
a35	0.0317334	0.0552843	0.0809078	0.163983	0.289932	0.378159
a73	0.0311698	0.0472717	0.0667479	0.14862	0.288192	0.417999
a76	0.0276032	0.0425794	0.0598516	0.143746	0.293364	0.432856
a94	0.0433793	0.0529894	0.0801436	0.15372	0.272409	0.397359
a57	0.0241708	0.0325841	0.0411197	0.100805	0.259337	0.541984
a82	0.0141141	0.0189829	0.0250299	0.0828847	0.262208	0.59678
a10	0.0122005	0.0166062	0.021972	0.0796126	0.271765	0.597844
a75	0.0133917	0.018365	0.0238095	0.0861011	0.281008	0.577325
a41	0.00957017	0.0107768	0.0150975	0.0613584	0.234532	0.668665
a32	0.0147696	0.0172715	0.0236514	0.0692598	0.237106	0.637941
a25	0.00766082	0.00896306	0.0129107	0.051319	0.227236	0.691911
a87	0.00759458	0.00983469	0.0149402	0.0583781	0.233347	0.675905
</S>	0.0194286	0.0204486	0.0315983	0.103122	0.289765	0.535638
