 	son	père	est	un	homme	bienveillant	</S>
a23	0.557426	0.292543	0.0923537	0.0248184	0.0130856	0.00786699	0.0119067
a85	0.574366	0.172717	0.0789463	0.0372893	0.0283669	0.0364647	0.0718504
a87	0.266889	0.156117	0.113443	0.068424	0.066619	0.0947236	0.233784
a23	0.346048	0.175754	0.131437	0.0647099	0.0492513	0.0650697	0.16773
a40	0.124982	0.0543915	0.0386114	0.0338965	0.0670941	0.172123	0.508901
a20	0.215913	0.148249	0.100656	0.0847806	0.117709	0.165332	0.16736
a69	0.241481	0.248037	0.241466	0.146636	0.0665626	0.0318215	0.0239953
a20	0.210811	0.229132	0.241039	0.172084	0.0798277	0.0374228	0.0296832
a73	0.191886	0.231192	0.236372	0.166236	0.084615	0.0481427	0.0415566
a2	0.159234	0.210937	0.236926	0.198794	0.0968177	0.0551223	0.0421693
a40	0.094616	0.121914	0.191358	0.20507	0.137826	0.126262	0.122955
a30	0.144964	0.160561	0.171878	0.141635	0.107273	0.125677	0.148012
a73	0.184772	0.245103	0.22763	0.154993	0.0854091	0.0572167	0.0448764
a26	0.174081	0.193006	0.177723	0.154101	0.111476	0.0977082	0.0919043
a61	0.0930389	0.11745	0.145276	0.161579	0.171012	0.173962	0.137683
a24	0.0695235	0.0682601	0.0789446	0.116791	0.17015	0.262847	0.233484
a94	0.0485249	0.0438919	0.0489685	0.0718355	0.1255	0.289262	0.372018
a76	0.0870296	0.0760307	0.0744104	0.0908122	0.131431	0.241948	0.298338
a94	0.0623835	0.0546723	0.0489408	0.0585306	0.122832	0.271002	0.381639
a41	0.0233585	0.0199505	0.0197349	0.0304405	0.0837034	0.262655	0.560157
a25	0.0126777	0.0125653	0.0127599	0.0242963	0.0796148	0.309976	0.54811
a87	0.0074346	0.00619498	0.00587434	0.0132601	0.0591827	0.281222	0.626831
</S>	0.00409977	0.00253111	0.00238103	0.00585086	0.0401698	0.20869	0.736277
