 	les	palmes	protègent	contre	le	soleil	</S>
a66	0.248523	0.200215	0.314265	0.163955	0.0414269	0.0203966	0.0112183
a87	0.296519	0.205784	0.170794	0.130248	0.0729177	0.0701041	0.0536331
a23	0.428216	0.274416	0.149685	0.0395932	0.0271358	0.0356173	0.0453362
a87	0.424789	0.254288	0.152542	0.0462335	0.0281566	0.0412441	0.0527468
a23	0.398915	0.26555	0.184814	0.0575848	0.0274309	0.0323373	0.0333679
a99	0.372035	0.225548	0.169043	0.0755852	0.0398032	0.0570647	0.0609218
a97	0.266373	0.204702	0.178409	0.0972198	0.0614716	0.0996489	0.092175
a87	0.261335	0.183386	0.153916	0.117656	0.0759134	0.110553	0.0972405
a23	0.265887	0.190244	0.235551	0.170459	0.0549327	0.0498638	0.0330618
a83	0.308356	0.206192	0.16791	0.116244	0.065435	0.0775935	0.0582689
a54	0.212927	0.17064	0.152073	0.111689	0.0858284	0.13184	0.135002
a92	0.1299	0.125079	0.151532	0.163441	0.125834	0.165141	0.139074
a85	0.125093	0.154841	0.234807	0.173425	0.100162	0.110533	0.101139
a92	0.111734	0.157621	0.252152	0.183512	0.105826	0.0935006	0.0956539
a47	0.129801	0.202617	0.322083	0.169985	0.0697467	0.0535024	0.052265
a36	0.121997	0.164513	0.250853	0.149264	0.0949331	0.0926797	0.125761
a85	0.184926	0.18065	0.188073	0.138286	0.0951801	0.0875533	0.125332
a37	0.0861978	0.108271	0.175143	0.160888	0.136353	0.131253	0.201895
a92	0.134419	0.145563	0.205623	0.138355	0.102971	0.101211	0.171857
a34	0.0744864	0.10483	0.224058	0.152314	0.133918	0.120587	0.189807
a47	0.039328	0.0505826	0.133227	0.127142	0.170124	0.186336	0.293261
a0	0.0308372	0.0248166	0.0449304	0.0718493	0.174669	0.250522	0.402376
a62	0.0127011	0.0100139	0.0167832	0.0323162	0.117898	0.245647	0.56464
a88	0.00627848	0.00570599	0.0112263	0.0227871	0.0937554	0.230267	0.629979
a9	0.00294748	0.00324419	0.00617626	0.017452	0.0806028	0.219168	0.670409
a82	0.0304031	0.029013	0.0319047	0.0685867	0.126519	0.193329	0.520245
a9	0.0553287	0.0517108	0.046541	0.0773314	0.1337	0.189783	0.445605
a99	0.18201	0.136662	0.0887395	0.0821059	0.107559	0.142775	0.260149
a87	0.228293	0.148495	0.0848463	0.0795189	0.0984297	0.145502	0.214914
a10	0.189998	0.135173	0.0979359	0.0997862	0.113684	0.142799	0.220623
a87	0.153479	0.0981505	0.0773611	0.0996566	0.114042	0.179988	0.277323
</S>	0.139708	0.105078	0.0928498	0.104104	0.112352	0.163534	0.282374
