 	le	soleil	s'	est	déjà	couché	</S>
a87	0.391774	0.191732	0.107824	0.0892547	0.0855517	0.0714887	0.0623744
a23	0.393279	0.213965	0.0885399	0.0830974	0.0830339	0.0828786	0.0552057
a83	0.358094	0.313159	0.148159	0.0783018	0.0407306	0.0304889	0.0310666
a9	0.432118	0.293658	0.1278	0.0608824	0.036371	0.0264557	0.022715
a38	0.269928	0.328745	0.219657	0.10535	0.0403455	0.0220862	0.013887
a54	0.197825	0.217428	0.201911	0.160943	0.0937568	0.067096	0.0610401
a6	0.1291	0.159824	0.159951	0.15202	0.14179	0.133268	0.124047
a96	0.120494	0.140083	0.14901	0.161776	0.153207	0.144381	0.131048
a31	0.07184	0.0885664	0.154575	0.232124	0.213742	0.145136	0.0940166
a88	0.0442094	0.0472521	0.0975092	0.20366	0.260698	0.224038	0.122633
a96	0.0171529	0.0179268	0.0408632	0.116258	0.225875	0.332612	0.249312
a62	0.0143155	0.0130934	0.0271964	0.0778973	0.18668	0.352563	0.328254
a0	0.0121056	0.0128391	0.0243825	0.0661322	0.165457	0.33274	0.386344
a75	0.00307646	0.00263859	0.00610568	0.0227941	0.0950116	0.32813	0.542244
a25	0.00531815	0.00448101	0.00794648	0.0179607	0.0640798	0.247492	0.652721
a90	0.00256457	0.00292727	0.00653499	0.0159049	0.0545294	0.217647	0.699892
a38	0.00209423	0.00177955	0.00471247	0.0161281	0.0687664	0.251051	0.655468
a7	0.00210574	0.00140838	0.00372343	0.0138072	0.0612711	0.232421	0.685264
a57	0.00258964	0.0018004	0.00383112	0.0122484	0.0545815	0.210372	0.714577
a87	0.029985	0.0212874	0.0200957	0.0297418	0.0667144	0.186416	0.645759
a23	0.299225	0.178839	0.101826	0.0841445	0.0887537	0.100016	0.147196
a87	0.0861081	0.0636285	0.059798	0.0803942	0.14195	0.256995	0.311125
</S>	0.0173572	0.0126097	0.0144379	0.0331051	0.102172	0.288081	0.532237
