 	une	marmite	en	aluminium	est	durable	</S>
a66	0.311752	0.191601	0.209289	0.197431	0.061388	0.01855	0.00998887
a87	0.417877	0.225407	0.142165	0.066033	0.0646911	0.0400106	0.0438173
a23	0.472434	0.262871	0.146451	0.0452469	0.0236914	0.0207758	0.0285296
a83	0.445092	0.286419	0.166931	0.0429494	0.0181002	0.0160189	0.0244895
a93	0.303158	0.228009	0.147992	0.0625531	0.0716962	0.0893181	0.0972743
a96	0.390739	0.371475	0.135112	0.0227433	0.0286968	0.0304354	0.0207982
a90	0.307453	0.365213	0.157737	0.0426847	0.0534543	0.0476513	0.0258068
a25	0.239494	0.305213	0.200452	0.0747807	0.0746123	0.0665777	0.0388699
a79	0.147268	0.208875	0.193938	0.101127	0.102624	0.13147	0.114698
a20	0.182931	0.209462	0.206812	0.126903	0.0821528	0.0912622	0.100477
a90	0.13003	0.165593	0.203211	0.151624	0.0999803	0.111305	0.138258
a69	0.110115	0.150397	0.237479	0.211968	0.105116	0.0849984	0.0999268
a90	0.0880749	0.113192	0.213722	0.243886	0.109181	0.10039	0.131554
a44	0.063158	0.0791269	0.20367	0.31566	0.131305	0.0953506	0.11173
a56	0.0471731	0.053503	0.154911	0.334796	0.132045	0.109675	0.167897
a47	0.046535	0.0470901	0.128427	0.354403	0.149839	0.109997	0.163708
a96	0.0297239	0.0271954	0.0613332	0.290601	0.175507	0.134192	0.281447
a18	0.0284912	0.0253097	0.0524744	0.243801	0.233414	0.164089	0.252422
a61	0.0316855	0.0270128	0.040177	0.184866	0.18147	0.194512	0.340276
a21	0.0158818	0.0125351	0.026171	0.133618	0.266595	0.238458	0.306741
a12	0.00705423	0.00541463	0.0114262	0.059946	0.157998	0.287959	0.470203
a47	0.00437925	0.00353537	0.00731046	0.0379157	0.126116	0.286444	0.534299
a88	0.00355942	0.00326139	0.00628241	0.0271154	0.0913799	0.239061	0.62934
a24	0.0013879	0.00117901	0.00199289	0.00740869	0.0647797	0.24724	0.676012
a88	0.00166865	0.00157949	0.00261696	0.00806398	0.0620951	0.252309	0.671667
a9	0.00216085	0.00202459	0.00313999	0.0143787	0.0747306	0.233941	0.669624
a87	0.0515588	0.0364667	0.0437649	0.0796537	0.14022	0.217051	0.431285
a23	0.135931	0.0785142	0.0800973	0.115867	0.215545	0.184026	0.190021
a87	0.0800049	0.0420302	0.0284457	0.0319008	0.104753	0.219968	0.492897
</S>	0.0120137	0.00653783	0.00569333	0.0152067	0.0623648	0.231474	0.66671
