 	qui	est	ce	qui	a	arraché	le	safoutier	qui	était	là	</S>
a66	0.293183	0.152369	0.0773893	0.0692167	0.0789552	0.0882109	0.0638346	0.0432149	0.0381639	0.0366107	0.0319563	0.0268955
a87	0.269441	0.169306	0.109655	0.0885859	0.0771511	0.0727018	0.0482424	0.0341248	0.0308941	0.03373	0.0343659	0.0318018
a97	0.303464	0.216821	0.131313	0.0928235	0.0623745	0.0620275	0.0402705	0.0217331	0.0212594	0.0165423	0.0152717	0.0160996
a79	0.240588	0.1877	0.128435	0.101973	0.0765927	0.0785681	0.0494898	0.0326856	0.0389637	0.0258477	0.0197898	0.0193656
a4	0.3799	0.210322	0.119898	0.0758162	0.0462775	0.0538481	0.0335555	0.0237711	0.0196928	0.0128726	0.0117387	0.0123076
a11	0.289893	0.226743	0.148027	0.101579	0.0590276	0.0494958	0.0375128	0.0296551	0.0203362	0.0137301	0.0119206	0.0120783
a54	0.153338	0.178917	0.172412	0.132851	0.088399	0.0527867	0.0504596	0.0469029	0.0354063	0.0310098	0.0285219	0.0289953
a73	0.142196	0.152644	0.12886	0.111215	0.0907231	0.0630358	0.0607695	0.0629929	0.0537598	0.046429	0.0433811	0.0439944
a7	0.116192	0.142782	0.128811	0.114007	0.0959098	0.0643171	0.058824	0.0624287	0.0551298	0.0517411	0.0533062	0.0565511
a44	0.0366694	0.052391	0.0697038	0.0912557	0.0927422	0.0790794	0.0761907	0.0843853	0.0832023	0.0932623	0.109606	0.131512
a34	0.0250083	0.0327714	0.0536645	0.0941871	0.111057	0.0829263	0.0808651	0.0833691	0.0883698	0.100491	0.114626	0.132665
a44	0.0152286	0.0228648	0.0424582	0.0737393	0.103308	0.0844849	0.0950337	0.0914276	0.099178	0.112551	0.123124	0.136602
a7	0.0160863	0.0246129	0.0428743	0.0723158	0.110686	0.0923074	0.100564	0.0941989	0.0976138	0.108416	0.114586	0.12574
a44	0.0104036	0.0143137	0.0237824	0.0442136	0.0837113	0.0971577	0.10581	0.0989867	0.101485	0.117213	0.136886	0.166037
a54	0.00726444	0.00857058	0.0146681	0.0273872	0.0515234	0.0714348	0.0948284	0.0922421	0.108872	0.125283	0.168398	0.229528
a41	0.00872925	0.0105825	0.0156924	0.0259395	0.0547548	0.0946195	0.113927	0.131435	0.140948	0.13595	0.128458	0.138965
a96	0.0128588	0.0124093	0.0157089	0.0217397	0.0390084	0.0657744	0.0965488	0.110408	0.135081	0.150279	0.167545	0.17264
a70	0.00399853	0.00371087	0.00570652	0.00882689	0.0166113	0.0279937	0.0575631	0.075091	0.121091	0.165645	0.237736	0.276027
a13	0.00202251	0.00171388	0.002578	0.00408199	0.00889449	0.0183722	0.0392987	0.0634441	0.118156	0.179365	0.25912	0.302954
a57	0.00157398	0.00117888	0.00152637	0.00228121	0.00509535	0.0127395	0.0262844	0.0473391	0.105713	0.18521	0.287918	0.323141
a38	0.00286569	0.00210686	0.00255412	0.00341865	0.00657032	0.0152101	0.0265076	0.0512233	0.119051	0.193777	0.282193	0.294523
a82	0.00592481	0.00416802	0.00465709	0.00500096	0.00789036	0.0153888	0.0241286	0.0483239	0.109064	0.173443	0.284972	0.317038
a97	0.019964	0.0134022	0.0128064	0.0119945	0.0152908	0.0242152	0.033695	0.0575302	0.11196	0.15375	0.252774	0.292618
a82	0.129187	0.0774135	0.0521561	0.0373146	0.0389001	0.0523431	0.0520042	0.0682555	0.0939736	0.105637	0.134733	0.158083
a38	0.123001	0.081289	0.0557189	0.0408209	0.0413818	0.0534279	0.0511653	0.0679421	0.0962607	0.109236	0.12955	0.150207
a82	0.107591	0.0779334	0.0585302	0.048999	0.0518718	0.0599636	0.0553425	0.0727262	0.104073	0.110268	0.117132	0.13557
a97	0.0716615	0.0589142	0.0520794	0.0481956	0.0516433	0.0697185	0.0740855	0.0991963	0.13471	0.119932	0.106867	0.112997
</S>	0.0507065	0.0501438	0.0502581	0.0477951	0.0540679	0.0794257	0.0900383	0.112831	0.135486	0.118559	0.104352	0.106336
