 	j'	ai	abattu	l'	arbre	yanza	dans	la	forêt	</S>
a66	0.286103	0.155531	0.10473	0.0775269	0.0742164	0.101205	0.0774794	0.0610343	0.036816	0.0253583
a87	0.17224	0.124041	0.0977733	0.0877265	0.0674374	0.100378	0.116277	0.104173	0.0708054	0.0591489
a82	0.259282	0.221986	0.194058	0.12903	0.0751171	0.0739622	0.0178906	0.0110229	0.00921655	0.00843465
a97	0.306643	0.21531	0.174868	0.106281	0.0758856	0.0820618	0.0158869	0.00855368	0.00673273	0.00777693
a87	0.376295	0.213939	0.148203	0.0885205	0.0595758	0.0630791	0.019905	0.0120644	0.00897129	0.0094476
a97	0.385516	0.204857	0.135855	0.0854507	0.0600877	0.0687201	0.026895	0.0141611	0.0094219	0.00903518
a3	0.41623	0.197986	0.128059	0.0784688	0.0503081	0.051114	0.0296397	0.0196425	0.0147579	0.0137939
a97	0.395573	0.204665	0.128098	0.0797903	0.0504314	0.0454012	0.0325742	0.0241402	0.0199657	0.0193612
a87	0.398179	0.198235	0.134472	0.082379	0.0458288	0.0462783	0.0339898	0.0239273	0.018847	0.017863
a97	0.464382	0.202454	0.118051	0.0663153	0.0376147	0.0353325	0.0268045	0.0188651	0.0147897	0.015392
a99	0.45254	0.195671	0.104314	0.0588992	0.0340421	0.0314997	0.0296543	0.0288734	0.0306536	0.0338522
a18	0.343925	0.1934	0.12799	0.0916605	0.056589	0.0518791	0.0399928	0.0326093	0.0313362	0.0306177
a50	0.181536	0.147412	0.13205	0.119532	0.0776843	0.0767594	0.0721916	0.0705036	0.0643915	0.0579393
a98	0.147236	0.132672	0.117535	0.120888	0.104467	0.105993	0.0754198	0.0669908	0.0633057	0.065493
a71	0.183419	0.195139	0.171808	0.151014	0.123733	0.080405	0.0313401	0.0202615	0.0202829	0.0225976
a57	0.0774692	0.097904	0.107851	0.130298	0.148861	0.151797	0.07677	0.0646641	0.0681993	0.0761855
a93	0.0639999	0.0870607	0.105684	0.132488	0.151294	0.153381	0.079861	0.0676752	0.0705625	0.0879935
a12	0.0607248	0.0800052	0.107492	0.144731	0.186545	0.186572	0.0847527	0.0504059	0.0456585	0.0531123
a62	0.0487579	0.0635194	0.0919978	0.129795	0.176893	0.196743	0.102019	0.0664405	0.0585836	0.0652511
a50	0.0260378	0.036724	0.0550692	0.0875983	0.139901	0.211294	0.148606	0.10877	0.0847781	0.101222
a62	0.0164606	0.020375	0.0321907	0.0566863	0.109346	0.236858	0.166141	0.128026	0.104742	0.129175
a12	0.0113403	0.0140074	0.0208183	0.0388318	0.0785086	0.173015	0.165066	0.163221	0.141719	0.193473
a70	0.00743637	0.00873159	0.0134834	0.027102	0.0629723	0.155731	0.176507	0.185335	0.166279	0.196423
a88	0.00497793	0.00541537	0.00769509	0.0142031	0.0302517	0.0939198	0.125565	0.203766	0.221332	0.292875
a90	0.00424087	0.00438493	0.00562024	0.00885384	0.0139162	0.0423769	0.0652368	0.171791	0.288472	0.395107
a96	0.0115309	0.0130823	0.0186316	0.0281095	0.0418736	0.0825624	0.114871	0.192128	0.245627	0.251584
a11	0.00282985	0.00276134	0.00329349	0.00496248	0.00724122	0.0180857	0.0360932	0.136377	0.332068	0.456287
a54	0.00191971	0.00168873	0.00171218	0.0024178	0.00263687	0.00517935	0.0154339	0.109967	0.336092	0.522952
a69	0.00212028	0.00187957	0.00213444	0.00275739	0.00314376	0.00497495	0.0104604	0.0789123	0.335202	0.558415
a58	0.000990998	0.000940941	0.00105658	0.00142637	0.00150022	0.00253435	0.00622766	0.059194	0.318996	0.607133
a4	0.00218244	0.00176622	0.00156734	0.00214115	0.00145579	0.0022179	0.00749089	0.0520817	0.276084	0.653013
a58	0.00262332	0.00208608	0.00180257	0.00242425	0.00162135	0.00215147	0.00707765	0.0469624	0.264008	0.669243
a26	0.0105031	0.00700228	0.00527684	0.00562913	0.00357538	0.00433552	0.00957643	0.0377156	0.21971	0.696676
a82	0.100044	0.0575678	0.0353845	0.0284411	0.0200317	0.0173559	0.0219943	0.0458639	0.181114	0.492204
a97	0.204064	0.146323	0.0918611	0.0616755	0.0399411	0.0307501	0.0274225	0.0456782	0.141452	0.210833
a3	0.254444	0.201779	0.129579	0.0860619	0.0533535	0.0281664	0.020505	0.0377831	0.0953412	0.0929872
a97	0.204722	0.17543	0.129855	0.10073	0.0759349	0.0598599	0.0496717	0.0580057	0.0803581	0.0654326
</S>	0.13419	0.128829	0.106523	0.0996417	0.088452	0.0809552	0.0742884	0.0838043	0.110161	0.093155
