 	les	pécheurs	iront	tous	en	enfer	</S>
a15	0.610285	0.256285	0.0721209	0.0274732	0.0152679	0.0116836	0.00688467
a66	0.40795	0.114347	0.101724	0.116871	0.115073	0.0923001	0.0517355
a87	0.379835	0.145244	0.125481	0.0747521	0.0593951	0.0940437	0.121249
a40	0.361587	0.142325	0.136453	0.102115	0.0813243	0.0912422	0.0849533
a47	0.383417	0.274605	0.158706	0.0716525	0.0415563	0.0390603	0.0310034
a37	0.423312	0.31998	0.106694	0.0514375	0.0408339	0.0327935	0.0249502
a98	0.326071	0.24927	0.134387	0.0732893	0.0832829	0.0865131	0.0471871
a47	0.31578	0.329741	0.140865	0.0664131	0.0505692	0.0457507	0.050881
a0	0.384065	0.273426	0.133132	0.0467515	0.0494455	0.0582259	0.0549541
a56	0.309913	0.178302	0.104929	0.0472445	0.0671955	0.125512	0.166904
a98	0.466115	0.224703	0.0715715	0.0397329	0.0450342	0.0711994	0.0816447
a47	0.129074	0.126289	0.0702621	0.0862349	0.114179	0.157585	0.316376
a15	0.0667993	0.0949687	0.0603859	0.070346	0.110754	0.20243	0.394316
a92	0.0388995	0.0877467	0.067901	0.0704441	0.108924	0.21913	0.406954
a90	0.0173046	0.059201	0.0717219	0.110366	0.146963	0.2326	0.361843
a98	0.00563294	0.0162712	0.0285194	0.059591	0.116196	0.285555	0.488235
a15	0.000602423	0.00465306	0.0171181	0.0433107	0.0949278	0.250948	0.58844
a56	0.000154992	0.000867074	0.00384472	0.0258722	0.0770625	0.297494	0.594705
a12	0.000450265	0.0015295	0.00431249	0.0309533	0.0923629	0.29646	0.573932
a96	0.000383506	0.00129497	0.00323686	0.0232072	0.0747221	0.311006	0.586149
a18	0.000363305	0.00119314	0.00248378	0.0148526	0.0581169	0.332407	0.590583
a62	0.00320441	0.0106059	0.0218983	0.0413002	0.0965394	0.257377	0.569075
a21	0.00079349	0.00327131	0.00664832	0.0295573	0.0845938	0.323758	0.551378
a5	0.000607028	0.00209874	0.00445133	0.0185006	0.0619334	0.316321	0.596088
a6	0.000544218	0.00184723	0.00395913	0.0187803	0.0699459	0.321535	0.583389
a36	0.000209413	0.000787202	0.00150031	0.0109892	0.0524752	0.279711	0.654328
a2	0.00143415	0.00470561	0.00985226	0.0310293	0.0890101	0.301478	0.56249
a57	0.0980319	0.0869568	0.100096	0.0768016	0.126585	0.221676	0.289853
a87	0.266376	0.166789	0.124886	0.110098	0.11288	0.118108	0.100863
a23	0.24611	0.201519	0.138538	0.112375	0.0985458	0.101792	0.101122
a99	0.0194606	0.00933044	0.00941499	0.0372315	0.104935	0.295203	0.524426
a30	0.00417894	0.00335453	0.00852135	0.037942	0.0980524	0.301097	0.546853
</S>	0.00348911	0.00407355	0.00684689	0.0275215	0.0851083	0.287363	0.585597
