 	certaines	affaires	sont	dans	la	maison	mais	prends	seulement	ceux-là	</S>
a66	0.0948423	0.0760025	0.083515	0.0799592	0.0991207	0.110521	0.170437	0.209231	0.0595898	0.0110927	0.00568868
a87	0.14864	0.168929	0.133771	0.098711	0.0849728	0.0948414	0.102172	0.118686	0.034846	0.00805548	0.00637473
a23	0.205119	0.226365	0.125466	0.0900883	0.076734	0.0881495	0.0866314	0.0731764	0.0179678	0.00497713	0.00532509
a87	0.220683	0.308196	0.131081	0.0875186	0.0744695	0.0779632	0.0542766	0.0299334	0.00711915	0.0033599	0.00540037
a23	0.196595	0.261938	0.142394	0.104802	0.0984025	0.0878635	0.0563943	0.0365256	0.00750164	0.00328608	0.00429807
a18	0.234793	0.306858	0.123808	0.0840001	0.07175	0.0661209	0.0415659	0.0321126	0.0133626	0.00894803	0.0166816
a62	0.226107	0.208478	0.122872	0.0927835	0.0754409	0.0548797	0.0399123	0.0577253	0.0613944	0.0249248	0.0354825
a12	0.247835	0.212564	0.138047	0.107933	0.0738463	0.050957	0.0289252	0.0308493	0.0519445	0.0257356	0.0313625
a5	0.184523	0.190011	0.131934	0.122229	0.0968853	0.0677794	0.0383158	0.0342905	0.0654688	0.033268	0.0352955
a12	0.136315	0.156754	0.118295	0.114821	0.0952836	0.0689998	0.0430639	0.038693	0.0965028	0.0675979	0.0636735
a24	0.0980021	0.117287	0.116097	0.124091	0.121955	0.0907237	0.0527968	0.0401113	0.0787928	0.0802783	0.0798657
a0	0.0706298	0.0891188	0.112169	0.126899	0.145736	0.113822	0.0644054	0.0445391	0.065293	0.08164	0.0857467
a75	0.0557046	0.0726846	0.103806	0.11735	0.143162	0.116399	0.070608	0.046363	0.0599946	0.0952058	0.118723
a85	0.0453518	0.0556017	0.0896705	0.114275	0.147573	0.119798	0.0900548	0.0765534	0.0792881	0.089472	0.0923623
a5	0.0682135	0.0779768	0.112868	0.135442	0.151787	0.111481	0.0720278	0.0534282	0.0528162	0.0732911	0.090668
a21	0.0521209	0.0622972	0.10006	0.124379	0.17323	0.154318	0.122677	0.0894222	0.0465223	0.0345343	0.0404402
a47	0.0397061	0.0497147	0.0887024	0.11092	0.172818	0.164717	0.129392	0.0968389	0.0557807	0.0411977	0.0502121
a88	0.033471	0.0436222	0.075958	0.0948294	0.156241	0.165964	0.134154	0.103412	0.0678864	0.0570893	0.0673732
a71	0.0197067	0.0246826	0.0425044	0.0572336	0.0990923	0.0995872	0.095564	0.0844128	0.0769999	0.150323	0.249894
a9	0.0274078	0.0316742	0.0473788	0.060542	0.0964965	0.0903903	0.10558	0.108118	0.0883232	0.14429	0.199799
a87	0.0206763	0.0221551	0.0271224	0.0328104	0.0479698	0.058234	0.113672	0.162821	0.143897	0.190962	0.179679
a23	0.0228393	0.0217808	0.0218027	0.0231126	0.0303766	0.0454087	0.0845031	0.109621	0.114296	0.238119	0.28814
a99	0.0235117	0.0257761	0.0233293	0.0217066	0.0266725	0.0321153	0.0352448	0.0485491	0.0729845	0.275817	0.414293
a75	0.00142569	0.00164082	0.00220583	0.0024263	0.00353973	0.00529651	0.00682689	0.0147371	0.128629	0.396969	0.436303
a30	0.0013794	0.00114026	0.00145584	0.00191983	0.00305577	0.00409105	0.00804939	0.0209326	0.165379	0.361065	0.431532
a47	0.000296545	0.000314215	0.000574168	0.000869418	0.00172372	0.00229395	0.0041871	0.00985095	0.0798309	0.293084	0.606975
a36	0.000872275	0.000916451	0.00146128	0.0020662	0.00359993	0.00416659	0.00717945	0.0139696	0.0845741	0.323898	0.557296
a90	0.00217052	0.00239064	0.00311496	0.00367087	0.00569917	0.00753302	0.0126197	0.0220871	0.0884503	0.307535	0.544729
a15	0.00366252	0.00371023	0.004382	0.00503215	0.00749008	0.00953633	0.0164641	0.0261433	0.0679905	0.308029	0.54756
a47	0.00233231	0.00258928	0.00355374	0.00446555	0.00697455	0.00852113	0.0137386	0.0212381	0.0606026	0.290936	0.585048
a41	0.00125942	0.00132383	0.00173379	0.00216523	0.00341727	0.00369737	0.00509979	0.00681111	0.0238599	0.270654	0.679978
a21	0.00137625	0.001416	0.00166872	0.00190883	0.00290849	0.00347373	0.00511119	0.00716858	0.017742	0.231059	0.726168
a5	0.0044173	0.00385047	0.00459788	0.00549345	0.00727351	0.00808086	0.0120405	0.0164602	0.0318057	0.24824	0.65774
a43	0.00343498	0.00274752	0.00354404	0.00471367	0.00642731	0.00625144	0.00964008	0.0137159	0.0255843	0.218776	0.705164
a61	0.00231948	0.00206365	0.002805	0.00373201	0.00538624	0.0055664	0.00841296	0.014383	0.0398981	0.22988	0.685553
a88	0.0019627	0.00185595	0.00239037	0.00297398	0.00414656	0.0042784	0.00552	0.00789709	0.0241849	0.18848	0.75631
a9	0.00188	0.0018956	0.00227749	0.00274421	0.00426902	0.00530914	0.00935672	0.0156054	0.0567365	0.21489	0.685036
a87	0.03928	0.0337012	0.0290255	0.0292116	0.032284	0.0327635	0.0507781	0.0797443	0.122222	0.215859	0.335131
a23	0.113604	0.0881891	0.0598473	0.0495417	0.0476713	0.0590936	0.102117	0.149646	0.0688286	0.105304	0.156157
a87	0.0925212	0.0794293	0.0557442	0.0408198	0.0363684	0.0551638	0.0729574	0.0915687	0.0558819	0.0999421	0.319603
</S>	0.0193586	0.0177318	0.0128214	0.010443	0.0110653	0.0167346	0.0270548	0.0355956	0.0297551	0.163643	0.655797
