 	la	poule	picore	les	grains	de	maïs	qui	sont	par	terre	</S>
a66	0.504221	0.144529	0.0639097	0.0271761	0.030293	0.0293852	0.0398472	0.0401642	0.0375688	0.0322498	0.0261837	0.0244723
a87	0.449594	0.156581	0.0638469	0.0381469	0.0304304	0.0272245	0.0420941	0.0460638	0.0479388	0.0397562	0.0300466	0.0282766
a23	0.417714	0.175054	0.0862345	0.0415179	0.0289992	0.0282561	0.0352748	0.0382895	0.0404204	0.0403469	0.0368249	0.031068
a53	0.103626	0.0655381	0.0566562	0.0472306	0.0786669	0.104273	0.115244	0.104989	0.0901288	0.0898345	0.0761365	0.0676766
a56	0.304676	0.10738	0.0936358	0.0697208	0.0728979	0.0728263	0.0701834	0.0605148	0.0461809	0.0412797	0.0341124	0.0265929
a90	0.376689	0.288306	0.116565	0.0449341	0.0342404	0.0238167	0.0148617	0.0169732	0.0207162	0.0199488	0.0223119	0.020636
a44	0.312851	0.322439	0.173518	0.0658422	0.033593	0.0239952	0.0108562	0.0104488	0.0106253	0.0117455	0.0131723	0.0109135
a90	0.159973	0.25616	0.186949	0.168886	0.079427	0.0493784	0.0239559	0.0176002	0.0134705	0.0151955	0.015581	0.013423
a98	0.139083	0.261583	0.195366	0.157502	0.085573	0.0527614	0.0315788	0.0208903	0.0154332	0.0139556	0.0135493	0.0127253
a47	0.0907846	0.219281	0.245885	0.154535	0.0650938	0.0452567	0.0329611	0.0323356	0.0317244	0.0250796	0.0283868	0.0286766
a36	0.0314093	0.090007	0.161121	0.124224	0.102553	0.0815207	0.069595	0.0620282	0.0651289	0.0552721	0.0736497	0.0834909
a25	0.00794744	0.0154285	0.0504691	0.0921499	0.130426	0.107257	0.0927681	0.0823454	0.0924227	0.0779049	0.114835	0.136045
a15	0.00625006	0.010194	0.0346859	0.0819318	0.125239	0.123661	0.114222	0.10405	0.105212	0.0799536	0.106748	0.107852
a98	0.00408096	0.00848174	0.0300387	0.0548373	0.111237	0.12207	0.10909	0.105983	0.122634	0.0931539	0.121623	0.116771
a47	0.00701594	0.0108588	0.0311606	0.0520566	0.0889899	0.0988937	0.0907265	0.0998387	0.134619	0.104032	0.146408	0.1354
a0	0.001367	0.00254164	0.0119973	0.0258524	0.0508204	0.0719939	0.0680386	0.0804133	0.132314	0.129999	0.222625	0.202038
a75	0.000481926	0.000794259	0.00395529	0.0129893	0.0490162	0.0711201	0.0554451	0.0671841	0.112135	0.127729	0.227271	0.271878
a5	0.00117738	0.00230905	0.00650689	0.00946891	0.0263931	0.0386473	0.0330574	0.0509964	0.113995	0.149408	0.288604	0.279436
a36	0.00192994	0.00259417	0.00467861	0.00727541	0.0165204	0.0353015	0.0445013	0.0671777	0.1231	0.163485	0.268937	0.264499
a5	0.00196518	0.00289727	0.0111083	0.0217987	0.0385464	0.0682987	0.0869282	0.10488	0.122058	0.12911	0.17183	0.24058
a23	0.000949103	0.00138625	0.00633376	0.0135341	0.0239749	0.0427645	0.0578948	0.08385	0.124808	0.142807	0.220135	0.281562
a98	0.000500831	0.000788296	0.0046707	0.0145677	0.0340161	0.0533297	0.0583432	0.0775927	0.107764	0.13973	0.192371	0.316325
a47	0.000337591	0.000795344	0.00340325	0.00851568	0.0154475	0.0308126	0.0367929	0.0600797	0.104015	0.168296	0.249687	0.321817
a92	0.000229381	0.000445176	0.00183941	0.00521454	0.013706	0.0285809	0.0348154	0.052441	0.104749	0.159773	0.251222	0.346984
a79	0.000201008	0.000383957	0.00166803	0.00530742	0.0130021	0.0286055	0.0360858	0.0543087	0.0924402	0.142535	0.230076	0.395387
a75	0.000175344	0.000447918	0.00254124	0.00735317	0.0150671	0.0286014	0.0354945	0.0544921	0.0930268	0.155369	0.240291	0.367141
a5	0.000368396	0.000579744	0.0026233	0.00732059	0.0155733	0.0307192	0.0368939	0.0543392	0.0874175	0.133719	0.230413	0.400033
a18	0.000783777	0.00110783	0.00630766	0.0167735	0.0250977	0.0376588	0.0430552	0.0624405	0.0948096	0.126249	0.221684	0.364032
a25	0.00110489	0.00169779	0.00540242	0.0139239	0.024747	0.0332755	0.0281551	0.0423321	0.0845512	0.155546	0.236447	0.372817
a87	0.0196547	0.0166361	0.0167364	0.0265194	0.0405812	0.0529754	0.0465064	0.0548327	0.0911102	0.134727	0.224362	0.275359
a23	0.186182	0.0807939	0.0608188	0.0380273	0.0511119	0.0596912	0.0609643	0.0682455	0.0873325	0.0952552	0.105266	0.106312
a99	0.105173	0.0522481	0.0513125	0.0650174	0.11357	0.102528	0.06777	0.0511774	0.0584247	0.0732677	0.0978496	0.161661
a97	0.0140454	0.00695529	0.0124896	0.0268912	0.0412906	0.0485881	0.0375345	0.0382578	0.060247	0.101432	0.214955	0.397313
a87	0.00572073	0.0055865	0.0141425	0.0359305	0.0471742	0.0566236	0.0449705	0.0499714	0.0875127	0.126578	0.214745	0.311044
</S>	0.0220022	0.0166805	0.0266367	0.0450146	0.056246	0.0579054	0.0464408	0.0455165	0.0780559	0.118827	0.197145	0.289529
