 	il	presse	l'	abcès	</S>
a23	0.277431	0.2336	0.19378	0.142464	0.152725
a79	0.2229	0.209259	0.171721	0.180481	0.215639
a20	0.285974	0.280511	0.192151	0.126456	0.114908
a30	0.484033	0.254879	0.130815	0.0746121	0.0556608
a35	0.537979	0.248185	0.115231	0.0610766	0.0375289
a30	0.45862	0.247068	0.140091	0.0941036	0.0601186
a35	0.4083	0.253732	0.157189	0.107139	0.0736401
a38	0.315913	0.261214	0.181675	0.143275	0.0979232
a26	0.291619	0.243803	0.194282	0.157252	0.113044
a83	0.286273	0.241061	0.194712	0.15724	0.120714
a75	0.228309	0.222347	0.200667	0.185145	0.163532
a35	0.175054	0.188266	0.187702	0.218187	0.230791
a2	0.123412	0.147485	0.17873	0.235377	0.314995
a57	0.0559872	0.0743199	0.116018	0.222274	0.5314
a87	0.0365106	0.060053	0.109136	0.22946	0.56484
a79	0.0853834	0.102994	0.143058	0.228067	0.440499
a4	0.0576883	0.0716358	0.112245	0.216309	0.542122
a13	0.0428991	0.0611468	0.109869	0.233993	0.552092
a26	0.029685	0.0457011	0.0868005	0.226751	0.611062
a34	0.0278758	0.0376106	0.074245	0.203666	0.656603
a44	0.0192317	0.0283399	0.0661897	0.191624	0.694614
a90	0.0182303	0.0276886	0.0642533	0.198771	0.691057
a76	0.0111258	0.0183449	0.0508802	0.177175	0.742474
a73	0.0231825	0.0403842	0.0931605	0.224015	0.619258
a57	0.0375679	0.0585007	0.117043	0.250694	0.536195
a87	0.0510319	0.0730574	0.120577	0.251618	0.503716
a23	0.180033	0.179295	0.179337	0.203959	0.257376
a97	0.214307	0.190196	0.156908	0.195669	0.242921
a87	0.13984	0.142391	0.153289	0.226674	0.337806
</S>	0.12469	0.129082	0.147024	0.232794	0.36641
