 	cette	femme	aime	porter	de	nouveaux	habits	</S>
a66	0.225123	0.204199	0.215569	0.170553	0.0969765	0.064252	0.0140147	0.00931241
a87	0.313698	0.198214	0.171696	0.124026	0.0900618	0.065701	0.0209785	0.0156244
a23	0.368497	0.218022	0.190152	0.110098	0.0520348	0.0361771	0.0132306	0.0117886
a30	0.33409	0.212935	0.228788	0.118837	0.0480005	0.0300726	0.0117563	0.0155217
a70	0.288966	0.266111	0.240244	0.118638	0.04377	0.0212871	0.00993368	0.0110498
a96	0.314629	0.329454	0.221462	0.0853432	0.0218559	0.00946461	0.00835809	0.00943366
a70	0.319073	0.346326	0.220199	0.0794274	0.0194512	0.00619608	0.00487381	0.00445396
a93	0.268858	0.314723	0.235137	0.106399	0.0356453	0.0158798	0.0125149	0.0108413
a4	0.260343	0.27815	0.228826	0.120497	0.0501671	0.0255913	0.0194417	0.0169836
a93	0.219469	0.246991	0.231367	0.145905	0.0727319	0.0386003	0.0243977	0.0205391
a4	0.225104	0.234766	0.219137	0.146697	0.0780457	0.0487833	0.0249529	0.0225136
a58	0.176387	0.210321	0.224394	0.168309	0.0975098	0.0624049	0.0308401	0.0298343
a82	0.14325	0.169909	0.179922	0.162496	0.137764	0.102457	0.0486857	0.0555151
a3	0.0990885	0.142697	0.175382	0.178488	0.184993	0.123006	0.0493451	0.0470012
a87	0.0986177	0.120543	0.170859	0.197101	0.200058	0.124132	0.0438249	0.0448644
a23	0.183098	0.155473	0.194526	0.189994	0.143548	0.0756925	0.0276514	0.0300182
a40	0.10737	0.12095	0.202998	0.199002	0.139914	0.0913396	0.0565121	0.0819149
a36	0.0644913	0.101169	0.163246	0.175674	0.166387	0.100355	0.115639	0.113039
a27	0.0564924	0.0842065	0.113617	0.127701	0.143534	0.145103	0.161797	0.16755
a11	0.0506198	0.0796853	0.127103	0.152694	0.177725	0.160727	0.127452	0.123994
a62	0.0500693	0.0626783	0.109088	0.1343	0.154558	0.164789	0.173489	0.151028
a31	0.0396401	0.0457211	0.0887392	0.131203	0.152236	0.170877	0.213431	0.158152
a75	0.0242826	0.029215	0.0665977	0.115289	0.160295	0.178282	0.248627	0.177412
a6	0.0112982	0.0166778	0.0371378	0.0731664	0.118695	0.145527	0.246051	0.351447
a36	0.0125016	0.0215531	0.0539114	0.090537	0.120073	0.162185	0.261306	0.277933
a90	0.00878935	0.0138765	0.0343422	0.0696762	0.125746	0.149176	0.301464	0.29693
a56	0.0101925	0.0123952	0.0276023	0.0530349	0.0983362	0.154018	0.285394	0.359027
a90	0.00693495	0.00970479	0.0242468	0.0536929	0.121082	0.184818	0.300132	0.299389
a56	0.00513608	0.00652477	0.0155586	0.0349096	0.0970634	0.171436	0.296648	0.372723
a75	0.00330457	0.00413059	0.0100856	0.0234618	0.0789706	0.150837	0.320768	0.408442
a85	0.00128123	0.00184096	0.00586019	0.0178113	0.0707536	0.158318	0.302528	0.441607
a5	0.000960207	0.00142045	0.0047005	0.0133847	0.0435159	0.106915	0.311322	0.517781
a12	0.00130039	0.00146941	0.00374141	0.00935602	0.0394007	0.110156	0.301275	0.533301
a61	0.00111404	0.00118452	0.00262671	0.00661385	0.0288687	0.091574	0.292419	0.575599
a88	0.00180802	0.00209208	0.00430178	0.00810212	0.0330242	0.091516	0.272775	0.586381
a75	0.00114004	0.0015166	0.00344357	0.00530246	0.0204491	0.0441624	0.237658	0.686328
a6	0.000432774	0.00046853	0.000905486	0.00190881	0.0106023	0.0509934	0.217794	0.716895
a37	0.000285035	0.000317588	0.000737171	0.00158203	0.00965514	0.0409968	0.182339	0.764087
a6	0.000763262	0.000752262	0.00155625	0.00242117	0.00946285	0.0264207	0.175829	0.782794
a36	0.000766401	0.000639381	0.00118673	0.00161052	0.00536541	0.0159423	0.17866	0.795829
a54	0.00996331	0.00750667	0.00862593	0.00785021	0.0132227	0.0231869	0.245164	0.68448
a92	0.00110078	0.000996582	0.00184227	0.00238271	0.00635256	0.0153671	0.209379	0.762579
a6	0.000470481	0.000396778	0.000715825	0.0009806	0.00365031	0.014858	0.179267	0.799661
a36	0.000489371	0.000433307	0.000814908	0.00121817	0.00472557	0.0191005	0.183577	0.789641
a26	0.00223632	0.00192239	0.00242081	0.00287883	0.00506711	0.00930934	0.212607	0.763559
a38	0.0257661	0.0206902	0.0208732	0.0187762	0.0234143	0.0299658	0.306042	0.554473
a9	0.0306211	0.0237368	0.0253056	0.0221339	0.0296041	0.0403979	0.295238	0.532963
a82	0.122918	0.0622986	0.0495463	0.036004	0.0475355	0.0875412	0.263727	0.330429
a10	0.201001	0.0779173	0.0574583	0.0399286	0.0532987	0.109146	0.193322	0.267928
a87	0.198156	0.081606	0.0750951	0.0783416	0.138399	0.192894	0.11142	0.124089
a23	0.139062	0.0652053	0.0792987	0.105305	0.167142	0.19608	0.115873	0.132034
a87	0.0359296	0.0163025	0.0231215	0.0250644	0.0579576	0.153498	0.279455	0.408672
a23	0.0347238	0.0135739	0.0169078	0.0183005	0.0284812	0.0516696	0.255834	0.580509
a87	0.0323913	0.0169886	0.0292885	0.03033	0.058533	0.137899	0.288592	0.405978
</S>	0.0322581	0.0167924	0.0266795	0.0263863	0.0343756	0.0646564	0.284241	0.51461
