 	la	femme	qui	a	transporté	le	pannier	de	manioc	a	mis	la	gouttière	</S>
a85	0.14694	0.150515	0.110859	0.0785852	0.0527938	0.0678853	0.0889701	0.0712213	0.0696398	0.0599901	0.0367087	0.0355888	0.0195366	0.0107655
a66	0.170191	0.138988	0.121063	0.0984033	0.0919123	0.0583067	0.0369005	0.0245358	0.0230529	0.0281867	0.0375964	0.0699765	0.0730634	0.0278236
a87	0.210906	0.152278	0.150787	0.124388	0.0834819	0.0528324	0.0283713	0.0175476	0.0141302	0.0119197	0.0114241	0.0197798	0.0408055	0.0813494
a23	0.236391	0.17054	0.182537	0.118862	0.0852278	0.0435588	0.0213537	0.0122604	0.0124152	0.0124894	0.014056	0.0221791	0.0305431	0.0375857
a87	0.182564	0.128701	0.169369	0.138383	0.116879	0.0594542	0.0260437	0.0152826	0.0158185	0.0170386	0.0204801	0.0338747	0.040393	0.0357193
a23	0.162468	0.124857	0.156031	0.122121	0.0928858	0.0547183	0.0269449	0.0160955	0.0171339	0.0206982	0.030189	0.0497899	0.0743986	0.05167
a30	0.144501	0.125429	0.152298	0.114265	0.0910842	0.0544596	0.0236111	0.0136254	0.0165845	0.0232217	0.0349002	0.0620461	0.0864613	0.0575125
a70	0.131023	0.154815	0.136981	0.0834136	0.0600667	0.0400681	0.0213781	0.0124034	0.0184151	0.0289465	0.0437717	0.0867404	0.114721	0.067256
a61	0.14478	0.12631	0.147458	0.142459	0.154771	0.11809	0.0565833	0.018556	0.014483	0.0108151	0.00928868	0.0136924	0.0146381	0.0280753
a21	0.0882335	0.0821147	0.121874	0.155085	0.223941	0.163604	0.0607184	0.0210565	0.0166564	0.0126257	0.010552	0.0129653	0.0125184	0.0180547
a47	0.0520896	0.0494267	0.0800677	0.136506	0.274134	0.215116	0.0782587	0.0316162	0.0219245	0.0146695	0.0108206	0.0123904	0.00965257	0.0133284
a61	0.0507455	0.0553141	0.0759714	0.115424	0.279077	0.203311	0.0736708	0.0363427	0.0244779	0.0161496	0.0132333	0.0155976	0.019224	0.021461
a21	0.055283	0.0518339	0.0699787	0.119943	0.219349	0.211965	0.111301	0.0577528	0.0380874	0.0207059	0.0123312	0.0113481	0.00777693	0.0123452
a12	0.0443796	0.0439574	0.0595307	0.106703	0.219558	0.20336	0.118716	0.0720045	0.0529946	0.031663	0.0163493	0.0122376	0.00749183	0.0110552
a61	0.0364902	0.0396267	0.0526703	0.100681	0.175048	0.18143	0.137217	0.0905388	0.0741873	0.0423073	0.024311	0.0171764	0.011832	0.0164833
a75	0.0246973	0.0309485	0.0393515	0.0808211	0.148863	0.167595	0.146948	0.113194	0.094672	0.0550913	0.0312389	0.0213086	0.0192956	0.0259758
a98	0.0189133	0.0233675	0.0278848	0.0514455	0.0961238	0.124184	0.14332	0.146233	0.115395	0.0816102	0.0596048	0.0386151	0.0290068	0.0442967
a92	0.0194256	0.0272247	0.0322186	0.050249	0.064724	0.0969504	0.122753	0.168221	0.120671	0.083515	0.0656862	0.0477052	0.0411793	0.0594773
