 	maman	goûte	la	nourriture	pour	voir	si	elle	est	suffisamment	salée	</S>
a66	0.240465	0.192453	0.12604	0.098576	0.0634858	0.0667506	0.0903262	0.0573821	0.021476	0.014783	0.0150869	0.0131753
a87	0.553684	0.177142	0.0928128	0.0582305	0.0223787	0.0123479	0.0140312	0.0122928	0.0161765	0.0203705	0.00799553	0.0125373
a23	0.407459	0.164001	0.109845	0.0783597	0.0673625	0.0530115	0.0405916	0.0269911	0.0188809	0.0143554	0.00761533	0.0115276
a83	0.302771	0.229722	0.123842	0.0626632	0.0483137	0.0417091	0.0250486	0.0108775	0.0148021	0.0343189	0.0336296	0.0723023
a54	0.19023	0.198039	0.11215	0.0814857	0.0699444	0.069754	0.0627522	0.0358441	0.0478564	0.0511849	0.0288473	0.0519111
a47	0.123607	0.0921609	0.0760079	0.0768397	0.0876225	0.127137	0.172646	0.0759163	0.0611305	0.0526475	0.0248116	0.029473
a37	0.0565399	0.080532	0.059184	0.0618185	0.0748959	0.105314	0.193808	0.0964761	0.104508	0.103499	0.0327814	0.0306437
a47	0.0724892	0.139991	0.0870437	0.0731062	0.085805	0.117316	0.192538	0.0754628	0.0612916	0.0540752	0.0213513	0.0195304
a37	0.0672865	0.103738	0.0669135	0.0710045	0.0776204	0.103104	0.184761	0.0915101	0.0825362	0.0780022	0.043013	0.0305107
a47	0.0571926	0.0778595	0.0697319	0.102653	0.100748	0.124471	0.204549	0.0947895	0.0570124	0.0467527	0.0362645	0.027976
a37	0.0537281	0.0388497	0.0389555	0.0620151	0.0939132	0.16128	0.213378	0.0862198	0.073772	0.0721763	0.0555163	0.050197
a75	0.0302435	0.0285081	0.0281728	0.0471105	0.0693075	0.138178	0.268822	0.134939	0.0661904	0.0675238	0.0669135	0.0540905
a92	0.0141148	0.0129626	0.0148602	0.0257562	0.0392813	0.0885791	0.173329	0.121067	0.0725468	0.117454	0.172493	0.147556
a44	0.00877676	0.00635138	0.00732193	0.0116445	0.018618	0.0353944	0.0716542	0.137822	0.0853565	0.14343	0.244794	0.228835
a34	0.0138568	0.00848002	0.00896377	0.0114906	0.0145494	0.0207312	0.0280138	0.063528	0.0546091	0.138927	0.284235	0.352615
a47	0.0061146	0.00470279	0.00461754	0.00541133	0.00672134	0.00868532	0.011651	0.0309521	0.0375645	0.115402	0.355161	0.413016
a88	0.0043143	0.0027474	0.00259149	0.00307792	0.00361903	0.00449609	0.00537249	0.0145515	0.0204394	0.0814727	0.398186	0.459131
a90	0.00256931	0.00148837	0.00148434	0.00183415	0.00209976	0.00216275	0.00267766	0.00780403	0.0161983	0.0873228	0.396701	0.477658
a92	0.000754261	0.000416262	0.000469991	0.000726392	0.000989498	0.00118835	0.00146462	0.0045656	0.0129018	0.0767771	0.399561	0.500185
a25	0.000291927	0.000100913	0.000111078	0.000157999	0.000234856	0.000335101	0.000590358	0.00342223	0.0172141	0.0951525	0.404208	0.478181
a69	0.000231854	7.73185e-05	7.31056e-05	6.70955e-05	7.4585e-05	0.000103723	0.000293857	0.00293501	0.0172676	0.121992	0.423537	0.433347
a53	0.000439687	0.000161429	0.000156193	0.000174004	0.000216902	0.000246453	0.000571087	0.00522405	0.0228834	0.102338	0.349833	0.517755
a54	0.00120457	0.000378642	0.000296324	0.00034473	0.000554882	0.00088784	0.00244211	0.0149875	0.0383748	0.128834	0.318337	0.493358
a7	0.00101457	0.000230671	0.000144485	0.000141821	0.000189626	0.000308556	0.00204385	0.0276259	0.0925869	0.218685	0.288275	0.368754
a84	0.0081109	0.00271608	0.00168215	0.0014292	0.00131078	0.00115616	0.00410753	0.0324602	0.093809	0.278072	0.206345	0.368801
a57	0.211442	0.0508488	0.0313712	0.0213067	0.0188343	0.0159518	0.0330796	0.0587103	0.0907137	0.158363	0.130184	0.179194
a87	0.347359	0.101635	0.0550094	0.050145	0.0483762	0.045824	0.0568274	0.0510496	0.0565432	0.0768368	0.0513685	0.0590263
a23	0.473386	0.120229	0.0667968	0.0525966	0.0417404	0.0357073	0.0530239	0.0509376	0.0339533	0.0307904	0.0229031	0.0179358
a87	0.0568647	0.0255192	0.0146889	0.0120164	0.00862537	0.0070905	0.0208807	0.0621139	0.141715	0.224623	0.264403	0.161459
</S>	0.0186338	0.0052308	0.0031652	0.0025669	0.00168718	0.00142582	0.00400031	0.021831	0.116404	0.237973	0.341462	0.24562
