 	quand	le	fruit	ibasa	se	décortique	il	devient	tout	rouge	</S>
a66	0.359897	0.175185	0.11393	0.100469	0.0804408	0.0488997	0.0343271	0.0273574	0.0205787	0.0187041	0.0202097
a87	0.161851	0.0876714	0.068653	0.0938606	0.131141	0.117733	0.0922037	0.0705606	0.0538752	0.0524006	0.0700496
a97	0.230237	0.100539	0.0671501	0.0846514	0.116585	0.0868039	0.082061	0.0717252	0.0499815	0.0493963	0.0608703
a87	0.199341	0.10273	0.0865218	0.116995	0.148174	0.086944	0.075857	0.0636652	0.0408243	0.036661	0.0422864
a97	0.187676	0.108744	0.0977031	0.130908	0.146376	0.0791441	0.072296	0.0621078	0.0401361	0.0343207	0.0405897
a87	0.249434	0.143305	0.112468	0.11138	0.119715	0.0442034	0.0537163	0.05601	0.0396664	0.0339007	0.0362007
a97	0.231829	0.131585	0.107097	0.108117	0.12585	0.0516564	0.0611202	0.0626004	0.042737	0.0371036	0.0403053
a30	0.242344	0.141394	0.108691	0.0997982	0.110893	0.0407745	0.0558286	0.0623707	0.0476996	0.044045	0.0461613
a53	0.275519	0.159479	0.116752	0.0760064	0.0778997	0.0426097	0.0456437	0.0544625	0.0485264	0.0486538	0.0544485
a15	0.254103	0.181058	0.104846	0.0681914	0.0543802	0.0376746	0.0328709	0.039606	0.0534564	0.0751129	0.0987005
a47	0.185126	0.177665	0.127317	0.108339	0.076813	0.0640547	0.0352564	0.0346973	0.0439102	0.0631576	0.0836645
a6	0.150707	0.171685	0.143665	0.120411	0.0907338	0.0772423	0.0350027	0.0324897	0.0384014	0.0574583	0.0822043
a37	0.229696	0.235594	0.137049	0.10677	0.0781883	0.0582385	0.0267426	0.0209934	0.0234634	0.0350595	0.0482056
a98	0.167047	0.201795	0.165916	0.147479	0.105525	0.0897771	0.0292207	0.0207451	0.0191888	0.0235578	0.0297477
a85	0.130476	0.18948	0.164495	0.143523	0.112653	0.0799223	0.0382439	0.0262163	0.0255604	0.0370151	0.0524157
a5	0.124711	0.156841	0.136678	0.143741	0.110897	0.0849063	0.0509304	0.0366275	0.0352448	0.048834	0.0705886
a43	0.139385	0.144485	0.141787	0.14544	0.114356	0.122692	0.0556805	0.0350159	0.0274572	0.0325137	0.0411878
a61	0.0759785	0.101908	0.139664	0.127744	0.116728	0.151518	0.0763462	0.0487307	0.0406881	0.0528824	0.0678127
a56	0.0416209	0.0652195	0.119303	0.12921	0.129968	0.166915	0.0980239	0.0667273	0.0527571	0.0579229	0.0723326
a96	0.0296875	0.0446871	0.0919058	0.113431	0.124952	0.167895	0.114123	0.0844223	0.0687284	0.0728043	0.087364
a93	0.0157246	0.0282207	0.0710059	0.0861527	0.110211	0.171408	0.113178	0.087646	0.0832017	0.100847	0.132404
a70	0.0165823	0.0264051	0.0582876	0.0667544	0.0908187	0.165228	0.126287	0.104245	0.0945595	0.110818	0.140015
a50	0.0132895	0.0223671	0.0562037	0.0570614	0.0806096	0.138985	0.115432	0.106763	0.112339	0.134187	0.162763
a31	0.00820358	0.0150065	0.0346291	0.0408686	0.0567835	0.100469	0.102831	0.114482	0.147324	0.17435	0.205053
a88	0.00754697	0.0134011	0.0325292	0.0348694	0.0496503	0.0888453	0.0914732	0.10635	0.150346	0.192369	0.23262
a71	0.00329765	0.00565896	0.0169418	0.0170627	0.0261472	0.0622459	0.0756577	0.105576	0.185167	0.23499	0.267255
a50	0.00361773	0.00482636	0.0116651	0.00951796	0.0148474	0.0524815	0.0743715	0.110498	0.183186	0.229325	0.305663
a62	0.00313775	0.00412752	0.00925293	0.00737207	0.0105744	0.0319403	0.0710833	0.114319	0.193183	0.231082	0.323927
