 	l'	épouse	délaissée	se	ronge	d'	inquiétudes	</S>
a66	0.161714	0.174073	0.192836	0.256555	0.169113	0.0303037	0.00791737	0.00748839
a87	0.430438	0.208195	0.131386	0.139607	0.0642124	0.012915	0.00587287	0.00737436
a23	0.453275	0.174338	0.157426	0.125724	0.043383	0.0193014	0.0122305	0.0143227
a83	0.345958	0.159985	0.212492	0.159728	0.050426	0.0241088	0.0175896	0.0297124
a90	0.286734	0.215388	0.164319	0.154136	0.0847529	0.034693	0.0268266	0.0331499
a98	0.345328	0.332085	0.156996	0.0729715	0.0509853	0.017497	0.012303	0.011835
a85	0.223893	0.261343	0.15161	0.0916871	0.116679	0.0699968	0.0443304	0.0404607
a0	0.173724	0.169202	0.136582	0.0941318	0.126949	0.105817	0.0965617	0.0970336
a47	0.165021	0.183718	0.19533	0.150155	0.118475	0.0642902	0.0551147	0.0678963
a88	0.15516	0.195695	0.192756	0.164724	0.120919	0.0615872	0.0483101	0.0608486
a34	0.0886229	0.168827	0.255521	0.223152	0.130617	0.0511927	0.0379971	0.0440697
a96	0.067337	0.131506	0.252691	0.244798	0.150425	0.0570141	0.0441162	0.0521125
a93	0.0469444	0.0787208	0.201665	0.261238	0.192445	0.0751564	0.0618195	0.0820118
a75	0.0389103	0.0591893	0.162648	0.243931	0.231299	0.0996453	0.0735369	0.0908405
a85	0.0200516	0.0342773	0.0611902	0.100487	0.14618	0.161308	0.198935	0.27757
a6	0.0102603	0.0207163	0.0375884	0.057812	0.107021	0.160977	0.24449	0.361134
a36	0.00671476	0.0144334	0.03049	0.0569898	0.131071	0.215103	0.259834	0.285364
a0	0.00807468	0.0118302	0.0242981	0.0424818	0.10019	0.179555	0.262682	0.370888
a75	0.00988744	0.014422	0.018858	0.0348944	0.0809436	0.163276	0.257126	0.420593
a85	0.00140681	0.00215404	0.00371114	0.00614444	0.0257881	0.126548	0.391919	0.442329
a47	0.0013097	0.00229846	0.00341042	0.0054109	0.0242729	0.113555	0.354547	0.495196
a79	0.00264296	0.00362447	0.0047545	0.00440571	0.0138905	0.0904263	0.36865	0.511605
a44	0.000652945	0.000965342	0.00161931	0.00282089	0.0109103	0.0817548	0.411343	0.489934
a98	0.00193648	0.0022202	0.00200048	0.00311929	0.00845525	0.0644989	0.370178	0.547591
a85	0.000750385	0.000662659	0.000793931	0.00122058	0.00390271	0.0526824	0.400105	0.539882
a47	0.000321306	0.000262161	0.000322735	0.000489741	0.00215049	0.0461384	0.410458	0.539858
a36	0.000209352	0.000143136	0.000158281	0.000227036	0.00140275	0.0387257	0.39151	0.567623
a2	0.00677926	0.00462567	0.0026911	0.00280731	0.00718144	0.0590195	0.307986	0.60891
a57	0.0871169	0.0567392	0.0267706	0.0208739	0.0383768	0.115849	0.29244	0.361834
a87	0.177588	0.0909769	0.0677184	0.0642933	0.0787309	0.127286	0.180406	0.213001
a23	0.318679	0.106625	0.109135	0.100324	0.0759148	0.0987397	0.101734	0.0888487
a87	0.13705	0.0282994	0.0175453	0.0213948	0.0324937	0.122337	0.297716	0.343164
</S>	0.0441244	0.00935685	0.00917655	0.0113056	0.0176499	0.0652113	0.322703	0.520472
