 	les	visiteurs	s'	arrêtent	en	aval	du	village	</S>
a87	0.319823	0.141396	0.0505349	0.0250704	0.0227155	0.0698061	0.114068	0.126639	0.129947
a40	0.248894	0.107641	0.0849272	0.0663171	0.0674879	0.0772251	0.108144	0.118979	0.120385
a73	0.268099	0.152756	0.0707331	0.0471203	0.0401499	0.0671317	0.0967732	0.122978	0.134258
a44	0.324606	0.289636	0.137179	0.074448	0.0357059	0.0384424	0.0371283	0.0346925	0.0281611
a58	0.228055	0.265796	0.207865	0.134444	0.0492129	0.0340836	0.0283929	0.0268534	0.0252984
a82	0.15621	0.189114	0.203372	0.178902	0.0720196	0.0546378	0.0509469	0.0481378	0.0466598
a53	0.170576	0.186394	0.201896	0.183361	0.0729303	0.0478347	0.0469767	0.0428748	0.0471567
a4	0.118496	0.128214	0.172055	0.194731	0.0924585	0.0745965	0.0686592	0.0680324	0.0827579
a53	0.0766049	0.0651855	0.109065	0.144101	0.116902	0.13071	0.118076	0.109331	0.130023
a15	0.102521	0.0823775	0.145116	0.164634	0.111737	0.101693	0.0972808	0.0852201	0.109421
a73	0.0768268	0.0604447	0.114385	0.137755	0.118508	0.118289	0.11972	0.108459	0.145612
a32	0.0600522	0.0440346	0.0903675	0.118478	0.125614	0.126497	0.132147	0.127305	0.175505
a90	0.0536728	0.0450631	0.0784303	0.0965129	0.118536	0.122977	0.138409	0.144956	0.201443
a4	0.0384955	0.0361482	0.0739703	0.107452	0.129791	0.13285	0.134432	0.14233	0.20453
a76	0.0262137	0.0276182	0.0565613	0.0896406	0.115528	0.142615	0.150269	0.151789	0.239765
a90	0.0247738	0.0273011	0.0480625	0.0597101	0.0795818	0.109289	0.15097	0.198054	0.302257
a58	0.0215527	0.0262437	0.0563099	0.0867518	0.100972	0.137092	0.157388	0.170319	0.243371
a84	0.0092572	0.0100138	0.0191196	0.0369515	0.0478814	0.0720839	0.136691	0.215661	0.45234
a11	0.00405157	0.00351518	0.0067559	0.0131548	0.0263462	0.0414695	0.115937	0.224445	0.564325
a75	0.00641573	0.00519878	0.00740357	0.011393	0.0198844	0.033708	0.117688	0.230556	0.567752
a73	0.00795676	0.00733092	0.008133	0.011052	0.0158103	0.0305383	0.0981137	0.256495	0.56457
a84	0.00449858	0.00404031	0.00546909	0.00752982	0.0092795	0.0206704	0.0796217	0.251384	0.617506
a53	0.00145368	0.00128948	0.00236521	0.00402323	0.00680317	0.0165055	0.0702194	0.215041	0.6823
a4	0.00653071	0.00641945	0.00693857	0.00993587	0.014326	0.0374545	0.107271	0.24862	0.562504
a58	0.00417217	0.00451278	0.00401592	0.00439352	0.00745181	0.0187118	0.0727307	0.216296	0.667715
a82	0.00207745	0.00221242	0.00282254	0.00292738	0.00463261	0.0126777	0.0655239	0.21297	0.694156
a87	0.00381115	0.00334434	0.00464628	0.0044942	0.00758433	0.0278821	0.1116	0.247685	0.588953
</S>	0.00577949	0.00453619	0.00973224	0.00993595	0.0207856	0.0555995	0.166845	0.274435	0.452351
