 	ce	commerçant	est	venu	de	brazaville	avec	des	tas	de	marchandises	</S>
a66	0.12965	0.129873	0.109804	0.139707	0.143206	0.128384	0.0906741	0.0624917	0.0386373	0.015216	0.00605321	0.00630426
a87	0.331004	0.155513	0.124092	0.12749	0.081574	0.0684332	0.0346096	0.0238537	0.0230162	0.0146036	0.00748258	0.00832791
a23	0.285288	0.163164	0.13919	0.136761	0.0744366	0.0624408	0.0355413	0.0273832	0.0269889	0.0198198	0.0131736	0.0158132
a87	0.300027	0.214702	0.182505	0.0843221	0.0451486	0.0334095	0.0239081	0.024878	0.0234496	0.0207027	0.0198635	0.0270843
a23	0.272243	0.247975	0.219959	0.0782065	0.0440834	0.0364388	0.0227837	0.0217255	0.0204294	0.0142378	0.00958159	0.0123361
a13	0.252719	0.197778	0.168106	0.0686016	0.0464837	0.0441932	0.0334592	0.034914	0.0330463	0.0333404	0.0373326	0.0500254
a9	0.152994	0.282215	0.203312	0.100664	0.0625214	0.0469788	0.0282588	0.0221839	0.0236085	0.0225179	0.0241283	0.0306174
a83	0.179198	0.286729	0.199346	0.107735	0.0627758	0.0461604	0.0283426	0.0212915	0.0225401	0.0186942	0.013327	0.0138601
a13	0.273988	0.25104	0.182897	0.0812355	0.0476121	0.0363532	0.0250658	0.0202182	0.0192216	0.0206747	0.0193966	0.0222982
a93	0.148561	0.191463	0.19053	0.0938874	0.0646874	0.0490154	0.0389552	0.0345875	0.0380268	0.0477433	0.0492221	0.0533208
a94	0.102134	0.131202	0.163019	0.0974725	0.0703243	0.055147	0.0459956	0.0424527	0.0497716	0.0711079	0.0815503	0.0898225
a93	0.110254	0.14753	0.178021	0.107605	0.0734731	0.0508385	0.0401563	0.0357264	0.0409908	0.0554592	0.0721439	0.0878019
a4	0.126499	0.13516	0.166052	0.122783	0.0852952	0.0564434	0.0442016	0.0375947	0.0407942	0.0506396	0.0629157	0.0716215
a53	0.106253	0.132336	0.162803	0.136091	0.114169	0.0828528	0.0617228	0.047318	0.041013	0.0350219	0.0378301	0.04259
a69	0.0643835	0.114323	0.162011	0.155808	0.125994	0.0955051	0.0711975	0.0518446	0.0426034	0.0323609	0.038403	0.0455656
a58	0.036899	0.0835326	0.11786	0.123801	0.118284	0.10799	0.0912592	0.0813317	0.0638972	0.0474636	0.0550771	0.072604
a54	0.0184375	0.0560906	0.0944586	0.157395	0.144668	0.113102	0.0905451	0.0683066	0.0658674	0.0500492	0.0630677	0.0780129
a79	0.00972281	0.0197125	0.0240353	0.036417	0.0695232	0.106147	0.115467	0.120829	0.0933479	0.084388	0.131289	0.189121
a44	0.0102699	0.0178851	0.0234946	0.0464981	0.0935035	0.14301	0.160604	0.152088	0.105805	0.07084	0.0755717	0.10043
