 	leur	mère	était	une	belle	femme	de	teint	brun	</S>
a66	0.285462	0.207174	0.112569	0.0923868	0.104674	0.0963473	0.0545931	0.0266316	0.0119596	0.00820201
a87	0.377676	0.203781	0.109931	0.0704959	0.0667873	0.0543593	0.0503178	0.0374608	0.0165956	0.0125948
a23	0.285956	0.185677	0.136086	0.0913124	0.106534	0.0880758	0.0542916	0.0237149	0.0144984	0.0138542
a13	0.185497	0.128356	0.109646	0.0848183	0.114088	0.11294	0.0984415	0.0726708	0.0483916	0.0451508
a53	0.116163	0.0930657	0.0994066	0.0768312	0.113616	0.120168	0.102111	0.11773	0.0878064	0.0731037
a15	0.273921	0.224871	0.168797	0.0978884	0.0717568	0.0731294	0.0435917	0.0263871	0.0106716	0.00898535
a20	0.225931	0.209483	0.18402	0.114494	0.0739539	0.0766574	0.0496613	0.0375228	0.016063	0.0122139
a98	0.157671	0.167228	0.175994	0.122898	0.0829106	0.0857743	0.0621242	0.0653584	0.0412663	0.0387744
a47	0.188847	0.193655	0.18295	0.118966	0.0720548	0.0763709	0.0512276	0.0459081	0.0341852	0.0358359
a6	0.114925	0.133477	0.144042	0.115882	0.0790681	0.0842346	0.0596408	0.0737964	0.0886464	0.106288
a75	0.108903	0.119634	0.150157	0.133201	0.0854058	0.0921891	0.0630352	0.0781057	0.076697	0.0926727
a79	0.081357	0.0863811	0.116004	0.138721	0.119366	0.124926	0.0873771	0.0845628	0.0777369	0.0835667
a44	0.0636553	0.0696612	0.101028	0.14726	0.147539	0.149392	0.0957191	0.079994	0.0723965	0.0733548
a93	0.0393426	0.0423565	0.0612783	0.121089	0.156826	0.177597	0.11574	0.0823712	0.0968896	0.10651
a4	0.0376415	0.0349232	0.043262	0.0901169	0.132872	0.165362	0.136874	0.115543	0.119112	0.124293
a90	0.0180315	0.0153111	0.0203736	0.0481339	0.0961098	0.14036	0.164199	0.146893	0.173444	0.177145
a56	0.00823977	0.00706693	0.0101849	0.0292195	0.0689339	0.109012	0.156095	0.16158	0.229764	0.219904
a93	0.00640049	0.00525484	0.00719375	0.0197858	0.044888	0.0752194	0.132437	0.147671	0.276232	0.284918
a4	0.00374972	0.00322599	0.0051807	0.0167268	0.0404927	0.0644932	0.122992	0.157925	0.296797	0.288417
a58	0.00470478	0.00401729	0.00510874	0.013509	0.0328381	0.0502748	0.109463	0.157337	0.306842	0.315906
a38	0.000853501	0.000739389	0.00108355	0.00317363	0.00953013	0.0140552	0.0391592	0.097454	0.37726	0.456692
a62	0.00139849	0.00105346	0.00138915	0.00319239	0.00699964	0.00987136	0.028454	0.0875678	0.372794	0.48728
a0	0.00169243	0.00118631	0.00157537	0.00380878	0.00862366	0.00971247	0.0268409	0.0983099	0.37754	0.47071
a10	0.00482419	0.00328994	0.00364667	0.0071186	0.0147172	0.0142216	0.0354642	0.100522	0.342346	0.47385
a87	0.0603866	0.0371465	0.0291958	0.0366053	0.0462665	0.0441969	0.0811717	0.132082	0.23704	0.295908
a23	0.213438	0.123764	0.0851338	0.0813828	0.0880213	0.0861057	0.101414	0.0814218	0.0721511	0.0671678
a87	0.0639456	0.0262107	0.0196803	0.0234216	0.0243848	0.0301879	0.0751507	0.140022	0.273724	0.323272
a30	0.0157825	0.00676568	0.00641108	0.0104201	0.0148062	0.0176365	0.0464974	0.111748	0.350001	0.419932
a10	0.0359193	0.0213328	0.0213265	0.0320007	0.0543055	0.0711707	0.109536	0.144058	0.23702	0.273331
a87	0.0732094	0.0468559	0.0440622	0.0583583	0.0847028	0.0974197	0.121696	0.132717	0.163194	0.177785
a23	0.0952787	0.0643247	0.0550834	0.0633449	0.0912411	0.104313	0.131398	0.134465	0.130074	0.130478
a30	0.0377874	0.0223417	0.0203393	0.0243885	0.0311547	0.0410755	0.100286	0.176561	0.270738	0.275328
</S>	0.0642357	0.0395991	0.0362273	0.0435162	0.0432195	0.0475188	0.0851815	0.140749	0.226129	0.273625
