 	l'	enfant	a	attrapé	le	petit	oiseau	de	la	plaine	</S>
a66	0.227203	0.172016	0.115695	0.086866	0.0893045	0.0920776	0.0886844	0.0567395	0.0323511	0.0216347	0.0174288
a87	0.287235	0.158026	0.10688	0.0843961	0.0790158	0.0774578	0.0748991	0.0436493	0.0298228	0.0325799	0.0260388
a23	0.383531	0.200864	0.113277	0.062629	0.0442382	0.0387584	0.0376793	0.0343946	0.0291753	0.0295028	0.0259504
a44	0.276483	0.145418	0.108474	0.0845134	0.0686097	0.0567101	0.0372311	0.0298616	0.0369949	0.0688699	0.086834
a54	0.216919	0.140976	0.106185	0.0660061	0.0536383	0.0474764	0.0375548	0.0343015	0.0569447	0.124849	0.115148
a92	0.156893	0.152743	0.14348	0.0951085	0.0829823	0.0633537	0.0495413	0.0385332	0.0523547	0.0891711	0.0758394
a37	0.124683	0.149168	0.148265	0.103573	0.104435	0.0782224	0.0659479	0.039288	0.0453005	0.0835078	0.0576102
a85	0.100229	0.125145	0.160908	0.156813	0.137732	0.0975379	0.0607735	0.0309651	0.0295546	0.0515641	0.0487782
a6	0.0571715	0.0916388	0.122599	0.139093	0.15347	0.114523	0.0802803	0.043137	0.0430331	0.0788915	0.0761624
a36	0.0710879	0.0985611	0.130954	0.15023	0.15897	0.115798	0.0736899	0.0392099	0.0362677	0.0608722	0.0643591
a61	0.0524601	0.0669174	0.0986357	0.14737	0.164508	0.135641	0.0852808	0.0471688	0.0438332	0.074751	0.083434
a62	0.0351098	0.0349943	0.0457404	0.08391	0.109503	0.132486	0.104674	0.0759951	0.0716142	0.138424	0.167549
a21	0.029684	0.028873	0.0392561	0.0809635	0.119276	0.168571	0.137506	0.0942915	0.0687675	0.106751	0.126061
a75	0.0115072	0.0103884	0.0128004	0.0273855	0.0465056	0.0886883	0.107916	0.143773	0.128926	0.188897	0.233212
a25	0.00518616	0.00532186	0.00783836	0.0178386	0.0322883	0.060864	0.0831789	0.139896	0.153506	0.219868	0.274213
a79	0.00566553	0.00692528	0.0105042	0.0206784	0.0360562	0.0627398	0.0796308	0.148189	0.161313	0.178144	0.290154
a44	0.00444154	0.00404081	0.00535293	0.0105059	0.0171315	0.0302103	0.0376239	0.0842278	0.149778	0.267282	0.389406
a96	0.00481411	0.00413585	0.00491682	0.00843589	0.0124895	0.0186651	0.0210899	0.048583	0.116522	0.303183	0.457165
a62	0.0035094	0.00319443	0.00357511	0.00614457	0.00993036	0.0184499	0.0245963	0.063041	0.127111	0.257257	0.483191
a83	0.00365301	0.00336428	0.00341791	0.00491905	0.00733377	0.0137471	0.021805	0.0566264	0.113213	0.225571	0.54635
a9	0.0031482	0.00309568	0.00356738	0.00584135	0.00849225	0.0142952	0.0218571	0.057575	0.134603	0.233968	0.513558
a99	0.0121993	0.012139	0.0120166	0.0159912	0.0235788	0.0346868	0.0454291	0.0881344	0.151161	0.198698	0.405966
a97	0.0626166	0.04391	0.0358952	0.0396895	0.046605	0.0563903	0.0663536	0.0970733	0.1351	0.156225	0.260142
a87	0.317395	0.168729	0.0998555	0.0698736	0.0568734	0.0516293	0.0503863	0.0503353	0.046079	0.0417204	0.0471224
a23	0.268011	0.158152	0.0969492	0.0676949	0.0565613	0.0511636	0.0498745	0.0558518	0.0590285	0.0641378	0.0725761
a99	0.108	0.0513767	0.0246816	0.015277	0.0150918	0.0181065	0.0224124	0.0527313	0.109426	0.233661	0.349236
a97	0.0386673	0.0213028	0.0128372	0.0116452	0.0149259	0.0233105	0.0310074	0.0611167	0.109631	0.25418	0.421376
</S>	0.0209807	0.0136917	0.00945181	0.0115116	0.0173432	0.0269363	0.0315633	0.0581999	0.106702	0.250034	0.453586
