 	le	vent	bombe	la	toile	</S>
a23	0.376813	0.286118	0.143917	0.118328	0.0493948	0.0254294
a85	0.374199	0.282841	0.14729	0.104614	0.0543396	0.0367173
a87	0.26735	0.303376	0.241531	0.0953389	0.0436442	0.0487604
a23	0.241695	0.336918	0.273112	0.0799223	0.0318082	0.0365443
a79	0.275375	0.322521	0.198257	0.0907495	0.0509318	0.0621655
a58	0.406991	0.365449	0.147014	0.031482	0.021781	0.0272821
a82	0.297651	0.374955	0.253717	0.0448586	0.0160802	0.0127374
a54	0.158256	0.270255	0.280488	0.107085	0.0804138	0.103502
a79	0.214069	0.305274	0.262213	0.0806107	0.0672949	0.0705378
a94	0.268608	0.316689	0.228724	0.0719583	0.0579431	0.0560783
a53	0.235995	0.305947	0.263168	0.0825921	0.0543211	0.0579773
a76	0.222234	0.283632	0.240412	0.0914505	0.079909	0.0823613
a94	0.200411	0.254039	0.234527	0.106189	0.100826	0.104008
a41	0.169167	0.218636	0.249871	0.130534	0.113963	0.11783
a37	0.200499	0.2056	0.214976	0.127691	0.124099	0.127135
a76	0.139132	0.153609	0.222673	0.14138	0.15214	0.191066
a90	0.111677	0.107474	0.135112	0.148942	0.211409	0.285386
a40	0.108983	0.102769	0.164072	0.197036	0.212148	0.214992
a98	0.0969411	0.0815782	0.111997	0.163404	0.22887	0.31721
a41	0.051288	0.0395003	0.0613207	0.144154	0.286547	0.41719
a94	0.0852408	0.0588671	0.0857317	0.174571	0.256465	0.339124
a98	0.0364246	0.0283274	0.0490058	0.104248	0.329398	0.452597
a73	0.0376882	0.0284631	0.0448811	0.101916	0.314528	0.472524
a2	0.025762	0.0210125	0.0373911	0.0790089	0.284743	0.552083
a57	0.0168739	0.0131828	0.0222145	0.0562138	0.260077	0.631438
a87	0.0268518	0.016111	0.0169876	0.0466493	0.237827	0.655573
</S>	0.0241155	0.0148847	0.0175876	0.103667	0.343083	0.496662
