 	voici	tes	enfants	qui	viennent	d'	arriver	</S>
a66	0.359696	0.299091	0.155133	0.0807223	0.0396194	0.0240376	0.0219493	0.019751
a87	0.369126	0.22139	0.126893	0.0964476	0.0539106	0.0411748	0.0455023	0.0455559
a23	0.387595	0.179758	0.104204	0.105099	0.0792884	0.0544672	0.039431	0.0501572
a54	0.117454	0.0525068	0.0348771	0.0672898	0.110219	0.197716	0.197456	0.222481
a47	0.40001	0.233289	0.121451	0.0836147	0.0440915	0.0319094	0.0337439	0.05189
a6	0.166698	0.18529	0.173843	0.17416	0.125022	0.0774006	0.047446	0.0501398
a92	0.176048	0.207214	0.205031	0.186	0.104058	0.0602326	0.0344349	0.0269823
a85	0.200622	0.201239	0.1933	0.154291	0.092083	0.0704137	0.0502488	0.0378018
a92	0.130082	0.142478	0.15685	0.136576	0.112968	0.114869	0.104898	0.101279
a37	0.160166	0.136715	0.128274	0.115921	0.0945382	0.103906	0.129321	0.13116
a98	0.185067	0.138847	0.103694	0.0774758	0.0638373	0.0847629	0.165148	0.181169
a47	0.0791168	0.0721528	0.0906019	0.105563	0.0901192	0.112066	0.200392	0.249988
a37	0.00993272	0.00882774	0.0133134	0.0219027	0.0365155	0.107161	0.340907	0.46144
a5	0.00264729	0.00139708	0.00220179	0.00529408	0.0187258	0.100262	0.337344	0.532127
a6	0.00177035	0.000975391	0.00151824	0.0036037	0.0133897	0.0727005	0.295285	0.610757
a36	0.00159302	0.000893854	0.00160344	0.00472568	0.0187637	0.0895163	0.32479	0.558114
a2	0.00210228	0.00158238	0.00323878	0.00759489	0.0284332	0.099276	0.312814	0.544959
a57	0.0723783	0.0396071	0.0353108	0.0373934	0.0608504	0.128656	0.2501	0.375704
a87	0.411337	0.128705	0.0643621	0.0436511	0.0386918	0.064637	0.114129	0.134487
a23	0.399516	0.189257	0.119695	0.0774384	0.041556	0.0424526	0.0625756	0.0675091
a87	0.122854	0.0405117	0.0261962	0.0422181	0.05818	0.152093	0.286073	0.271874
</S>	0.0138853	0.00652887	0.0077126	0.0188423	0.0407474	0.181042	0.345539	0.385702
