 	il	faut	attiser	le	feu	qui	est	éteint	</S>
a23	0.227179	0.16529	0.107889	0.0892899	0.0821764	0.0606246	0.0763535	0.0971659	0.0940323
a85	0.30543	0.189048	0.105848	0.106801	0.0757337	0.0498415	0.0442809	0.0514479	0.0715689
a87	0.326077	0.25291	0.131752	0.0645954	0.03747	0.0309779	0.0285524	0.0392234	0.0884409
a23	0.361241	0.254103	0.102094	0.0607565	0.0339029	0.029621	0.0260003	0.0423866	0.0898942
a40	0.274435	0.200577	0.0969045	0.0516144	0.0345353	0.0408401	0.0432194	0.0783313	0.179543
a30	0.444209	0.182849	0.0927478	0.0450555	0.0361772	0.0384765	0.0415884	0.0485381	0.0703588
a41	0.353218	0.23502	0.148212	0.0908371	0.059347	0.0406418	0.0283033	0.023352	0.0210686
a43	0.259263	0.224775	0.162192	0.114791	0.0776725	0.0538435	0.0392818	0.0340281	0.0341527
a41	0.177901	0.171781	0.153156	0.138476	0.109196	0.0799237	0.0604324	0.0522977	0.0568363
a18	0.141919	0.150409	0.164149	0.190398	0.126347	0.080018	0.0558278	0.0442262	0.0467054
a21	0.098028	0.105484	0.115594	0.163155	0.144266	0.112738	0.0850888	0.0770875	0.0985584
a12	0.100857	0.132947	0.147058	0.202035	0.156465	0.10329	0.0609538	0.0448063	0.0515872
a32	0.0809947	0.095193	0.101657	0.154688	0.157682	0.14352	0.0999922	0.0784232	0.0878495
a38	0.0609613	0.0746422	0.0938941	0.154021	0.1468	0.126908	0.0992825	0.101465	0.142027
a41	0.0484219	0.0556324	0.0715592	0.12067	0.133138	0.141413	0.123236	0.12939	0.176538
a36	0.0446744	0.0526147	0.0794341	0.119107	0.114249	0.13034	0.12465	0.138531	0.1964
a24	0.0231413	0.0248465	0.0356208	0.0677682	0.0960814	0.146543	0.16887	0.196867	0.240261
a41	0.0194836	0.0151323	0.0151112	0.0305945	0.057905	0.120239	0.186113	0.261761	0.29366
a24	0.0171828	0.0143232	0.0195835	0.037123	0.0685623	0.135958	0.196444	0.249746	0.261076
a18	0.00835956	0.00633582	0.00714179	0.0153925	0.031545	0.0802801	0.164188	0.30981	0.376947
a24	0.0229255	0.0176137	0.0157014	0.0258215	0.0406326	0.0796359	0.15933	0.271801	0.366539
a32	0.00776285	0.00542315	0.00508414	0.0110302	0.0218584	0.0571279	0.129003	0.288679	0.474031
a24	0.0105255	0.00749971	0.00761733	0.0134078	0.0235436	0.05809	0.132269	0.288413	0.458633
a61	0.00828808	0.00586897	0.00592815	0.0124498	0.02125	0.0516941	0.122054	0.278785	0.493681
a75	0.0124928	0.00904016	0.00890804	0.0168593	0.0268393	0.053772	0.118638	0.269343	0.484108
a41	0.00740323	0.00534111	0.00703931	0.0113809	0.0198224	0.0453837	0.108583	0.278528	0.516518
a56	0.00301258	0.00209642	0.00253194	0.00495633	0.0108968	0.0351212	0.100304	0.269703	0.571377
a24	0.00779486	0.00588403	0.00719854	0.0120975	0.0176489	0.0355954	0.0869958	0.240972	0.585813
a31	0.00545921	0.00340331	0.00350368	0.00762469	0.0129247	0.0295146	0.0710085	0.230726	0.635835
a24	0.00852002	0.00522416	0.00578291	0.00984406	0.0146019	0.0296311	0.068147	0.216149	0.6421
a9	0.00453092	0.00246913	0.00258783	0.00639037	0.0118894	0.0288809	0.0688777	0.231552	0.642821
a10	0.00275556	0.00190954	0.00256876	0.00618192	0.0123919	0.0361612	0.0912512	0.264435	0.582345
a87	0.00332446	0.00217508	0.0028224	0.00523584	0.0105979	0.0301438	0.0849065	0.273351	0.587443
</S>	0.0031369	0.00188596	0.0022946	0.00388562	0.00902255	0.0272348	0.0857888	0.280885	0.585866
