 	ne	bouge	pas	</S>
a23	0.598841	0.179292	0.103297	0.11857
a87	0.524809	0.192252	0.144808	0.138132
a23	0.542533	0.218165	0.133702	0.105601
a53	0.485355	0.244428	0.148003	0.122214
a90	0.601275	0.243388	0.0925168	0.0628202
a38	0.59279	0.289722	0.0764695	0.0410185
a26	0.525293	0.334819	0.0884446	0.0514439
a35	0.423845	0.3123	0.152395	0.111461
a30	0.422965	0.372392	0.125444	0.0791988
a14	0.522541	0.26887	0.119469	0.0891198
a2	0.52181	0.276731	0.118962	0.0824973
a75	0.332503	0.298649	0.19169	0.177158
a14	0.199274	0.294062	0.259254	0.24741
a30	0.187836	0.333162	0.26294	0.216062
a2	0.128104	0.237503	0.307775	0.326618
a57	0.0354698	0.115805	0.262996	0.585729
a87	0.0346973	0.12327	0.279754	0.562278
</S>	0.0672881	0.217143	0.30807	0.407498
