 	il	avoua	qu'	il	avait	volé	</S>
a79	0.0696311	0.075312	0.118145	0.132139	0.211228	0.201952	0.191592
a20	0.11884	0.13933	0.182871	0.118383	0.145902	0.150212	0.144463
a73	0.322197	0.350272	0.158731	0.0666104	0.0463499	0.0314887	0.024351
a58	0.385285	0.332837	0.144601	0.0650139	0.0359515	0.0219749	0.0143375
a54	0.392592	0.271336	0.108676	0.0728021	0.0485319	0.0525883	0.0534728
a41	0.268729	0.219232	0.119451	0.111268	0.0919243	0.0941634	0.0952318
a94	0.240392	0.224136	0.152153	0.135899	0.101147	0.077791	0.0684816
a24	0.178186	0.186977	0.16467	0.156685	0.120588	0.0990783	0.0938169
a90	0.139928	0.148807	0.171104	0.181258	0.144051	0.110028	0.104823
a15	0.134189	0.153921	0.174307	0.166356	0.134111	0.117929	0.119187
a73	0.088425	0.111199	0.166694	0.183713	0.161299	0.14434	0.144329
a35	0.0590946	0.0882205	0.161463	0.210764	0.182146	0.151034	0.147277
a24	0.0573107	0.0750759	0.145842	0.218689	0.195776	0.15619	0.151117
a41	0.0397267	0.0542755	0.0945306	0.172461	0.230656	0.208404	0.199946
a12	0.0427532	0.0523427	0.0917075	0.172188	0.212871	0.203855	0.224283
a18	0.0358889	0.0467993	0.0767544	0.146163	0.210308	0.229568	0.254518
a25	0.025194	0.0432065	0.0628148	0.0959222	0.159509	0.269229	0.344125
a87	0.0216136	0.0386466	0.0574587	0.0875443	0.149543	0.281878	0.363316
a23	0.0144571	0.024946	0.067001	0.0939696	0.167901	0.288309	0.343416
a53	0.0207683	0.0265931	0.0739874	0.104106	0.20272	0.266035	0.30579
a20	0.0329198	0.0498504	0.0814533	0.103922	0.157873	0.249423	0.324559
a73	0.0127202	0.0249044	0.0619023	0.0958147	0.166372	0.265669	0.372617
a12	0.00984347	0.0221727	0.0466688	0.0830911	0.144696	0.277495	0.416033
a32	0.00925613	0.0163487	0.0358991	0.0699886	0.131826	0.284396	0.452285
a24	0.00727931	0.0138778	0.025569	0.0444546	0.0977778	0.289481	0.52156
a90	0.00488648	0.00829766	0.0185281	0.0388879	0.0861806	0.2783	0.564919
a15	0.0123612	0.0245379	0.0341651	0.0429666	0.0818593	0.272575	0.531535
a73	0.00594085	0.0129972	0.0275765	0.0428637	0.100796	0.303149	0.506676
a84	0.0041176	0.0103849	0.0220885	0.0347976	0.0826896	0.303662	0.542259
a57	0.00175948	0.00401522	0.014241	0.0272707	0.0628074	0.271279	0.618627
a87	0.00648381	0.00904246	0.031082	0.0523743	0.120043	0.274406	0.506567
</S>	0.00478993	0.00867748	0.0445767	0.0909543	0.185941	0.297792	0.367269
