 	il	est	en	train	d'	écarter	les	bras	de	son	cadet	</S>
a87	0.186757	0.148358	0.125098	0.13826	0.129018	0.107813	0.0570523	0.0386172	0.0275618	0.0181944	0.0125976	0.0106738
a23	0.220446	0.129956	0.0914046	0.0963061	0.09528	0.0623062	0.0709801	0.0612837	0.045201	0.0380039	0.0394337	0.0493984
a53	0.116849	0.100517	0.0803162	0.0674289	0.0617433	0.0588539	0.0767844	0.0761634	0.0721199	0.0803834	0.0938771	0.114963
a69	0.245434	0.180078	0.131567	0.131987	0.0893094	0.0595409	0.0348637	0.0307703	0.0269349	0.0235085	0.0232077	0.0227998
a4	0.244513	0.200319	0.146186	0.0956253	0.0553361	0.0374297	0.0373646	0.0364742	0.0345262	0.0376694	0.0427624	0.0317941
a53	0.174265	0.17051	0.147947	0.119568	0.0774017	0.0701738	0.0518955	0.0448191	0.0395437	0.0387433	0.0393315	0.0258022
a90	0.0989424	0.097486	0.0974534	0.116822	0.114275	0.141549	0.0643235	0.0495	0.0442288	0.0471782	0.0660279	0.062214
a56	0.0632747	0.0645821	0.074994	0.103089	0.111859	0.135074	0.0840212	0.0678866	0.0613196	0.0625311	0.0844049	0.0869632
a85	0.0682809	0.0675427	0.0746485	0.10775	0.13073	0.153808	0.0847363	0.0598852	0.0490671	0.0483974	0.070791	0.0843634
a5	0.0697189	0.0763909	0.0890957	0.115042	0.117476	0.121927	0.0807215	0.062119	0.0528657	0.0523381	0.0769684	0.0853366
a66	0.102537	0.104221	0.11164	0.147085	0.145822	0.134291	0.0630366	0.0433305	0.034091	0.0302166	0.0395389	0.044191
a38	0.0719547	0.0717057	0.0889374	0.138107	0.163304	0.167939	0.0765228	0.0508193	0.0390065	0.0335943	0.0466416	0.0514671
a0	0.0619624	0.0580767	0.0738749	0.11661	0.143334	0.176597	0.0936624	0.0646528	0.0530816	0.0467792	0.0551697	0.0562
a88	0.0283417	0.0267179	0.0317028	0.0511081	0.0821559	0.208007	0.116742	0.0847804	0.0769185	0.0743745	0.102348	0.116804
a75	0.0318991	0.0291865	0.0323989	0.0472078	0.069996	0.204612	0.112065	0.0857352	0.081028	0.0739491	0.103803	0.128119
a44	0.0386729	0.0330395	0.0328517	0.0436265	0.0422509	0.0898231	0.0606714	0.0655616	0.064818	0.0849841	0.177556	0.266144
a56	0.0277586	0.0229955	0.0235065	0.030708	0.0351734	0.117438	0.115167	0.126893	0.125734	0.105222	0.121935	0.147468
a66	0.0186699	0.0153089	0.015392	0.0201758	0.0243393	0.0872151	0.0914823	0.109192	0.120121	0.121984	0.161813	0.214307
a24	0.0073254	0.00603421	0.00669644	0.009635	0.0135826	0.0682566	0.0645851	0.0839676	0.110285	0.135311	0.202408	0.291913
a62	0.00817582	0.00653662	0.0069704	0.00912339	0.0117883	0.0461566	0.0477142	0.0705946	0.103054	0.150015	0.227258	0.312612
a96	0.00938088	0.00772337	0.00742486	0.00865662	0.0100237	0.0323906	0.0381877	0.0602899	0.0920882	0.158597	0.259244	0.315993
a98	0.00369055	0.00297818	0.00329801	0.00428568	0.00637328	0.0254914	0.0308471	0.0525658	0.0899481	0.169488	0.279773	0.33126
a44	0.00294129	0.00246028	0.00246459	0.00344877	0.0049255	0.0151965	0.0159633	0.0322986	0.0634861	0.165972	0.3106	0.380242
a13	0.00195935	0.00150749	0.00160904	0.0022568	0.00397414	0.0166354	0.0192106	0.035281	0.0586974	0.133297	0.312935	0.412636
a90	0.000890434	0.000604796	0.000679087	0.000967622	0.00208999	0.012123	0.0151313	0.0268453	0.046526	0.103478	0.27868	0.511984
a69	0.000605477	0.000460066	0.000469868	0.000713224	0.0015148	0.00740499	0.0100129	0.021979	0.0422331	0.113528	0.291498	0.50958
a58	0.000565478	0.000391649	0.000396917	0.000570191	0.00133751	0.00695902	0.0094504	0.0204998	0.036398	0.09518	0.285951	0.5423
a87	0.00270853	0.00175012	0.00185801	0.00239907	0.00403248	0.0119743	0.0148681	0.0283345	0.046228	0.0924715	0.241702	0.551674
a23	0.0589818	0.0339781	0.0329503	0.0385856	0.0551768	0.0679836	0.099371	0.125536	0.120926	0.10954	0.111398	0.145572
a87	0.0225258	0.013306	0.0120955	0.0127713	0.0190441	0.0308826	0.068815	0.117362	0.138388	0.200868	0.185214	0.178727
a23	0.0058004	0.00361078	0.0041991	0.0060926	0.0123417	0.0330866	0.0621416	0.100976	0.112489	0.175078	0.217109	0.267075
a87	0.00681133	0.00402663	0.00380135	0.00473058	0.0086725	0.0224044	0.0503488	0.0964395	0.109331	0.179521	0.225015	0.288898
</S>	0.00498485	0.00323268	0.0035608	0.00507376	0.00953555	0.0189185	0.0359154	0.0669572	0.0787057	0.154343	0.248161	0.370612
