 	la	pointe	du	couteau	s'	est	tordue	</S>
a66	0.228823	0.200922	0.185701	0.192148	0.113752	0.0399054	0.0268646	0.0118833
a87	0.200772	0.153201	0.131052	0.120556	0.162415	0.155925	0.0648338	0.011245
a23	0.317502	0.218356	0.166227	0.132068	0.0973922	0.0372635	0.0213737	0.00981714
a50	0.266903	0.189317	0.155745	0.174017	0.118727	0.0643768	0.0184301	0.0124832
a83	0.250622	0.150768	0.150574	0.231935	0.124071	0.0554309	0.0244378	0.01216
a54	0.224186	0.155168	0.16705	0.227958	0.133252	0.0590661	0.0242892	0.00903108
a5	0.0813872	0.0666138	0.12338	0.264173	0.247353	0.142419	0.0536116	0.0210629
a62	0.10942	0.0869142	0.133105	0.206911	0.218916	0.151267	0.069256	0.0242111
a88	0.0811726	0.096761	0.15738	0.202722	0.22352	0.159202	0.0515684	0.0276746
a21	0.0672836	0.0717421	0.100126	0.130914	0.173914	0.219277	0.156747	0.0799961
a47	0.100212	0.113064	0.140504	0.146489	0.186144	0.17405	0.0792228	0.0603127
a96	0.123336	0.119355	0.110892	0.114213	0.136004	0.18894	0.123031	0.0842295
a93	0.102643	0.0943824	0.0896904	0.0892809	0.103977	0.157384	0.162391	0.200251
a96	0.10737	0.0778602	0.0519106	0.0415015	0.0476148	0.0978623	0.178955	0.396925
a75	0.100247	0.0686784	0.0480164	0.0319589	0.0256987	0.0455679	0.128828	0.551005
a47	0.0309168	0.0190835	0.0110846	0.00735409	0.00698539	0.019038	0.0849187	0.820619
a36	0.0144938	0.00832061	0.00448283	0.0030853	0.00317271	0.00995296	0.0604983	0.895993
a2	0.0344038	0.0192078	0.011848	0.00696233	0.0120338	0.0237301	0.0977719	0.794042
a57	0.191611	0.120671	0.0970486	0.0990816	0.170112	0.115911	0.0893878	0.116176
a87	0.100042	0.0628681	0.0868648	0.184304	0.290565	0.171373	0.0699201	0.0340624
a23	0.0941981	0.0575278	0.0737202	0.129581	0.252072	0.20718	0.11714	0.0685812
a87	0.0616905	0.0343626	0.0298502	0.0513239	0.140356	0.183978	0.185692	0.312747
a23	0.113522	0.0505589	0.0444355	0.0714303	0.148575	0.15175	0.148726	0.271002
a87	0.05621	0.0319267	0.032205	0.0535273	0.129096	0.173295	0.198658	0.325083
a23	0.0752533	0.0338468	0.0324672	0.055667	0.11638	0.131732	0.161226	0.393427
a87	0.0430355	0.0235818	0.0260191	0.0450596	0.1145	0.178294	0.22183	0.34768
</S>	0.0831475	0.0350302	0.0363775	0.0549633	0.100105	0.122558	0.163188	0.40463
